osm_id,osm_type,lat,lon,access,defibrillator:location,defibrillator:location:en,description,email,emergency,emergency:phone,id,indoor,latitude,level,longitude,name,note,opening_hours,operator,phone,ref,source,wheelchair
9004557423,node,47.1234905,9.5241353,permissive,"Europark, Haupteingang EG",,,,defibrillator,144,node/9004557423,yes,,0,,,,"Mo-Fr 08:00-11:30, 13:30-17:00",Karin Pirchler,+423 236 60 37,,,
9004557424,node,47.1263466,9.5218608,permissive,"Amt für Strassenverkehr, in der Fahrzeughalle",,,,defibrillator,144,node/9004557424,yes,,0,,,,"Mo-Fr 8:00-12:00, 13:00-17:00",Liecht. Landesverwaltung,,,,
9004557426,node,47.1319562,9.5144606,permissive,"Amt für Bevölkerungsschutz, Eingang Schulungsgebäude",,,,defibrillator,144,node/9004557426,yes,,0,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Liecht. Landesverwaltung,+423 236 69 20,,,
9004557428,node,47.1332444,9.5223704,yes,Bürohaus beim Empfang 2.OG,,,,defibrillator,144,node/9004557428,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Uwe Negele,+423 236 71 79,,,
9004557430,node,47.1358847,9.521952,permissive,"Amt für Informatik, Haupteingang Empfang",,,,defibrillator,144,node/9004557430,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Liecht. Landesverwaltung,+423 236 76 25,,,
9004557431,node,47.1374429,9.5190766,yes,Eingang 1.OG,,,,defibrillator,144,node/9004557431,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Sekretariat Zentrale,+423 236 64 00,,,
9004557433,node,47.1366635,9.5230902,yes,"Liechtensteinische Musikschule, Haupteingang EG",,,,defibrillator,144,node/9004557433,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Liecht. Landesverwaltung,+423 236 69 26,Liechtensteinische Musikschule,,
9004557435,node,47.1370698,9.5226789,yes,Regierungsgebäude Haupteingang EG,,,,defibrillator,144,node/9004557435,yes,,0,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Telefonzentrale,+423 236 61 11,,,
9004557437,node,47.137545,9.5201727,yes,"DLG, Dienstleistungszentrum Giessen
Beim Empfang",,,,defibrillator,144,node/9004557437,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Liecht. Landesverwaltung,+423 236 62 73,,,
9004557438,node,47.1390421,9.5217951,permissive,Amt für Gesundheit,,"Aeulestr. 51, Haupteingang West",,defibrillator,144,node/9004557438,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-17:00","Markus Heeb, Hausdienst",+423 233 40 58,,,
9004557439,node,47.1407051,9.5106679,permissive,"Rheinparkstadion Haupttribüne, Sanitätszimmer",,Am Wochenende nur zu Spielzeiten,,defibrillator,144,node/9004557439,yes,,0,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Gemeinde Vaduz,+423 222 01 35,,,
9004557446,node,47.1516141,9.5109495,yes,"FMA, Kundenempfang",,,,defibrillator,144,node/9004557446,yes,,,,,,"Mo-Fr 07:00-12:00, 13:30-17:00","Heinz Schädler, Hausdienst",+423 236 62 35,,,
9004557447,node,47.152528,9.5061994,yes,Freibad Mühleholz im Sanitätsraum,,,,defibrillator,144,node/9004557447,yes,,,,,Nur in Saisonzeiten zugänglich,Mo-Fr 08:00-22:00,Bademeister,+423 232 24 77,,,
9004557448,node,47.1576578,9.5081292,yes,Konrad Hanno,,,,defibrillator,144,node/9004557448,yes,,,,,,"Mo-Th 07:30-11:30, 13:00-17:00; Fr 07:30-11:30",Angelika Dürr,+423 237 72 44,,,
9004557456,node,47.1677036,9.5099196,yes,Haus der Wirtschaft: Eingang EG,,,,defibrillator,144,node/9004557456,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Empfang,+423 236 71 00,,,
9004557458,node,47.1690001,9.5080823,,LAK Haus in Cafeteria,,,,defibrillator,144,node/9004557458,yes,,,,,,Mo-Su 09:00-18:00,Sekretariat,+423 236 47 47,,,
9004557459,node,47.1727032,9.5093983,permissive,Ivoclar Empfang,,Zugang nur bei Öffnungszeiten,,defibrillator,144,node/9004557459,yes,,0,,,,Mo-Fr 07:00-18:00,Ivoclar,+423 235 35 35,,,
9004557463,node,47.1745942,9.5128432,yes,"hpz Werkstätten Auxilia, erster Stock gegenüber Lift",,,,defibrillator,144,node/9004557463,yes,,,,,,Mo-Fr 08:00-16:00,Fredy Kindle SIBE,+423 239 61 70,,,
9004557464,node,47.1793582,9.5244276,yes,Im Werk 1,,während Öffnungszeiten verfügbar,,defibrillator,144,node/9004557464,yes,,,,,,,Leiter Werkschutz,+423 234 22 01,,,
9004557465,node,47.2002032,9.5013177,yes,Ospelt: Portier/Securitasloge,,,,defibrillator,144,node/9004557465,yes,,,,,,Mo-Fr 09:00-17:00,Securitas,+41 58 377 11 10,,,
9004557469,node,47.2114243,9.5244518,yes,LAK Haus am Empfang,,,,defibrillator,144,node/9004557469,yes,,,,,,Mo-Su 09:00-18:00,Sekretariat,+423 377 46 00,,,
9004557470,node,47.2134996,9.5262194,yes,"Schulzentrum Eschen, Hallenbad, erste Hilfe Raum",,,,defibrillator,144,node/9004557470,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-21:00",Bademeister,+423 373 48 66,,,
9004557471,node,47.212687,9.5239596,yes,Gemeindesaal im Foyer,,,,defibrillator,144,node/9004557471,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Jürgen Biedermann GePo,+423 377 50 22,,,
9004557473,node,47.2080317,9.5293897,,Pförnerhaus Anmeldung Sicherheit,,,,defibrillator,144,node/9004557473,yes,,,,,,Mo-Fr 09:00-17:00,Sicherheitsbeauftragte Frau Sandra Konzet,+423 377 23 11,,,
9004557478,node,47.2169156,9.5683622,yes,KaiserAG - Obere Werkhalle - Sicherheitsposten,Company: Kaiser AG,,gemeinde@mauren.li,defibrillator,144,node/9004557478,yes,,0,,,,Mo-Fr 08:00-17:00,Thomas Lampert,+4223 377 21 30,,,yes
9004557481,node,47.2212186,9.5441633,yes,Treppenhaus UG der Turnhalle,,,,defibrillator,144,node/9004557481,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-16:30",Hausdienst,+423 792 22 40,,,
9004557484,node,47.2394468,9.5252296,yes,Gemeindesaal im Foyer,,Nur bei Veranstaltungen verfügbar,,defibrillator,144,node/9004557484,yes,,,,,,,Gemeinde Ruggell,+423 377 49 20,,,
9219009136,node,47.1468193,9.5105486,permissive,"Telecom Liechtenstein Schaanerstr. 1,",,Beim Verkaufsladen,,defibrillator,144,node/9219009136,yes,,0,,,,"Mo-Fr 07:30-12:00, 13:00-17:00",Telecom Liechtenstein AG,+423 237 74 00,,,
9472004262,node,47.2072331,9.5355642,,4.OG Empfang rechts hinter Glaswand,,,,defibrillator,,node/9472004262,yes,,,,,,Mo-Fr 07:00-18:00,Robert Edlinger,+43 664 281 4920,,,
10074622164,node,47.1364399,9.5206784,,Hauptgebäude VP Bank. Bei Personaleingang,,,,defibrillator,144,node/10074622164,yes,,,,,,Mo-Fr 06:00-21:00,VP Bank,+42 32356310,,,
10074622165,node,47.1403781,9.5202675,,"Haus Giessen VP Bank, Bei Personaleingang",,,,defibrillator,144,node/10074622165,yes,,,,,,Mo-Fr 06:00-21:00,VP Bank,+42 32356310,,,
10074622166,node,47.1217239,9.5244146,,"Haus Zentrum Triesen, VP Bank bei Personaleingang",,,,defibrillator,144,node/10074622166,yes,,,,,,Mo-Fr 06:00-21:00,VP Bank,+42 32356310,,,
10127670618,node,47.0757407,9.5138074,,"INFICON AG, 2.OG im Atrium bei Kantine",,während Öffnungszeiten verfügbar 08:00 - 12:00 / 13:30 - 17:00,,defibrillator,144,node/10127670618,yes,,,,,,Mo-Fr 08:00-17:00,INFICON AG,,,,
10282470612,node,47.1678344,9.5151529,no,HPZ Schule Haupteingang,,während Öffnungszeiten der Schule verfügbar,,defibrillator,144,node/10282470612,yes,,,,,,,,,,,
10763310410,node,47.1494507,9.5164293,permissive,"Universität, Spörry, Bei Empfang 1. OG",,oranger Koffer,,defibrillator,144,node/10763310410,yes,,1,,Universität Liechtenstein,,"Mo-Th 08:30-12:00,13:30-17:00, Fr 08:30-12:00,13:30-15:00",Universität,,,,
10763310412,node,47.12098,9.52209,,"2.OG, Empfang",,oranger Koffer,,defibrillator,,node/10763310412,yes,,,,Bemer International AG,,"Mo-Th 08:00-12:00, 13:00-17:00; Fr 08:00-12:00, 13:00-15:00",Lifetec AG Schweiz,+41 800 122 144,,,
10763310413,node,47.1741828,9.5097915,permissive,"Mercedes Garage Weilenmann, EG, Kundenwartebereich",,oranger Koffer,,defibrillator,144,node/10763310413,yes,,0,,Garage Weilenmann AG,,Mo-Fr 07:30-18:00; Sa 08:00-16:00,Lifetec AG Schweiz,+41 800 122 144,,,
10763310414,node,47.16562,9.50878,,"1.OG, Küche Cafeteria",,oranger Koffer,,defibrillator,,node/10763310414,yes,,,,IFM Independent Fund Management AG (F&M AG),,"Mo-Fr 08:00-12:00, 13:00-17:30",Lifetec AG Schweiz,+41 800 122 144,,,
10763310415,node,47.1329507,9.5174593,permissive,"Home of Finance, Zollstr. 32",,"Empfang im EG, oranger Koffer",,defibrillator,144,node/10763310415,yes,,0,,SOLFIN Financial Service Solutions AG,,"Mo-Fr 08:30-12:00, 13:30-17:00",Lifetec AG Schweiz,+41 800 122 144,,,
10763310417,node,47.10129,9.60902,yes,"Hotel Gorfion, Mitarbeiter Treppenhaus, hinter Tür EG.",,Oranger Koffer,,defibrillator,,node/10763310417,yes,,,,Hotel Gorfion Anstalt,,,Lifetec AG Schweiz,+41 800 122 144,,,
10765221505,node,47.1090444,9.5254154,yes,Sonnenplatz Einkaufszentrum,,Beim Haupteingang zwischen den Schiebetüren,,defibrillator,144,node/10765221505,yes,,0,,,,Mo-Fr 07:00-19:00; Sa 07:00-17:00; Su 08:00-17:00,,,,"local_knowledge, defikarte.ch",
10795986605,node,47.1772926,9.5164561,yes,"Liecht. Braustube, Eingang bei Briefkästen. An der Wand gegenüber des Lifts montiert.",,von Mo-Fr 08.00-12.00 Uhr / 13.00-17.00 Uhr und den Öffnungszeiten der Braustube verfügbar,,defibrillator,144,node/10795986605,yes,,0,,,,,HFH AG,,,,
10819384705,node,47.1774116,9.5146022,,RMS Shooting und Kafi,,während Öffnungszeiten verfügbar,,defibrillator,144,node/10819384705,yes,,4,,,,,RMS Shooting,,,,
11037266741,node,47.1388578,9.5213163,permissive,Haus Amann,,Im Büro,,defibrillator,144,node/11037266741,yes,47.1388577,,9.521315769,Funk Insurance Brokers AG,,"Mo-Fr 08:00-12:00, 13:00-17:00",Lifetec AG,,,,
11217394739,node,47.2180305,9.5697308,yes,Zollamt Schaanwald,,während den Öffnungszeiten verfügbar,,defibrillator,144,node/11217394739,yes,,0,,,,Mo-Fr 07:30-18:00; Sa 10:00-18:00,BAZG,,,,
11276896069,node,47.1155115,9.5239305,no,"Office Building, Landstrasse 105, 9495 Triesen",,Office opening hours,,defibrillator,144,node/11276896069,yes,,0,,,,"Mo-Fr 09:00-12:00,13:30-17:00",Euro Atlantic Foundation,+4233997550,,"local_knowledge, defikarte.ch",
11371369571,node,47.1784395,9.518718,no,Ampera House,,Haupteingang nur zu Öffnungszeiten erreichbar,,defibrillator,144,node/11371369571,yes,,0,,,,,Privat,,,,
11395695569,node,47.1343666,9.5136237,permissive,"Labor Risch, Im Empfangsbereich",,Bei der Garderobe,,defibrillator,144,node/11395695569,yes,,0,,,,"Mo-Fr 07:30 - 12:30, 13:30 - 18:30",Dr. Risch Anstalt,+41 58 523 30 00,,"local_knowledge, defikarte.ch",
11413463669,node,47.1397125,9.5243141,no,Schloss Vaduz,,In der Küche beim Personal,,defibrillator,144,node/11413463669,yes,,,,,,,Hauswart Schloss,,,,
11457632569,node,47.0753508,9.5121218,no,Roxy Markt,,Im Gang zum Migrosmarkt,,defibrillator,144,node/11457632569,yes,,,,,,Mo-Fr 08:00-19:00,Stefan Ospelt,,,,
11457634669,node,47.076262,9.5132609,no,Umicore AG Betriebssanität ,,Bei der Betriebssanität,,defibrillator,144,node/11457634669,yes,,,,,,Mo-Fr 08:00-18:00,Umicore AG,,,,
11676134010,node,47.1518677,9.5113465,private,"Universität Liechtenstein, 1.OG Cafeteria",,Oranger Koffer,,defibrillator,144,node/11676134010,yes,,1,,Universität Liechtenstein,,Mo-Fr 07:30-17:00,Lifetec AG Schweitz,+41 800 122 144,,,
11694863269,node,47.135526,9.5229979,no,"LAK, Garderobe",,,,defibrillator,144,node/11694863269,yes,,,,,,Mo-Su 09:00-18:00,LAK,,,,
11695090769,node,47.1082735,9.5263052,permissive,Spörry Triesen,,im Treppenhaus,,defibrillator,144,node/11695090769,yes,,0,,,,Mo-Fr 08:00-17:00,Gemeinde Triesen,+423 222 01 35,,,
11698462269,node,47.1053826,9.5257519,no,"Realschule, Turnhalle",,"Bei der Mensa, Eingangshalle",,defibrillator,144,node/11698462269,yes,,0,,,,Mo-Fr 7:00-18:00,Landesverwaltung,,,,
11698519869,node,47.1049458,9.5259775,no,"WST, Oberschule in Telefonnische",,vis a vis Sekretariat,,defibrillator,144,node/11698519869,yes,,0,,,,Mo-Fr 7:00-18:00,Landesverwaltung,,,,
11809529069,node,47.1544879,9.5181298,permissive,Deponie im Rain,,im Büro,,defibrillator,144,node/11809529069,yes,,0,,,,Mo-Fr 8:00-17:00,Gemeinde Vaduz,+423 222 01 35,,,
11827202448,node,47.2396125,9.5249385,yes,Musikhaus EG,,,,defibrillator,144,node/11827202448,yes,,,,,,Mo-Fr 08:00-22:00,Gemeinde Ruggell,+423 377 49 20,,,
11827202449,node,47.2393475,9.5252214,yes,Eingang Turnhalle,,Während externen Betrieb verfügbar,,defibrillator,144,node/11827202449,yes,,,,,,,Gemeinde Ruggell,+423 377 49 20,,,
11834901471,node,47.1026378,9.6202875,no,"Sareis Bergrestaurant, Eingangsbereich",,Wärend Öffnungszeiten und Bahnbetrieb verfügbar,,defibrillator,144,node/11834901471,yes,,0,,,,,Bergbahnen Malbun,,,,
11834920269,node,47.1095262,9.5994944,,"Schneeflucht Restaurant, Eingangsbereich",,In der Skisaison und den Öffnungszeiten des Restaurants verfügbar,,defibrillator,144,node/11834920269,yes,,0,,,,,Bergbahnen Malbun,,,,
12067551769,node,47.1472271,9.5233675,,"Reception, Park Hotel Sonnenhof",,taeglich von 06:30 bis 22:00 uhr verfuegbar,,defibrillator,144,node/12067551769,yes,,,,,,Mo-Su 06:30-24:00,Park Hotel Sonnenhof,+4232390202,,,
12106370601,node,47.1640455,9.5080179,permissive,"Praxis Dr. med. Christoph Wanger, Zimmer: Ergometrie",,,,defibrillator,144,node/12106370601,yes,,2,,,,"Mo, Tu, We, Fr 08:00-12:00, 14:00-18:00, Th 08:00-12:00",Arztpraxis,+41 79 249 89 76,,"local_knowledge, defikarte.ch",
12167764301,node,47.1228007,9.5242233,,"Haupteingang / Eingang 1, Lova Center, Austrasse, 9490 Vaduz",,während Öffnungszeiten verfügbar,,defibrillator,144,node/12167764301,yes,,0,,,,,Lova Center,+4232361616,,,
12193430401,node,47.1255569,9.5244396,private,BWB Legal Bürogebäude,,Beim Empfang,,defibrillator,144,node/12193430401,yes,,0,,,,Mo-Fr 08:00-17:00,BWB,,,,
12259416901,node,47.1230687,9.5236719,permissive,Hoval AG Firmengelände Haupteingang,,AED im mobilen Notfallrucksack neben Eingangstüre,,defibrillator,144,node/12259416901,yes,,0,,,,Mo-Fr 7:00-17:30,Hoval AG,+423 399 23 82,,,
12259418801,node,47.1216857,9.5216408,permissive,"Hoval AG, Werksgelände",,Im mobilen Einsatzrucksack,,defibrillator,144,node/12259418801,yes,,0,,,,Mo-Fr 07:00-17:30,Hoval,+423 399 23 82,,,
12320165601,node,47.1142047,9.523798,permissive,Liecht. Business Center,,Beim Eingang innen an der Wand ,,defibrillator,144,node/12320165601,yes,,0,,,,Mo-Fr 7:30-18:00,Privat,+4232652500,,,
12372464101,node,47.1127779,9.5236913,private,Sigma Kreditbank Bürohaus ,,im Büro ,,defibrillator,144,node/12372464101,yes,,2,,,,Mo-Fr 07:30-17:30 ,Sigma Kreditbank,+4232390395,,,
12372470501,node,47.076753,9.5129422,private,ITW Gebäude Firma Plan:Ing,,im inneren des Gebäudes,,defibrillator,144,node/12372470501,yes,,2,,,,Mo-Fr 7:00-17:30,Firma Plan:Ing ,+4233779000,,,
12707297301,node,47.1760039,9.5116756,permissive,Frick Bau Magazin Büro,,"Im Büro, 1. Stock",,defibrillator,144,node/12707297301,yes,,1,,,,Mo-Fr 7:00-17:30,Frickbau AG,+4232364600,,,
12707301801,node,47.1667139,9.4913001,permissive,Frick Bau Elementwerk,,Im Büro,,defibrillator,144,node/12707301801,yes,,0,,,,Mo-Fr 7:30-17:30,Frickbau AG,+4232364600,,,
12886651201,node,47.1248517,9.5211696,permissive,NOX Systems AG,,Beim Haupteingang klingeln,,defibrillator,144,node/12886651201,yes,,1,,,,Mo-Fr 7:30-17:00,Firma NOX Systems,+4233702525,,,
12985552402,node,47.0649605,9.4979174,permissive,LAK Unterm Schloss 80,,beim Haupteingang rechts in einem Sideboard gelagert,,defibrillator,144,node/12985552402,yes,,0,,,,Mo-Su 7:00-18:00,LAK,+4233881313,,,
13096032201,node,47.1771995,9.5091026,permissive,Gebr. Hilti AG Baugeschäft Standort,,"Im Treppenhaus, zwischen Tiefgarage und Büro",,defibrillator,144,node/13096032201,yes,,0,,,,Mo-Fr 08:00-17:00,Gebr. Hilti AG,+4232371313,,,
13230327601,node,47.1099218,9.5259865,permissive,"Dr. Vogt Zahnarzt, Dorfstrasse 7b",,Ebenerdig in der Praxis,,defibrillator,144,node/13230327601,yes,,0,,,,Mo-Fr 7:30-17:30,Dr. Helmuth Vogt Zahnarzt,+4233922424,,,
13296381301,node,47.1282952,9.5228522,private,Schwärzler Rechtsanwälte,,Beim Empfang,,defibrillator,144,node/13296381301,yes,,0,,,,Mo-Fr 07:30-17:30,Schwärzler Rechtsanwälte,+423 239 85 40,,,
13307920301,node,47.1691321,9.5133669,,Gasser Partner Rechtsanwälte,,während Öffnungszeiten verfügbar,,defibrillator,144,node/13307920301,yes,,0,,,,Mo-Fr 08:00-17:00,Firma,+4232363080,,,
13363205401,node,47.1334101,9.5218811,permissive,Im Behandlungszimmer der Arztpraxis,,während der Öffnungszeiten verfügbar,,defibrillator,144,node/13363205401,yes,,0,,,,"Mo-Th 08:00-12:00,13:00-15:30",Arztpraxis,+423 232 11 39,,,
13508520501,node,47.1688895,9.493195,permissive,Nach dem Haupteingang Gang rechts um die Ecke,,"Anmeldung beim Kundendienst an der digitalen Infosäule im Eingangsbereich, Zugang nur für Mitarbeitende",,defibrillator,144,node/13508520501,yes,,0,,,,Mo-Fr 07:00-18:00,Liechtensteinische Post AG,,,,
13545531901,node,47.1975778,9.541792,permissive,"Kunstschule Nendeln, Churerstrasse 60",,Beim Haupteingang im Vorraum,,defibrillator,144,node/13545531901,yes,,0,,,,"Mo-Fr 8:00-12:00, 13:00-17:00",Kunstschule Nendeln,+4232220135,,,
13620828901,node,47.2500324,9.5272198,,Im Kokon Gebäude,,,,defibrillator,144,node/13620828901,yes,,0,,,,,,,,,
13622332901,node,47.1704075,9.5094899,permissive,"Stiftung 50 plus, Im Bretscha 22",,In den Werkstätten,,defibrillator,144,node/13622332901,yes,,0,,,,Mo-Fr 7:30-17:00,Stiftung 50 plus,+4232220135,,,
13684567301,node,47.2140602,9.5269979,,SZU OG2 Eingang,,während den regulären schulzeiten benutzbar 07:30-16:50,,defibrillator,144,node/13684567301,yes,,02,,,,Mo-Fr 07:30-16:50,Gemeinde Eschen,,,,
