osm_id,osm_type,lat,lon,access,addr:city,addr:housenumber,addr:postcode,addr:street,bicycle,check_date,colour,covered,defibrillator:location,defibrillator:location:fr,description,emergency,emergency:phone,foot,horse,id,indoor,latitude,layer,level,longitude,motor_vehicle,name,name:en,opening_hours,operator,operator:phone,operator:wikidata,phone,phone:CH,ref,source,support,survey:date,wheelchair
6925529153,node,46.7931714,7.1554987,,,,,,,,,,,,,defibrillator,144,,,node/6925529153,,,,,,,,,,,,,,,,,,,
6987098598,node,46.60048,7.2415195,yes,Im Fang,129,1656,Hauptstrasse,,,,,"Eingang Rettungsmaterial, Fassade.",,,defibrillator,144,,,node/6987098598,,,,,,,,,24/7,Feuerwehrgebäude der Gemeinde Jaun,,,,,,,,,
6987098604,node,46.6109384,7.2757024,yes,,,,,,,,,Autounterstand,,,defibrillator,144,,,node/6987098604,yes,,,,,,,,24/7,Samariterverein Jaun,,,+41 79 60072 86,,,,,,limited
7110299170,node,46.6585921,7.2938497,,,,,,,,,,"Eingang unten, visavis Sessellift, im Gebäude bei Treppe",,,defibrillator,144,,,node/7110299170,,,,,,,,,,,,,,,,,,,
7285541292,node,46.7932646,7.1561008,,,,,,,,,,,,,defibrillator,144,,,node/7285541292,,,,,,,,,,,,,,,,,,,
7352588261,node,46.5103411,6.8486884,yes,,,,,,,,,Dans la cabine téléphonique,,,defibrillator,144,,,node/7352588261,no,,,,,,,,24/7,,,,,,,,,,
8168737572,node,46.925778,7.1170588,,,,,,,,,,,,,defibrillator,144,,,node/8168737572,,,,,,,,,,,,,,,,surveying,,,
8198910052,node,46.5217174,6.949752,yes,,,,,,,,,A côté des toilettes,,,defibrillator,144,,,node/8198910052,no,,,,,,,,24/7,,,,,,,,,,
8401892992,node,46.8667867,7.0136961,,,,,,,,,yes,"à l'extérieur, à gauche de l'entrée de la maison communale, sous le débord du 1er",,,defibrillator,144,,,node/8401892992,no,,,,,,,,,,,,,,,,pole,,
8556724863,node,46.4864974,7.0436004,yes,,,,,,,,,Treppe rauf und Rechts neben dem Eingang.,,,defibrillator,144,,,node/8556724863,no,,,,,,,,24/7,"Commune de Haut Intyamon, Rue du Moléson 19, 1669 Albeuve",,,+41 26 928 40 40,,,,,,
8557223186,node,46.8876954,7.1936682,yes,,,,,,,,,Bei der Gemeindeverwaltung aussen an der Wand im hellgrünen Kasten.,,,defibrillator,144,,,node/8557223186,no,,,,,,,,24/7,"Gemeindeverwaltung Kleinbösingen, Andrea Zürcher",,,+41 78 806 46 98,,,,,,
8557276817,node,46.8921892,7.2030401,yes,,,,,,,,,Vor der Zivilschutzanlage,,,defibrillator,144,,,node/8557276817,no,,,,,,,,24/7,"Gemeindeverwaltung Kleinbösingen, Andrea Zürcher",,,+41 78 806 46 98,,,,,,
8561068024,node,46.7684165,7.1960945,yes,,,,,,,,,Aussen links beim Haupteingang zum Heim Linde,,,defibrillator,144,,,node/8561068024,no,,,,,,,,24/7,"Heim Linde, Herr Danczkai",,,+41 26 418 93 33,,,,,,
8562598582,node,46.7598596,7.2122844,,,,,,,,,,Haupteingang Turnhalle Eingangsbereich,,,defibrillator,144,,,node/8562598582,yes,,,,,,,,"Mo-Fr 07:50-11:25,13:10-14:50",Lüdi Alain,,,+41 79 158 15 32,,,,,,
8572041517,node,46.8161114,6.7872228,,,,,,,,,,Entrée batiment communale,,,defibrillator,144,,,node/8572041517,no,,,,,,,,24/7,Cheyres-Châbles,,,,,,,,,
8577602968,node,46.9082673,7.1119067,yes,,,,,,,,,Hauptstrasse Murten Fribourg Kreisel Courgevaux 3 Ausfahrt zum Schulhaus beim Haupteingang links,,,defibrillator,144,,,node/8577602968,no,,,,,,,,24/7,,,,,,,,,,
8585585217,node,46.8746247,7.2849287,,,,,,,,,,"Ambulanz und Rettungsdienst Sense AG, Altschlossstrasse 19, 3184 Wünnewil",,,defibrillator,144,,,node/8585585217,no,,,,,,,,24/7,Ambulanz und Rettungsdienst Sense AG,,,+41264961266,,,,,,
8592079955,node,46.8871532,7.308295,yes,,,,,,,,,Eingang Begegnungszentrum Reformierte Kirchgemeinde,,,defibrillator,144,,,node/8592079955,no,,,,,,,,24/7,Reformierte Kirchgemeinde Wünnewil Flamatt Überstorf,,,,,,,,,
8655816217,node,46.7587049,7.2989583,,,,,,,,,,Migros Florissima,,Während Oeffungszeiten Verfügbar.,defibrillator,144,,,node/8655816217,yes,,,,,,,,Mo-Fr 09:00-20:00; Sa 09:00-18:00,Privat,,,,,,,,,
8780817424,node,46.9539788,7.183461,,,,,,,,,,,,,defibrillator,144,,,node/8780817424,,,,,,,,,,,,,,,,,,,
8840974467,node,46.9731851,7.1970618,yes,,,,,,,,,"Defibrillator (bei Sporthalle Schmittengässli) ist beim oberen Eingang, beim Durchgang zwischen der OS Kerzers und der Sporthalle Schmittengässli zu finden. Leuchtet ebenfalls grün und ist für jedermann zugänglich.",,,defibrillator,144,,,node/8840974467,no,,,,,,,,24/7,Gemeindeverwaltung Kerzers,,,+41 800 122 144,,,,,,
8840974468,node,46.9750459,7.1944249,yes,,,,,,,,,Defibrillator ist im Eingangsbereich der Freiburger Kantonalbank zu finden.,,,defibrillator,144,,,node/8840974468,yes,,,,,,,,24/7,Freiburger Kantonalbank,,,+41 43 433 66 00,,,,,,
8840974469,node,46.9759665,7.1958625,yes,,,,,,,,,"Defibrillator (bei der Gemeindeverwaltung Kerzers) ist neben dem Lift der Gemeindeverwaltung Kerzers für Jedermann zugänglich, steht direkt neben dem Zentralen Empfang und leuchtet Grün.",,,defibrillator,144,,,node/8840974469,no,,,,,,,,24/7,Gemeindeverwaltung Kerzers,,,+41 800 122 144,,,,,,
8849215442,node,46.8564503,6.8487576,,,,,,,,,,Aussenwand gegen See,,,defibrillator,144,,,node/8849215442,,,,,,,,,,,,,,,,,,,
8852591230,node,46.7604722,7.2799367,yes,,,,,,,,,"frei zugänglich, Aussenfassade Mehrzweckhalle, linke Seite des Einganges, in der Nacht durchgehend gut beleuchtet",,,defibrillator,144,,,node/8852591230,no,,,,,,,,24/7,"Gemeinde Brünisried, Alexander Weber",,,+41 79 654 97 80,,,,,,
8852591231,node,46.7493363,7.2814478,yes,,,,,,,,,"frei zugänglich, Stirnseite Aussengarage, direkt an Bergstrasse und frei sichtbar, durch Strassenlampe beleuchtet, zudem blinkt das Gerät",,,defibrillator,144,,,node/8852591231,no,,,,,,,,24/7,"Gemeinde Brünisried, Alexander Weber",,,+41 79 654 97 80,,,,,,
8988599117,node,46.9040941,7.1629395,yes,,,,,,,,,Schulhaus Jeuss,,bei der Eingangstür,defibrillator,144,,,node/8988599117,no,,,,,,,,24/7,,,,,,,,,,
8989732717,node,46.7681887,7.2395554,yes,,,,,,,,,"Gemeindehaus Rechthalten, Eingang öffentliche Toilette ",,Immer verfügbar,defibrillator,144,,,node/8989732717,yes,,,,,,,,24/7,Gemeinde Rechthalten,,,,,,,,,
8998795317,node,46.8539439,7.1868803,,,,,,,,,,"Empfang, Haupteingang",,während Bürozeiten verfügbar,defibrillator,144,,,node/8998795317,yes,,,,,,,,Mo-Fr 08:00-17:00,Medion Grifols Diagnostics AG,,,,,,,,,
9045483604,node,46.8179743,6.7827564,,,,,,,,,,Au milieu du couloir entre les batiments,,,defibrillator,144,,,node/9045483604,no,,,,,,,,,,,,,,,,,,
9078798862,node,46.8900831,7.3140287,yes,,,,,,,,,in der 24h Zone,,,defibrillator,144,,,node/9078798862,yes,,,,,,,,24/7,Raiffeisenbank Sensetal Genossenschaft,,,+41 31 919 12 12,,,,,,
9095078517,node,46.8544076,7.2500884,yes,,,,,,,,,Apotheke neben Eingang,,,defibrillator,144,,,node/9095078517,no,,,,,,,,24/7,,,,,,,,,,
9149857817,node,46.8897055,7.317729,,,,,,,,,,Bernstrasse 34 3175 Flamatt,,während den Öffnungszeiten,defibrillator,144,,,node/9149857817,yes,,,,,,,,24/7,Gesundheitscenter,,,+41 31 741 15 51,,,,,,
9153664799,node,46.7947299,7.2609074,yes,,,,,,,,,"Im Vorraum der Raiffeisenbank, rechts neben dem Bankomat",,,defibrillator,144,,,node/9153664799,yes,,,,,,,,24/7,Samariterverein Alterswil/Anita Piller,,,+41797556563,,,,,,
9158929778,node,46.8260711,6.8086843,,,,,,,,,,,,,defibrillator,144,,,node/9158929778,,,,,,,,,,,,,,,,,,,
9230938718,node,46.8732262,7.2694653,yes,,,,,,,,,Orientierungsschule Wünnewil,,öffentlich zugänglich,defibrillator,144,,,node/9230938718,no,,,,,,,,,Gemeinde,,,,,,,,,
9417911529,node,46.7543237,7.2926192,yes,,,,,,,,,"Beim Eingang ins Bürogebäude, oberhalb vom Briefkasten",,,defibrillator,144,,,node/9417911529,no,,,,,,,,24/7,"Neuhaus Gregor, Zumwald-Neuhaus AG",,,+41 26 419 12 40,,,,,,
9417986776,node,46.7340568,7.2693346,no,,,,,,,,,Im Fahrzeug von M.Kolly BLS-AED Instruktor nach SRC,,"in einem Fahrzeug, nur auf Kontakt mit Besitzer erreichbar",defibrillator,144,,,node/9417986776,yes,,,,,,,,,Kolly Markus,,,+41796078773,,,,,,
9455436948,node,46.9306087,7.1274608,,,,,,,,,,"Das Gebäude über den Haupteingang betreten, Defi befindet sich rechts neben dem Empfang, neben dem Personalaufzug",,,defibrillator,144,,,node/9455436948,yes,,,,,,,,"Mo-Fr 08:00-12:00, 13:00-17:00","Philipp Jaggi, Local Facility Manager - Safety Delegate",,,+41796110249,,,,,,
9522278423,node,46.8648163,7.310881,yes,,,,,,,,,24h Zone bei den Bancomaten,,,defibrillator,144,,,node/9522278423,yes,,,,,,,,24/7,Raiffeisenbank Schwarzwasser,,,+41 31 734 55 55,,,,,,
9529314164,node,46.8660775,7.3142316,yes,,,,,,,,,Rechts neben der Eingangstür der Gemeindeverwaltung sind die öffentlichen Toiletten. Zwischen der Damentoilette und der Rollstuhl Toilette befindet sich der Defibrillator.,,,defibrillator,144,,,node/9529314164,no,,,,,,,,24/7,Gemeindeverwaltung Ueberstorf,,,+41 31 740 88 88,,,,,,
9542715538,node,46.582336,7.0729493,yes,,,,,,,,,Dans l'entrée du musée,,,defibrillator,144,,,node/9542715538,yes,,,0,,,,,,,,,,,,,,,
9550502223,node,46.8071092,7.1549732,yes,,,,,,,,,Dans le hall d'entrée,,,defibrillator,144,,,node/9550502223,yes,,,0,,,,,,,,,,,,,,,
9574996217,node,46.6632041,7.2759761,no,,,,,,,,,ZIVI Gebäude A,,im Eingangsbereich,defibrillator,144,,,node/9574996217,yes,,,,,,,,,ZIVI,,,,,,,,,
9611094117,node,46.8133716,7.1333854,,,,,,,,,,,,,defibrillator,144,,,node/9611094117,,,,,,,,,,,,,,,,,,,
9620579417,node,46.8080095,7.1283874,,,,,,,,,,,,,defibrillator,144,,,node/9620579417,,,,,,,,,,,,,,,,,,,
9622997154,node,46.8031033,7.1521613,yes,,,,,,,,,Dans l'entrée du centre commercial,,,defibrillator,144,,,node/9622997154,yes,,,3,,,,,,,,,,,,,,,
9623065287,node,46.8033815,7.1530311,yes,,,,,,,,,Dans l'entrée du centre commercial,,,defibrillator,144,,,node/9623065287,yes,,,2,,,,,,,,,,,,,,,
9646675825,node,46.6875039,7.0865894,yes,,,,,,,,,Draussen vor dem Eingang,,,defibrillator,144,,,node/9646675825,no,,,,,,,,24/7,,,,,,,,,,
9689258717,node,46.8065803,7.161247,,,,,,,,,,"Hotel de la Rose, im Foyer bei der Reception",,,defibrillator,144,,,node/9689258717,yes,,,,,,,,Mo-Su 07:00-22:00,Hotel de la Rose,,,,,,,,,
9718155017,node,46.9326136,7.1528362,yes,,,,,,,,,Ofenhaus,,,defibrillator,144,,,node/9718155017,no,,,,,,,,24/7,Gemeinde Murten,,,,,,,,,
9763784981,node,46.8035433,7.1547925,yes,,,,,,,,,Im Vermögenszentrum,,,defibrillator,144,,,node/9763784981,yes,,,,,,,,Mo-Fr 08:00-17:30,"Tamara Oppliger, Jennifer Meuwly",,,+41 26 350 90 90,,,,,,
9825186577,node,46.9302177,7.1172758,,,,,,,,,,Eingang Hotel,,,defibrillator,144,,,node/9825186577,yes,,,,,,,,,,,,,,,,,,
9843994354,node,46.8199316,7.2588226,yes,,,,,,,,,"Der Defibrillator befindet sich im Pfarreihaus Antoniusweg 32 (im Eingang), 1713 St. Antoni Der Eingang befindet sich ca. 50 m östlich der (weitherum gut sichtbaren) katholischen Kirche.",,,defibrillator,144,,,node/9843994354,yes,,,,,,,,24/7,katholische Pfarrei St. Antoni,,,+41 26 495 11 31,,,,,,
9847088867,node,46.8955474,6.9391915,,,,,,,,,,sur le mur du batiment scolaire,,,defibrillator,144,,,node/9847088867,no,,,,,,,,24/7,,,,,,,,,,yes
9863392517,node,46.9404963,7.1975407,yes,,,,,,,,,Altes Feuerwehrlokal,,Aussenfassade,defibrillator,144,,,node/9863392517,no,,,,,,,,,,,,,,,,,,
9863464518,node,46.9405186,7.1975575,yes,,,,,,,,,Altes Feuerwehrlokal Gempenach,,Aussenwand,defibrillator,144,,,node/9863464518,no,,,,,,,,,,,,,,,,,,
9899496818,node,46.9329037,7.1999253,yes,,,,,,,,,"Schulhausweg 2, 3214 Ulmiz",,,defibrillator,144,,,node/9899496818,no,,,,,,,,24/7,Gemeinde Gurmels,,,,,,,,,
9917843300,node,46.8153774,7.1265045,yes,,,,,,,,,Verkaufsfläche LIDL,,während Öffnungszeiten verfügbar,defibrillator,144,,,node/9917843300,yes,,,,,,,,,LIDL Schweiz,,,+41716278074,,,,,,
9917845062,node,46.7829067,7.1474285,yes,,,,,,,,,Verkaufsfläche LIDL,,während Öffnungszeiten verfügbar,defibrillator,144,,,node/9917845062,yes,,,,,,,,,LIDL Schweiz,,,+41716278074,,,,,,
9917845069,node,46.9173131,7.107123,yes,,,,,,,,,Verkaufsfläche LIDL,,während Öffnungszeiten verfügbar,defibrillator,144,,,node/9917845069,yes,,,,,,,,,LIDL Schweiz,,,+41716278074,,,,,,
9917845077,node,46.7825724,7.0958792,yes,,,,,,,,,Verkaufsfläche LIDL,,während Öffnungszeiten verfügbar,defibrillator,144,,,node/9917845077,yes,,,,,,,,,LIDL Schweiz,,,+41716278074,,,,,,
9917845087,node,46.8539627,7.1898403,yes,,,,,,,,,Verkaufsfläche LIDL,,während Öffnungszeiten verfügbar,defibrillator,144,,,node/9917845087,yes,,,,,,,,,LIDL Schweiz,,,+41716278074,,,,,,
9917845092,node,46.6151994,7.0503924,yes,,,,,,,,,Verkaufsfläche LIDL,,während Öffnungszeiten verfügbar,defibrillator,144,,,node/9917845092,yes,,,,,,,,,LIDL Schweiz,,,+41716278074,,,,,,
9936208718,node,46.9207149,6.9547869,no,,,,,,,,,Camping Info,,,defibrillator,144,,,node/9936208718,no,,,,,,,,,,,,,,,,,,
9938871093,node,46.7662473,7.0646961,,,,,,,,,,,,,defibrillator,144,,,node/9938871093,,,,,,,,,,,,,,,,,,,
9967406023,node,46.7681181,7.1151148,,,,,,,,,,"Exterior, just at building entrance",,,defibrillator,144,,,node/9967406023,no,,,,,,,,,,,,,,,,,,
9979935609,node,46.8502808,7.1906242,yes,,,,,,,,,Einkaufszentrum Bahnhof (COOP),,,defibrillator,144,,,node/9979935609,yes,,,,,,,,Mo-Su 08:00-17:00,Arztpraxis,,,,,,,,,
9979935610,node,46.845998,7.1913293,yes,,,,,,,,,"Samariterverein Düdingen, Parkplatz Ochsen",,,defibrillator,144,,,node/9979935610,yes,,,,,,,,24/7,Samariterverein Düdingen,,,,,,,,,
9979935611,node,46.8627777,7.2522475,yes,,,,,,,,,"Bahnhof SBB/BLS, Südseite, an der Gebäudeaussenseite beim Fahrradunterstand",,,defibrillator,144,,,node/9979935611,no,,,,,,,,24/7,,,,,,,,,,
9979935612,node,46.8609517,7.2492848,yes,,,,,,,,,Behindertenheim Schmitten SSB,,,defibrillator,144,,,node/9979935612,yes,,,,,,,,Mo-Su 07:30-16:30,,,,,,,,,,
9979935613,node,46.8582377,7.2561117,yes,,,,,,,,,Sporthalle Gwatt. Nur bei Anlässen zugänglich,,,defibrillator,144,,,node/9979935613,yes,,,,,,,,Mo-Su 07:00-20:00,,,,,,,,,,
9979935614,node,46.8079311,7.2169863,yes,,,,,,,,,Stiftung ssb: Wohnheim im Eingangsbereich,,,defibrillator,144,,,node/9979935614,yes,,,0,,,,,Mo-Su 07:00-20:00,Stiftung ssb,,,,,,,,,
9979935615,node,46.81056,7.211601,yes,,,,,,,,,"HFR Spital Tafers, Notfall",,,defibrillator,144,,,node/9979935615,yes,,,,,,,,24/7,,,,,,,,,,
9979935616,node,46.814604,7.2157716,yes,,,,,,,,,Freiburger Kantonalbank FKB,,,defibrillator,144,,,node/9979935616,yes,,,,,,,,Mo-Fr 08:00-17:00,,,,,,,,,,
9979970617,node,46.8139349,7.2186533,yes,,,,,,,,,Orientierungschule Tafers,,,defibrillator,144,,,node/9979970617,yes,,,,,,,,Mo-Fr 08:00-15:00,Gemeinde Tafers,,,,,,,,,
9979970618,node,46.8163551,7.2182436,yes,,,,,,,,,"Primarschule Tafers, Erdgeschoss.",,,defibrillator,144,,,node/9979970618,yes,,,,,,,,Mo-Sa 08:00-15:00,Gemeinde Tafers,,,,,,,,,
10013028518,node,46.8978696,7.236205,,,,,,,,,,Jost-Egge Eingansbereich,,,defibrillator,144,,,node/10013028518,no,,,,,,,,24/7,Gemeinde,,,,,,,,,
10022603118,node,46.9898569,7.2007847,,,,,,,,,,"Papiliirama, 3210 Kerzers",,,defibrillator,144,,,node/10022603118,yes,,,,,,,,Mo-Su 10:00-17:00,Zoo,,,+41317560461,,,,,,
10029332875,node,46.7596685,7.2189778,yes,,,,,,,,,Aussenbereich der Buvette,,,defibrillator,144,,,node/10029332875,yes,,,,,,,,24/7,Gemeinde Giffers,,,+41 26 418 26 26,,,,,,
10029332876,node,46.7617648,7.2102181,yes,,,,,,,,,Vorraum (Bankomat) der Raiffeisenbank,,,defibrillator,144,,,node/10029332876,yes,,,,,,,,24/7,Gemeinde Giffers,,,+41 26 418 26 26,,,,,,
10068469904,node,46.8090191,7.1570658,yes,,,,,,,,,Dans le hall des vestiaires,,,defibrillator,144,,,node/10068469904,yes,,,0,,,,,,,,,,,,,,,
10068566545,node,46.8065474,7.1531352,yes,,,,,,,,,Dans le hall d'entrée,,Pendant les heures d'ouverture,defibrillator,144,,,node/10068566545,yes,,,0,,,,,,,,,,,,,,,
10108102125,node,46.5945065,7.0932037,yes,,,,,,,,,Toilettes publiques,,,defibrillator,144,,,node/10108102125,yes,,,,,,,,24/7,,,,+41 26 921 00 40,,,,,,
10118291554,node,46.793361,7.159194,,,,,,,,,,"Infirmerie bâtiment A, 1er étage",,,defibrillator,144,,,node/10118291554,yes,,,1,,,,,Mo-Fr 07:30-18:00,,,,,,,,,,
10132483817,node,46.8022591,7.1462251,yes,,,,,,,,,SKJV,,,defibrillator,144,,,node/10132483817,yes,,,,,,,,,,,,,,,,,,
10139373859,node,46.614961,7.0529464,,,,,,,,,,"Il est à l’accueil, à l’entrée du fitness",,,defibrillator,144,,,node/10139373859,yes,,,,,,,,Mo-Fr 08:00-21:30; Sa 09:00-17:00,Let’s Go Fitness Bulle,,,+41269195000,,,,,,
10146483188,node,46.8169002,7.2137891,yes,,,,,,,,,Mehrzweckgebäude: Links an der Frontfassade,,,defibrillator,144,,,node/10146483188,no,,,,,,,,24/7,Gemeinde Tafers,,,+41 26 494 80 12,,,,,,
10158134317,node,46.8491297,6.8503565,no,,,,,,,,,Entre la Raiffeisen et Bloechle Cuisines ,,Durant les heures d'ouverture ,defibrillator,144,,,node/10158134317,yes,,,,,,,,,,,,,,,,,,
10170124012,node,46.8930828,7.2300124,yes,,,,,,,,,Eingang zur Turnhalle,,,defibrillator,144,,,node/10170124012,no,,,,,,,,24/7,Gemeinde Bösingen / Samariter Zollet Erwin,,,+41 31 747 21 21,,,,,,
10172795517,node,46.8491914,6.8503672,no,,,,,,,,,Mon Chocolatier SA,,entre Bloechle Cuisine et la Raiffeisen ,defibrillator,144,,,node/10172795517,yes,,,,,,,,,Boutique ,,,+41792537517,,,,,,
10199027888,node,46.8230608,7.2090027,yes,,,,,,,,,Bei der Agrola Tankstelle,,,defibrillator,144,,,node/10199027888,no,,,0,,,,,24/7,LANDI Sense-Düdingen,,,+41 26 494 12 21,,,,,,
10231044694,node,46.8492246,7.1962461,yes,,,,,,,,,Im Erdgeschoss vom Pflegeheim,,,defibrillator,144,,,node/10231044694,yes,,,0,,,,,24/7,Stiftung St. Wolfgang,,,+41 26 492 69 00,,,,,,
10231050223,node,46.8931057,7.2262734,yes,,,,,,,,,Im Erdgeschoss vom Pfleheim,,,defibrillator,144,,,node/10231050223,yes,,,0,,,,,24/7,Stiftung St. Wolfgang,,,+41 31 740 41 00,,,,,,
10231059066,node,46.8908058,7.3198651,yes,,,,,,,,,Im Erdgeschoss vom Pflegeheim,,,defibrillator,144,,,node/10231059066,yes,,,0,,,,,24/7,Stiftung St. Wolfgang,,,+41 31 744 61 00,,,,,,
10231066660,node,46.8545373,7.250998,yes,,,,,,,,,Im Erdgeschoss vom Pflegeheim,,,defibrillator,144,,,node/10231066660,yes,,,0,,,,,24/7,Stiftung St. Wolfgang,,,+41 26 497 80 80,,,,,,
10241824661,node,46.796869,7.1505711,yes,,,,,,,,,"Le second se trouve proche de l'entrée principale. Au fond du hall d'entrée, tournez à gauche et rendez-vous jusqu'à l'ascenseur. Le défibrillateur se situe juste derrière, à côté des boîte aux lettres.",,,defibrillator,144,,,node/10241824661,yes,,,,,,,,Mo-Fr 07:00-22:00,Gil Stern,,,+41264296006,,,,,,
10241824662,node,46.7968692,7.1505828,yes,,,,,,,,,"Deux défibrillateurs se situent dans le bâtiment. Le premier est situé à l'entrée nord. Dès votre entrée, monter les quelques premières marches et partez à droite. Passez la porte et le défibrillateur se trouve juste derrière, directement à gauche.",,,defibrillator,144,,,node/10241824662,yes,,,,,,,,Mo-Fr 07:00-22:00,Gil Stern,,,+41264296006,,,,,,
10248397250,node,46.7922768,7.1603367,,,,,,,,,,"Bâtiment G, rez-de-chaussée",,,defibrillator,144,,,node/10248397250,yes,,,0,,,,,Mo-Fr 07:30-18:00,Dominique Mooser,,,+41 26 429 67 13,,,,,,
10276429846,node,46.7143313,6.9979,,,,,,,,,,Devant l'entrée de la Crèmerie du Gibloux,,,defibrillator,144,,,node/10276429846,,,,,,,,,,Commune de Villorsonnens,,,,,,,,,
10296642253,node,46.9283028,7.1160064,yes,,,,,,,,,An der Wand,,,defibrillator,144,,,node/10296642253,no,,,,,,,,24/7,,,,,,,,,,limited
10296732740,node,46.929041,7.1181019,,,,,,,,,,Inside ATM room,,,defibrillator,144,,,node/10296732740,yes,,,,,,,,,,,,,,,,,,
10304977236,node,46.8140147,7.2166222,yes,,,,,,,,,"Gemeindeverwaltung Tafers, Eingang rechts",,,defibrillator,144,,,node/10304977236,no,,,0,,,,,24/7,Gemeinde Tafers,,,+41 26 494 80 10,,,,,,
10304977237,node,46.8212819,7.2655819,yes,,,,,,,,,"Reformierte Kirche St. Antoni, Eingang",,,defibrillator,144,,,node/10304977237,no,,,0,,,,,24/7,Reformierte Kirchgemeinde St. Antoni,,,+41 26 494 36 42,,,,,,
10543716605,node,46.7982819,7.1195198,,,,,,,,,,Outside in an external box,,,defibrillator,144,,,node/10543716605,no,,,,,,,,,,,,,,,,,,
10574096156,node,46.5136892,6.9521052,yes,,,,,,,,,Au poste de secours,,Pendant les heures d'ouverture des installations de ski,defibrillator,144,,,node/10574096156,yes,,,0,,,,,,,,,,,,,,,
10592519005,node,46.8578543,7.1857119,yes,,,,,,,,,neben eingang 22b,,frei zugänglich,defibrillator,144,,,node/10592519005,no,,,,,,,,,,,,,,,,,,
10593493505,node,46.7704806,7.1616141,,,,,,,,,,Hostettler autotechnik vis à vis de l’éléphant bleu,,,defibrillator,144,,,node/10593493505,yes,,,0,,,,,"Mo-Fr 07:30-12:00,13:15-17:00",privé,,,+41793783299,,,,,,
10604114006,node,46.9657612,7.1147063,yes,,,,,,,,,Treppenhaus süd/west ganz unten bei Anschlagbrett,,,defibrillator,144,,,node/10604114006,no,,,-1,,,,,24/7,Hochmuth Port de Sugiez SA,,,+41266733830,,,"local_knowledge, defikarte.ch",,,
10614867915,node,46.8990446,7.1410316,yes,,,,,,,,,Neben Gemeinde Aushang,,in Aussenbereich immer verfügbar,defibrillator,144,,,node/10614867915,no,,,0,,,,,24/7,Gemeinde,,,,,,,,,
10633803905,node,46.8569598,7.1904193,,,,,,,,,,Kundenschalter Baucenter,,während den Öffnungszeiten verfügbar,defibrillator,144,,,node/10633803905,yes,,,0,,,,,"Mo-Fr 07:00-12:00,13:00-17:00; Sa 07:30-12:00",Firma,,,+41 26 492 20 20,,,,,,
10737139305,node,46.9157558,7.105118,yes,,,,,,,,,Eingang Ambulanz- & Rettungsdienst Murten,,Immer verfügbar,defibrillator,144,,,node/10737139305,no,,,,,,,,24/7,Ambulanz Murten,,,+4126 672 95 10,,,"local_knowledge, defikarte.ch",,,
10739529806,node,46.8488077,6.9191015,yes,,,,,,,,,Entrée restaurant Topair,,Disponible en tout temps,defibrillator,144,,,node/10739529806,no,,,,,,,,24/7,Base aérienne militaire de Payerne,,,+41793993494,,,"local_knowledge, defikarte.ch",,,
10747665873,node,46.7962783,7.2621877,yes,,,,,,,,,"Mehrzweckgebäude MZG, Haupteingang (aussen, rechts)",,,defibrillator,144,,,node/10747665873,no,,,,,,,,24/7,Gemeinde Tafers,,,,,,,,,
10763310419,node,46.77091,7.16092,yes,,,,,,,,,Empfang Fitnesscenter,,gelber Koffer,defibrillator,144,,,node/10763310419,yes,,,,,,Qualicert AG,,,Lifetec AG Schweiz,,,+41 800 122 144,,,,,,
