osm_id,osm_type,lat,lon,access,addr:housenumber,addr:street,check_date,defibrillator:location,description,emergency,emergency:phone,highway,id,indoor,level,name,opening_hours,operator,phone,ref,source,start_date,url,website,wheelchair
8560997397,node,47.6656633,8.4706159,,,,,Kommandofahrzeug Radegg 01,,defibrillator,144,,node/8560997397,yes,,,24/7,First Responder der Feuerwehr Wilchingen/ Hptm Dani Stoll,+41 79 602 82 42,,,,,,
8600179517,node,47.6907301,8.4580766,no,,,,Fitness Hallau,Während Öffnungszeiten,defibrillator,144,,node/8600179517,yes,,,,Fitness Hallau,,,,,,,
8600197517,node,47.6959385,8.6378112,no,,,,"Zahnarztpraxis Dr. Neumann, Vordergasse 4",Während Öffnungszeiten,defibrillator,144,,node/8600197517,yes,,,,Praxis,,,,,,,
8841314617,node,47.5792353,8.5665265,yes,,,,"Schulhaus Chapf, Rüdlingen",,defibrillator,144,,node/8841314617,no,,,24/7,Gemeinde,,,,,,,
8921602887,node,47.6973761,8.6362812,,,,,"rechter Eingang Windfang, Wand rechts",während Öffnungszeiten verfügbar,defibrillator,144,,node/8921602887,yes,,,,KGV SH,,,,,,,
8921602888,node,47.7127263,8.6423926,,,,,"Vorraum Kirche, Wand rechts zu Sekretariat",während Öffnungszeiten verfügbar,defibrillator,144,,node/8921602888,yes,,,,KGV SH,,,,,,,
8921602889,node,47.6971606,8.6593696,,,,,"Foyer , Wand links neben Saaleingang",während Öffnungszeiten verfügbar,defibrillator,144,,node/8921602889,yes,,,,KGV SH,,,,,,,
8928640517,node,47.7012714,8.5751888,yes,,,,"Zimmerberghalle, aussen links neben dem Eingang an der Wand im weissen Kasten.",,defibrillator,144,,node/8928640517,no,,,24/7,Gemeinde,,,,,,,limited
8928649117,node,47.6963831,8.5740236,yes,,,,Haupteingang Gemeindeverwaltung,,defibrillator,144,,node/8928649117,no,,,24/7,Gemeinde,,,,,,,
8938957017,node,47.6904534,8.499043,yes,,,,Torbogen unter Gemeindehaus,,defibrillator,144,,node/8938957017,no,,,24/7,Gemeinde,,,,,,,
8988104917,node,47.6893432,8.4965483,yes,,,,"Gemeindeverwaltung, direkt links neben dem Briefkasten der Gemeindeverwaltung beim Eingang in dem grünen Kasten an der Wand.",,defibrillator,144,,node/8988104917,no,,,24/7,Gemeinde Neunkirch,,,,,,,yes
9045639317,node,47.6595622,8.8595833,yes,,,,"Schaffhauser Kantonalbank, 1.OG am Empfang",während den Öffnungszeiten verfügbar,defibrillator,144,,node/9045639317,yes,,,"Mo-Fr 08:30-12:00,14:00-16:30",Schaffhauser Kantonalbank,+41527423512,,,,,,
9141378798,node,47.7049208,8.5728671,,,,,Raum Bademeister,während Öffnungszeiten verfügbar,defibrillator,144,,node/9141378798,yes,,,,Einwohnergemeinde Beringen,+41 52 687 24 24,,,,,,
9207282332,node,47.6855689,8.5568985,yes,,,,"Seite Dorfstrasse, bei Schaukästen Neu-/Anbau",,defibrillator,144,,node/9207282332,no,,,24/7,Einwohnergemeinde Beringen,+41 52 687 24 24,,,,,,
9211814317,node,47.6753611,8.601442,no,,,,"im Gebäude, Erdgeschoss beim Lift",Zugangsschlüssel benötigt,defibrillator,144,,node/9211814317,yes,,,,,,,,,,,
9290775507,node,47.6731789,8.5904411,private,,,,Umkleide Stadion Langriet,,defibrillator,144,,node/9290775507,yes,,,,,,,,,,,
9296440332,node,47.6596266,8.85933,,,,,In der Apotheke,,defibrillator,144,,node/9296440332,yes,,,Mo-Fr 08:30-18:30,,,,,,,,
9309393117,node,47.7405717,8.7191568,yes,,,,Zoll Thayngen,,defibrillator,144,,node/9309393117,yes,,,24/7,EZV,,,,,,,
9309393118,node,47.7941209,8.5879785,yes,,,,Zoll Bargen,,defibrillator,144,,node/9309393118,yes,,,Mo-Fr 07:00-20:00,EZV,,,,,,,
9309393119,node,47.7080031,8.6450906,,,,,Zoll Schaffhausen,,defibrillator,144,,node/9309393119,yes,,,Mo-Fr 08:00-17:00,EZV,,,,,,,
9309393120,node,47.6695991,8.5958001,,,,,Zoll Neuhausen,,defibrillator,144,,node/9309393120,yes,,,Mo-Fr 07:00-20:00,EZV,,,,,,,
9309410817,node,47.7121367,8.8224614,,,,,Zoll Ramsen,,defibrillator,144,,node/9309410817,yes,,,Mo-Fr 08:00- 17:00,EZV,,,,,,,
9344283717,node,47.7572049,8.6533839,yes,,,,Büttenhardt Dorfplatz,"In einem Häuschen an der Bushaltestelle ""Büttenhardt Dorf""",defibrillator,144,,node/9344283717,no,,,24/7,Gemeine,,,,,,,
9427312546,node,47.7002538,8.5527572,yes,,,,Beim Eingang zur Gemeindekanzlei - neben den Briefkästen,,defibrillator,144,,node/9427312546,no,,,24/7,Gemeindekanzlei Löhningen,+41 52 685 24 40,,,,,,
9455787317,node,47.7019219,8.6245179,,,,,Haupteingang Zeughaus beim Sekretariat,,defibrillator,144,,node/9455787317,yes,,,Mo-Fr 08:00-12:00,Kantonale verwaltung,,,,,,,
9485314788,node,47.7169488,8.5192195,yes,,,,Eingang Mehrzweckhalle,,defibrillator,144,,node/9485314788,no,,,24/7,"Gemeinde Siblingen, Gemeindekanzlei",+4152 685 22 74,,,,,,
9529769217,node,47.7026026,8.497589,yes,,,,Gemeindehaus Gächlingen,,defibrillator,144,,node/9529769217,no,,,24/7,,,,,,,,
9529770617,node,47.7018404,8.4944706,yes,,,,Eingang Turnhalle Gächlingen,,defibrillator,144,,node/9529770617,no,,,24/7,,,,,,,,
9555922164,node,47.7216215,8.6439486,yes,,,,An der Wand rechts neben dem Eingang zur Life Hall aussen an der Fassade.,,defibrillator,144,,node/9555922164,,0,,24/7,Life Church,,,,,,,yes
9560548821,node,47.696257,8.6337386,customers,,,,Im Manor beim Durchgang zum Coop oberhalb der Rolltreppen und den zwei Treppenstufen an der Wand beim Fotoautomat.,,defibrillator,144,,node/9560548821,yes,0,,"Mo-Fr 08:00-19:00, Sa 08:00-18:00",,,,,,,,limited
9587110237,node,47.7173363,8.6619714,,,,,"Pestalozzi AG im Haustechcenter SH, Im Verkaufsshop",während Öffnungszeiten verfügbar,defibrillator,144,,node/9587110237,yes,,,,"reavita AG, Grubenstrasse 56, 8045 Zürich",+41 44 466 80 66,,,,,,
9628005316,node,47.7402153,8.6619117,yes,,,,"Neben dem Haupteingang vom Schulhaus, direkt an der Dorfstrasse",,defibrillator,144,,node/9628005316,no,,,24/7,,,,,,,,
9628051837,node,47.7384132,8.6583361,yes,,,,Neben dem Eingang zum Dorfladen im Zwischengang zwischen Gemeindekanzlei und Dorfladen im grünen Kasten.,,defibrillator,144,,node/9628051837,no,,,24/7,Gemeinde Stetten,,,,,,,yes
9647830617,node,47.7191842,8.6566825,,,,,Herblinger Str. 52,während der Öffnungszeiten,defibrillator,144,,node/9647830617,no,,,08:00-18:00,Arztpraxis,+41 52 643 23 70,,,,,,
9649271552,node,47.7211541,8.672373,,,,,"Haupteingang, Anlieferung",,defibrillator,144,,node/9649271552,yes,,,Mo-Fr 08:00-17:30,"Rüeger event-concept.ch, Christoph Rüeger",+41792421921,,,,,,
9669943244,node,47.7622447,8.6046538,yes,,,,"Werkhof PLUS, beim Notfalltreffpunkt rechts neben dem Eingang Feuerwehr bei den Toren des Feuerwehrmagazins",,defibrillator,144,,node/9669943244,no,0,,24/7,Gemeinde Merishausen,+41 52 653 16 35,,,,,https://defibrillator.ch/,yes
9711491717,node,47.720044,8.6467106,yes,,,,"UG, Treppe bei der Reception runter, dann Richtung Halle",Während den Öffnungszeiten verfügbar,defibrillator,144,,node/9711491717,yes,,,Mo-Fr 08:00-17:00,,,,,,,,
9711495617,node,47.7200496,8.6467187,yes,,,,"UG, bei der Reception Treppe runter Richtung Halle",Während den Öffnungszeiten,defibrillator,144,,node/9711495617,yes,,,08:00-17:00,,,,,,,,
9731113342,node,47.6814908,8.6052765,yes,,,,Links neben der Türe des Hauswartbüro neben dem Telefon zugänglich sobald die Halle offen ist. Das Hauswartsbüro ist vor dem Gebäude stehend bei der gläsernen Eingangstüre die Treppe hoch und dann auf der linken Seite gegenüber der Garderobe zu finden.,,defibrillator,144,,node/9731113342,yes,1,,Mo-Fr 07:30-21:00,Gemeinde Neuhausen,,,,,,,no
9737582466,node,47.6901725,8.502954,,,,,Haupteingang Eingangshalle rechts,,defibrillator,144,,node/9737582466,yes,,,"Mo-Th 09:00-11:30, 13:30-16:00, Fr 09:00-11:30, 13:30-15:00",Simon Schraner,+41 76 357 23 56,,,,,,
9830487225,node,47.6951848,8.6329443,,,,,"BIZ Berufsinformationszentrum, Sekretariat",während Öffnungszeiten verfügbar,defibrillator,144,,node/9830487225,yes,,,,,,,,,,,
9836011697,node,47.6804843,8.6203475,yes,,,,"Im Eingangsbereich der Rheinfallhalle links am Infobrett neben der Tür zum Pedellbüro an der Wand oberhalb des Notfallkoffers in einem roten, alarmgesicherten Kästchen.",,defibrillator,144,,node/9836011697,yes,0,,,Gemeinde Neuhausen,,,,,,,limited
9863810523,node,47.678976,8.6079938,yes,,,,Beim grossen Schwimmbecken in Richtung der Sprungtürme in der Ecke. Verfügbar wenn Schwimmbad geöffnet.,,defibrillator,144,,node/9863810523,no,,,"May 01-31,Aug 21-Sep 31 Mo-Su 09:00-19:00; Jun 01-Aug 20 Mo-Fr 09:00-20:30; Jun 01-Aug 20 Sa 09:00-20:00; Su 09:00-18:00; PH open",,,,,,,,yes
9893502429,node,47.6918208,8.6203608,private,,,,"Im Aufenthaltsraum der Altra, vermutlich nur zu Arbeitszeiten offen",,defibrillator,144,,node/9893502429,yes,0,,,,,,,,,,
9917843291,node,47.7169635,8.661538,yes,,,,Verkaufsfläche LIDL,während Öffnungszeiten verfügbar,defibrillator,144,,node/9917843291,yes,,,,LIDL Schweiz,+41716278074,,,,,,
10026287417,node,47.6679288,8.4306962,,,,,Kirche Eingang,Eingang Kirche,defibrillator,144,,node/10026287417,yes,0,,24/7,Gemeinde,+41 79 681 80 52,,,,,,
10026314017,node,47.6678602,8.4294078,yes,,,,"Mehrzweckgebäude, beim Haupteingang (Schulseitig) Notfalltreffpunkt",Beim Notfalltreffpunkt,defibrillator,144,,node/10026314017,no,0,,24/7,Gemeinde,+41 79 681 80 52,,,,,,yes
10050578314,node,47.7046388,8.5518401,yes,,,,Nordseite Fassade Turnhalle - in Richtung Geräteraum,,defibrillator,144,,node/10050578314,no,0,,24/7,Gemeindekanzlei Löhningen,+41 52 685 24 40,,,,,,
10116404417,node,47.6994005,8.631014,,,,,"4. Stock, Bleicheplatz 2, AOC AG",nur während Bürozeiten,defibrillator,144,,node/10116404417,yes,,,Mo-Fr 08:00-17:00,AOC AG,,,,,,,
10118296819,node,47.7109032,8.6521691,,,,,"Büro ProteQ GmbH, 1.OG",,defibrillator,144,,node/10118296819,yes,,,Mo-Fr 08:00-17:00,ProteQ GmbH,+41525113000,,,,,,
10160156444,node,47.6813558,8.6198821,yes,,,,"Im grünen Kasten an der Aussenwand des Gemeindehaus Richtung ""Platz für alli"" (beim Glasdach) in der nähe der Toiletten.",Alarmgesichert,defibrillator,144,,node/10160156444,no,0,,24/7,Gemeinde Neuhausen,,,,,,,yes
10301958909,node,47.7472716,8.7104708,no,,,,Zentralverwaltung,während der Öffnungszeiten verfügbar,defibrillator,144,,node/10301958909,yes,,,,Gemeinde,,,,,,,
10556968274,node,47.679187,8.6180992,private,,,,Im Portierbereich ist ein Defi-Symbol,,defibrillator,144,,node/10556968274,yes,0,,,,,,,,,,
10567819409,node,47.6521953,8.8564277,,,,,Phoenix Mecano Komponenten AG,wahrend Geschäftszeiten zugänglich,defibrillator,144,,node/10567819409,yes,0,,Mo-Fr 08:00-17:00,,,,,,,,
10720609705,node,47.6975617,8.6267972,,,,,"Schule Steig, Stokarbergstrasse 13, 8200 Schaffhausen",Im Eingangsbereich der Turnhalle/Nur zugänglich während Schul- und Trainingszeit,defibrillator,144,,node/10720609705,yes,,,Mo-Fr 07:30-12:00,Stadt Schaffhausen/Stadtpolizei,+41 52 632 57 49,,"local_knowledge, defikarte.ch",,,,
10724653594,node,47.7792345,8.6713642,yes,,,,Im Eingangsbereich der Turnhalle bei der Treppe an der Wand in einem Koffer,,defibrillator,144,,node/10724653594,yes,0,,Mo-Fr 08:00-18:00,,,,,,,,limited
10763310287,node,47.70165,8.62997,,,,,In der Küche (Mitte vom Büro),oranger Koffer,defibrillator,144,,node/10763310287,yes,,Pharmacyclics Switzerland GmbH,"Mo-Fr 08:00-12:00, 13:00-17:00",Lifetec AG Schweiz,+41 800 122 144,,,,,,
10763310288,node,47.6942,8.58012,yes,,,,Bei Eingang rechte Wand.,oranger Koffer,defibrillator,144,,node/10763310288,yes,,FMS-TECHNIK AG,"Mo-Fr 08:00-12:00, 13:00-17:00",Lifetec AG Schweiz,+41 800 122 144,,,,,,
10763310290,node,47.70726,8.6437,,,,,Koffer befindet sich im Lager,schwarzer Koffer,defibrillator,144,,node/10763310290,yes,,Faust Laborbedarf AG,"Mo-Fr 08:00-12:00, 13:00-17:00",Lifetec AG Schweiz,+41 800 122 144,,,,,,
10763310291,node,47.7234,8.63957,,,,,"In Büroräumlichkeit, Durchgang zu Werkstatt",oranger Koffer,defibrillator,144,,node/10763310291,yes,,"Emil Frey AG, Kreuzgarage Schaffhausen","Mo-Fr 07:30-12:00, 13:15-18:30; Sa 09:00-16:00",Lifetec AG Schweiz,+41 800 122 144,,,,,,
10763310292,node,47.71769,8.66234,yes,,,,Beim Empfang hinter Theke,oranger Koffer,defibrillator,144,,node/10763310292,yes,,"Emil Frey AG, Schaffhausen","Mo-Fr 07:30-12:00, 13:15-18:30; Sa 09:00-16:00",Lifetec AG Schweiz,+41 800 122 144,,,,,,
10763310293,node,47.65482,8.85387,,,,,Im Fitnessbereich an Betonsäule,gelber Koffer,defibrillator,144,,node/10763310293,yes,,Pro Fitness Stein am Rhein GmbH,24/7,Lifetec AG Schweiz,+41 800 122 144,,,,,,
10796920205,node,47.7549097,8.6702235,yes,,,,Gemeindekanzlei Lohn,,defibrillator,144,,node/10796920205,no,0,,24/7,DEFI SIGN,,,,,,,
10841571505,node,47.6995705,8.6512399,yes,,,,Eingang EG beim Gesundheitszentrum Stauffacher,,defibrillator,144,,node/10841571505,yes,,,Mo-Fr 08:00-20:00,,+41525336640,,"local_knowledge, defikarte.ch",,,,
10860273598,node,47.7477046,8.4847866,yes,,,,An der Aussenwand der Turnhalle (Randenhalle) rechts neben dem Eingang im grünen Kasten mit rotem Druckknopf an der Wand.,,defibrillator,144,,node/10860273598,no,,,24/7,Gemeinde Schleitheim,,,,,,http://defibrillator.ch/,yes
10910676199,node,47.70166,8.62995,no,,,,Im Büro/Empfang,oranger Koffer,defibrillator,144,,node/10910676199,yes,,Ascent Health Services,,Lifetec AG Schweiz,+41 800 122 144,,,,,,
10911023922,node,47.6992548,8.6348041,customers,,,,In der Schalterhalle im Schrank markiert mit grünen Defibrillatorzeichen gegenüber dem Haupteingang.,,defibrillator,144,,node/10911023922,yes,0,,"Mo-We,Fr 08:30-12:00,13:30-17:00; Th 08:30-12:00,13:30-18:00; PH closed",Schaffhauser Kantonalbank,,,,,,,limited
10925123192,node,47.704128,8.6298903,yes,,,,Beim Durchgang von der Mühlenstrasse zwischen Stadtrandschule und Rheumaliga an der Wand im grünen Kasten mit rotem Druckknopf.,,defibrillator,144,,node/10925123192,no,,,24/7,defibrillator.ch,,,,2023,,,yes
10925628305,node,47.668263,8.468914,,,,,Turnhalle,,defibrillator,144,,node/10925628305,yes,0,,Mo-Fr 06:15-21:45,Gemeinde,+41 79 842 33 11,,"local_knowledge, defikarte.ch",,,,
10973830105,node,47.6975992,8.4596872,yes,,,,"Aussenfassade am Schulhaus, rechts vom Eingang im grünen Kasten.",,defibrillator,144,,node/10973830105,no,,,24/7,Gemeinde Hallau,+41 52 687 08 50,,"local_knowledge, defikarte.ch",,,,no
10990264517,node,47.6961179,8.6363728,yes,,,,An Kandelaber im grünen Kasten Höhe Uhl Schmuck und Ulla Popken / On lamp post,Öffentlich zugänglich,defibrillator,144,,node/10990264517,no,,,24/7,,,,,,,defibrillator.ch,yes
11093491104,node,47.5880844,8.5681123,yes,,,,Beim Haupthaus des Begegnungszentrum unter dem rechten Dachvorsprung an der Hausecke im grünen Kasten.,,defibrillator,144,,node/11093491104,no,,,24/7,Gemeinde Rüdlingen,,,,,,,yes
11149514727,node,47.6783298,8.6113039,yes,,,,An Aussenwand befestigt beim Infostand,,defibrillator,144,,node/11149514727,no,0,,24/7,,,,,,,,
11153193805,node,47.6625007,8.8630325,,,,,Eingang Foyer Dreifachsporthalle Hopfengarten,während Schulunterricht und Vereinstrainings,defibrillator,144,,node/11153193805,yes,0,,Mo-Fr 08:00-17:00,Orientierungsschule Stein am Rhein,+41 52 741 15 86,,"local_knowledge, defikarte.ch",,,,
11158416005,node,47.6607123,8.8633168,,,,,rhytraining bei Lounge,,defibrillator,144,,node/11158416005,yes,1,,Mo-Fr 07:00-20:00,Unternehmen,+41 52 741 42 82,,"local_knowledge, defikarte.ch",,,,
11180721348,node,47.7060449,8.4780778,,,,,Eingang Gemeindeverwaltung,,defibrillator,144,,node/11180721348,yes,0,,24/7,Gemeinde,,,,,,,
11248225839,node,47.7027331,8.6214888,yes,,,,Tennisclub Belair ,April bis November verfügbar ,defibrillator,144,,node/11248225839,no,,,24/7,TCB,+41795663052,,"local_knowledge, defikarte.ch",,,,
11265020169,node,47.7135989,8.656201,no,,,,"Power Gym, nach dem Empfang",während Öffnungszeiten,defibrillator,144,,node/11265020169,yes,0,,,,,,,,,,
11347034769,node,47.72035,8.660747,no,,,,"Turnhalle Dreispitz, bei Haupteingang",,defibrillator,144,,node/11347034769,no,,,,,,,,,,,
11572642369,node,47.5717074,8.5632688,,,,,FME Feinmechanik AG,,defibrillator,144,,node/11572642369,yes,,,Mo-Fr 07:30-17:00,FME Feinmechanik AG,+41448681414,,,,,,
11616236646,node,47.7070337,8.7193442,,,,,,,defibrillator,144,,node/11616236646,yes,,,,,,,,,,,
11618500570,node,47.6823066,8.6203623,,,,,"Radiologie Posthof Neuhausen, Zentralstrasse 59, 8212 Neuhausen",Im Radiologie Institut,defibrillator,144,,node/11618500570,yes,,,Mo-Fr 08:00-16:00,Spitäler Schaffhausen,+41 52 634 22 99,,"local_knowledge, defikarte.ch",,,,
