osm_id,osm_type,lat,lon,access,check_date,defibrillator:location,defibrillator:location:en,description,email,emergency,emergency:phone,id,indoor,latitude,level,longitude,name,note,opening_hours,operator,operator:type,panoramax,phone,ref,source,wheelchair
9004556011,node,47.0732475,9.4954404,yes,,Fussballplatz Hauptgebäude,,"Nebeneingang Hauptgebäude FC, direkt neben der Strasse",,defibrillator,144,node/9004556011,no,,,,,,24/7,Gemeinde Balzers,,,+41 79 639 33 13,,,
9004556013,node,47.1064055,9.5302078,permissive,,"Pfarrkirche, Eingang links an der Wand",,,,defibrillator,144,node/9004556013,yes,,0,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Gemeinde Triesen,,,+423 792 36 42,,,
9004556014,node,47.1044959,9.5253959,,,"LAK Haus, Sekretariat",,,,defibrillator,144,node/9004556014,yes,,,,,,Mo-Su 09:00-18:00,Sekretariat,,,+423 399 15 00,,,
9004556015,node,47.1053813,9.526611,permissive,,"Primarschule, vor dem Sekretariat",,,,defibrillator,144,node/9004556015,yes,,0,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Gemeinde Triesen,,,+423 399 21 90,,,
9004556016,node,47.1057958,9.5260477,yes,,Bademeisterkabine,,,,defibrillator,144,node/9004556016,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Bademeister,,,+423 392 34 94,,,
9004557420,node,47.1093264,9.5215684,yes,,Haupteingang rechts,,,,defibrillator,144,node/9004557420,yes,,,,,,Mo-Fr 07:00-17:00,Anmeldung,,,+423 399 55 11,,,
9004557421,node,47.110701,9.5202327,yes,,Freizeitanlage Kiosk Unterstand,,,,defibrillator,144,node/9004557421,no,,,,,,24/7,Gemeinde Triesen GePo,,,+423 236 36 42,Sportplatz Triesen,,
9004557422,node,47.1202291,9.5196761,permissive,,"Amt für Kultur, Haupteingang EG links",,,,defibrillator,144,node/9004557422,yes,,0,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Liecht. Landesverwaltung,,,+423 236 75 43,,,
9004557423,node,47.1234905,9.5241353,permissive,,"Europark, Haupteingang EG",,,,defibrillator,144,node/9004557423,yes,,0,,,,"Mo-Fr 08:00-11:30, 13:30-17:00",Karin Pirchler,,,+423 236 60 37,,,
9004557424,node,47.1263466,9.5218608,permissive,,"Amt für Strassenverkehr, in der Fahrzeughalle",,,,defibrillator,144,node/9004557424,yes,,0,,,,"Mo-Fr 8:00-12:00, 13:00-17:00",Liecht. Landesverwaltung,,,,,,
9004557425,node,47.1260601,9.5221424,yes,,Landespolizei Haupteingang Anmeldung,,,,defibrillator,144,node/9004557425,yes,,,,,,24/7,Landespolizei,,,+423 236 79 87,,,
9004557426,node,47.1319562,9.5144606,permissive,,"Amt für Bevölkerungsschutz, Eingang Schulungsgebäude",,,,defibrillator,144,node/9004557426,yes,,0,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Liecht. Landesverwaltung,,,+423 236 69 20,,,
9004557427,node,47.1328539,9.5129813,yes,,Garagen Werkbetrieb Vaduz / LRK Hauptsitz,,Am Garagentor bei der Bauverwaltung,,defibrillator,144,node/9004557427,no,,0,,,,24/7,Gemeinde Vaduz,,,+423 222 01 35,,,
9004557428,node,47.1332444,9.5223704,yes,,Bürohaus beim Empfang 2.OG,,,,defibrillator,144,node/9004557428,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Uwe Negele,,,+423 236 71 79,,,
9004557430,node,47.1358847,9.521952,permissive,,"Amt für Informatik, Haupteingang Empfang",,,,defibrillator,144,node/9004557430,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Liecht. Landesverwaltung,,,+423 236 76 25,,,
9004557431,node,47.1374429,9.5190766,yes,,Eingang 1.OG,,,,defibrillator,144,node/9004557431,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Sekretariat Zentrale,,,+423 236 64 00,,,
9004557433,node,47.1366635,9.5230902,yes,,"Liechtensteinische Musikschule, Haupteingang EG",,,,defibrillator,144,node/9004557433,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Liecht. Landesverwaltung,,,+423 236 69 26,Liechtensteinische Musikschule,,
9004557435,node,47.1370698,9.5226789,yes,,Regierungsgebäude Haupteingang EG,,,,defibrillator,144,node/9004557435,yes,,0,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Telefonzentrale,,,+423 236 61 11,,,
9004557436,node,47.1385276,9.5226547,yes,,Information Tourismusbüro Liechtenstein Center,,Im Eingangsbereich neben Haupttüre 24/7 zugänglich,,defibrillator,144,node/9004557436,yes,,,,,,24/7,Auskunft LieMarketing,,,+423 239 63 00,Liechtenstein Center,,
9004557437,node,47.137545,9.5201727,yes,,"DLG, Dienstleistungszentrum Giessen
Beim Empfang",,,,defibrillator,144,node/9004557437,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Liecht. Landesverwaltung,,,+423 236 62 73,,,
9004557438,node,47.1390421,9.5217951,permissive,,Amt für Gesundheit,,"Aeulestr. 51, Haupteingang West",,defibrillator,144,node/9004557438,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-17:00","Markus Heeb, Hausdienst",,,+423 233 40 58,,,
9004557439,node,47.1407051,9.5106679,permissive,,"Rheinparkstadion Haupttribüne, Sanitätszimmer",,Am Wochenende nur zu Spielzeiten,,defibrillator,144,node/9004557439,yes,,0,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Gemeinde Vaduz,,,+423 222 01 35,,,
9004557445,node,47.1494547,9.5160362,yes,,Aussenwand des Uni Restaurants Aufgang,,,,defibrillator,144,node/9004557445,no,,,,,,24/7,Gemeinde Vaduz,,,+423 793 78 02,,,
9004557446,node,47.1516141,9.5109495,yes,,"FMA, Kundenempfang",,,,defibrillator,144,node/9004557446,yes,,,,,,"Mo-Fr 07:00-12:00, 13:30-17:00","Heinz Schädler, Hausdienst",,,+423 236 62 35,,,
9004557447,node,47.152528,9.5061994,permissive,,Freibad Mühleholz vor Sanitätsraum,,,info@freibad.li,defibrillator,144,node/9004557447,yes,,1,,,Nur in Saisonzeiten zugänglich,,Schwimm- u. Badeanstalt Mühleholz,,,+423 232 24 77,,,
9004557448,node,47.1576578,9.5081292,yes,,Konrad Hanno,,,,defibrillator,144,node/9004557448,yes,,,,,,"Mo-Th 07:30-11:30, 13:00-17:00; Fr 07:30-11:30",Angelika Dürr,,,+423 237 72 44,,,
9004557449,node,47.1674173,9.5274881,yes,,"Tennisanlage Dux, Öffentliches WC",,,,defibrillator,144,node/9004557449,yes,,,,,,24/7,"Gemeinde Schaan Alex Steiger, SIBE",,,+423 237 72 44,,,
9004557451,node,47.1662426,9.514968,yes,,Hallenbad / Turnhalle Eingang Schulhaus Resch,,,,defibrillator,144,node/9004557451,no,,,,,,24/7,"Gemeinde Schaan Alex Steiger, SIBE",,,+423 237 72 44,,,
9004557455,node,47.1665019,9.5098203,yes,,"SAL, öffentlicher Durchgang beim WC",,,,defibrillator,144,node/9004557455,yes,,,,,,24/7,"Gemeinde Schaan Alex Steiger, SIBE",,,+423 237 72 44,,,
9004557456,node,47.1677036,9.5099196,yes,,Haus der Wirtschaft: Eingang EG,,,,defibrillator,144,node/9004557456,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Empfang,,,+423 236 71 00,,,
9004557458,node,47.1690001,9.5080823,,,LAK Haus in Cafeteria,,,,defibrillator,144,node/9004557458,yes,,,,,,Mo-Su 09:00-18:00,Sekretariat,,,+423 236 47 47,,,
9004557459,node,47.1727032,9.5093983,permissive,,Ivoclar Empfang,,Zugang nur bei Öffnungszeiten,,defibrillator,144,node/9004557459,yes,,0,,,,Mo-Fr 07:00-18:00,Ivoclar,,,+423 235 35 35,,,
9004557460,node,47.1707962,9.5121324,yes,,"Werkhofstrasse 7, Vis a Vis des Werkhofs und Altstoffsammelstelle",,Werkhofstrasse 7,,defibrillator,144,node/9004557460,no,,,,,,24/7,"Gemeinde Schaan, Alex Steiger, SIBE",,,+423 237 72 44,,,
9004557462,node,47.1748969,9.5116658,yes,,"Liecht. Kraftwerke, LKW",,,,defibrillator,144,node/9004557462,no,,,,,,24/7,"LKW, Liecht. Kraftwerke",,,+423 236 01 11,,,
9004557463,node,47.1745942,9.5128432,yes,,"hpz Werkstätten Auxilia, erster Stock gegenüber Lift",,,,defibrillator,144,node/9004557463,yes,,,,,,Mo-Fr 08:00-16:00,Fredy Kindle SIBE,,,+423 239 61 70,,,
9004557464,node,47.1793582,9.5244276,yes,,Im Werk 1,,während Öffnungszeiten verfügbar,,defibrillator,144,node/9004557464,yes,,,,,,,Leiter Werkschutz,,,+423 234 22 01,,,
9004557465,node,47.2002032,9.5013177,yes,,Ospelt: Portier/Securitasloge,,,,defibrillator,144,node/9004557465,yes,,,,,,Mo-Fr 09:00-17:00,Securitas,,,+41 58 377 11 10,,,
9004557469,node,47.2114243,9.5244518,yes,,LAK Haus am Empfang,,,,defibrillator,144,node/9004557469,yes,,,,,,Mo-Su 09:00-18:00,Sekretariat,,,+423 377 46 00,,,
9004557470,node,47.2134996,9.5262194,yes,,"Schulzentrum Eschen, Hallenbad, erste Hilfe Raum",,,,defibrillator,144,node/9004557470,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-21:00",Bademeister,,,+423 373 48 66,,,
9004557471,node,47.212687,9.5239596,yes,,Gemeindesaal im Foyer,,,,defibrillator,144,node/9004557471,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-17:00",Jürgen Biedermann GePo,,,+423 377 50 22,,,
9004557473,node,47.2080317,9.5293897,,,Pförnerhaus Anmeldung Sicherheit,,,,defibrillator,144,node/9004557473,yes,,,,,,Mo-Fr 09:00-17:00,Sicherheitsbeauftragte Frau Sandra Konzet,,,+423 377 23 11,,,
9004557474,node,47.2058305,9.5383885,yes,,Sportpark Eschen-Mauren,,Nebeneingang zu den Kabinen EG,,defibrillator,144,node/9004557474,no,,,,,,24/7,Gemeinde Eschen,,,+423 794 90 20,,,
9004557475,node,47.2098016,9.5471501,yes,,Feuerwehrdepot,fire station,Bei den Garagentoren,gemeinde@mauren.li,defibrillator,144,node/9004557475,no,,,,,,24/7,Gemeinde Mauren,,8bfe5f1d-876f-487d-b48e-4997bbd28708,+423 792 22 41,,,designated
9004557476,node,47.2109182,9.56206,yes,,Schaanwald Parkplatz Bancomat Zuschg,"Next to the cash machine, on the outer wall","Neben Bancomat, Aussenwand",gemeinde@mauren.li,defibrillator,144,node/9004557476,no,,,,,,24/7,Gemeinde Mauren,,62fb4c4c-e944-4105-8636-7741195ee375,+423 792 22 47,,,designated
9004557477,node,47.2108577,9.5638239,yes,,"Schule, Eingang bei Turnhalle",,,,defibrillator,144,node/9004557477,,,,,,,24/7,Gemeinde Mauren,,,+423 792 22 41,,,
9004557478,node,47.2169156,9.5683622,yes,,KaiserAG - Obere Werkhalle - Sicherheitsposten,Company: Kaiser AG,,gemeinde@mauren.li,defibrillator,144,node/9004557478,yes,,0,,,,Mo-Fr 08:00-17:00,Thomas Lampert,,,+4223 377 21 30,,,yes
9004557479,node,47.2206587,9.5436196,yes,,Öffentliche Toilette / WC,,,,defibrillator,144,node/9004557479,no,,,,,,24/7,Gemeinde Mauren,,,+423 792 22 59,,,
9004557481,node,47.2212186,9.5441633,yes,,Treppenhaus UG der Turnhalle,,,,defibrillator,144,node/9004557481,yes,,,,,,"Mo-Fr 08:00-12:00, 13:30-16:30",Hausdienst,,,+423 792 22 40,,,
9004557482,node,47.2323843,9.5466444,yes,,Verwaltungseingang EG,,Bei Eingang Gemeindeverwaltung,,defibrillator,144,node/9004557482,no,,0,,,,24/7,Gemeinde Schellenberg,,,+423 222 01 35,,,
9004557484,node,47.2394468,9.5252296,yes,,Gemeindesaal im Foyer,,Nur bei Veranstaltungen verfügbar,,defibrillator,144,node/9004557484,yes,,,,,,,Gemeinde Ruggell,,,+423 377 49 20,,,
9004557487,node,47.2452964,9.5245173,yes,,Tennishaus,,Erdgeschoss Aussen unter der Terrasse,,defibrillator,144,node/9004557487,no,,,,,,24/7,Gemeinde Ruggell,,,+423 377 49 20,,,
9004557488,node,47.2470901,9.5279824,yes,,Freizeitpark und Fussballplatz Widau,,,,defibrillator,144,node/9004557488,no,,,,,,24/7,Gemeinde Ruggell,,,+423 377 49 20,,,
9088806217,node,47.2184097,9.5106176,yes,,"Gemeindehaus Gamprin, gegenüber Bankomat",,,,defibrillator,144,node/9088806217,no,,,,,,24/7,Gemeinde Gamprin-Bendern,,,+423 375 91 00,,,
9088810017,node,47.2197109,9.5109559,yes,,"Gemeindeschulen Gamprin, gegenüber Eingang Aula",,,,defibrillator,144,node/9088810017,no,,,,,,24/7,Gemeinde Gamprin-Bendern,,,+423 375 91 00,,,
9088810018,node,47.2105658,9.5029242,yes,,Post Bendern,,,,defibrillator,144,node/9088810018,no,,,,,,24/7,Gemeinde Gamprin-Bendern,,,+423 375 91 00,,,
9088812017,node,47.2177819,9.5057481,yes,,Freizeitanlage Grossabünt,,,,defibrillator,144,node/9088812017,no,,,,,,24/7,Gemeinde Gamprin-Bendern,,,+423 375 91 00,,,
9088820717,node,47.2120567,9.5046536,yes,,Bongert / Parkplatz Kirche,,,,defibrillator,144,node/9088820717,no,,,,,,24/7,Gemeinde Gamprin-Bendern,,,+423 375 91 00,,,
9180373117,node,47.1667836,9.4929023,yes,,LFV Campus und FC Schaan Rheinwiese Schaan,,"Beim Treppenaufgang zur Tribüne, direkt neben dem Restaurant",,defibrillator,144,node/9180373117,no,,0,,,,24/7,Gemeinde Schaan,,,+423 222 01 25,,,
9219009136,node,47.1468193,9.5105486,permissive,,"Telecom Liechtenstein Schaanerstr. 1,",,Beim Verkaufsladen,,defibrillator,144,node/9219009136,yes,,0,,,,"Mo-Fr 07:30-12:00, 13:00-17:00",Telecom Liechtenstein AG,,,+423 237 74 00,,,
9352008617,node,47.1857513,9.5461863,yes,,Schulzentrum Planken,,"Hinter dem Gebäude, öffentlich zugänglich bei den Toiletten",,defibrillator,144,node/9352008617,no,,,,,,24/7,Gemeinde Planken,,,+423 375 81 00,Schulhaus / Feuerwehrdepot,,
9472004262,node,47.2072331,9.5355642,,,4.OG Empfang rechts hinter Glaswand,,,,defibrillator,,node/9472004262,yes,,,,,,Mo-Fr 07:00-18:00,Robert Edlinger,,,+43 664 281 4920,,,
10074622164,node,47.1364399,9.5206784,,,Hauptgebäude VP Bank. Bei Personaleingang,,,,defibrillator,144,node/10074622164,yes,,,,,,Mo-Fr 06:00-21:00,VP Bank,,,+42 32356310,,,
10074622165,node,47.1403781,9.5202675,,,"Haus Giessen VP Bank, Bei Personaleingang",,,,defibrillator,144,node/10074622165,yes,,,,,,Mo-Fr 06:00-21:00,VP Bank,,,+42 32356310,,,
10074622166,node,47.1217239,9.5244146,,,"Haus Zentrum Triesen, VP Bank bei Personaleingang",,,,defibrillator,144,node/10074622166,yes,,,,,,Mo-Fr 06:00-21:00,VP Bank,,,+42 32356310,,,
10127670618,node,47.0757407,9.5138074,,,"INFICON AG, 2.OG im Atrium bei Kantine",,während Öffnungszeiten verfügbar 08:00 - 12:00 / 13:30 - 17:00,,defibrillator,144,node/10127670618,yes,,,,,,Mo-Fr 08:00-17:00,INFICON AG,,,,,,
10282470612,node,47.1678344,9.5151529,no,,HPZ Schule Haupteingang,,während Öffnungszeiten der Schule verfügbar,,defibrillator,144,node/10282470612,yes,,,,,,,,,,,,,
10581038974,node,47.2221003,9.5487982,yes,,"Müller AG, Westfassade Franz-Josef-Öhri-Strasse 32",,Aussengehäuse in der Mitte der Westfassade,,defibrillator,144,node/10581038974,no,,0,,,,24/7,"Müller AG Schreinerei und Innenausbau, Mauren",,,+423 377 12 90,,"local_knowledge, defikarte.ch",
10599307305,node,47.2063538,9.5027666,yes,,"Parkhaus, Rhigass 5, 9487 Gamprin-Bendern",,An Aussenfassade neben Gebäudeeingang,,defibrillator,144,node/10599307305,no,,0,,,,24/7,Gemeinde Gamprin,,,+423 375 91 00,,,
10720578105,node,47.2139967,9.5017303,yes,,ARA Bendern,,Beim Velounterstand rechts Neben Haupttor,,defibrillator,144,node/10720578105,no,,0,,,,24/7,Abwasserzweckverband der Gemeinden Liechtensteins,,,+423 377 17 44,,"local_knowledge, defikarte.ch",
10763310410,node,47.1494507,9.5164293,permissive,,"Universität, Spörry, Bei Empfang 1. OG",,oranger Koffer,,defibrillator,144,node/10763310410,yes,,1,,Universität Liechtenstein,,"Mo-Th 08:30-12:00,13:30-17:00, Fr 08:30-12:00,13:30-15:00",Universität,,,,,,
10763310412,node,47.12098,9.52209,,,"2.OG, Empfang",,oranger Koffer,,defibrillator,,node/10763310412,yes,,,,Bemer International AG,,"Mo-Th 08:00-12:00, 13:00-17:00; Fr 08:00-12:00, 13:00-15:00",Lifetec AG Schweiz,,,+41 800 122 144,,,
10763310413,node,47.1741828,9.5097915,permissive,,"Mercedes Garage Weilenmann, EG, Kundenwartebereich",,oranger Koffer,,defibrillator,144,node/10763310413,yes,,0,,Garage Weilenmann AG,,Mo-Fr 07:30-18:00; Sa 08:00-16:00,Lifetec AG Schweiz,,,+41 800 122 144,,,
10763310414,node,47.16562,9.50878,,,"1.OG, Küche Cafeteria",,oranger Koffer,,defibrillator,,node/10763310414,yes,,,,IFM Independent Fund Management AG (F&M AG),,"Mo-Fr 08:00-12:00, 13:00-17:30",Lifetec AG Schweiz,,,+41 800 122 144,,,
10763310415,node,47.1329507,9.5174593,permissive,,"Home of Finance, Zollstr. 32",,"Empfang im EG, oranger Koffer",,defibrillator,144,node/10763310415,yes,,0,,SOLFIN Financial Service Solutions AG,,"Mo-Fr 08:30-12:00, 13:30-17:00",Lifetec AG Schweiz,,,+41 800 122 144,,,
10763310417,node,47.10129,9.60902,yes,,"Hotel Gorfion, Mitarbeiter Treppenhaus, hinter Tür EG.",,Oranger Koffer,,defibrillator,,node/10763310417,yes,,,,Hotel Gorfion Anstalt,,,Lifetec AG Schweiz,,,+41 800 122 144,,,
10765221505,node,47.1090444,9.5254154,yes,,Sonnenplatz Einkaufszentrum,,Beim Haupteingang zwischen den Schiebetüren,,defibrillator,144,node/10765221505,yes,,0,,,,Mo-Fr 07:00-19:00; Sa 07:00-17:00; Su 08:00-17:00,,,,,,"local_knowledge, defikarte.ch",
10795986605,node,47.1772926,9.5164561,yes,,"Liecht. Braustube, Eingang bei Briefkästen. An der Wand gegenüber des Lifts montiert.",,von Mo-Fr 08.00-12.00 Uhr / 13.00-17.00 Uhr und den Öffnungszeiten der Braustube verfügbar,,defibrillator,144,node/10795986605,yes,,0,,,,,HFH AG,,,,,,
10819384705,node,47.1774116,9.5146022,,,RMS Shooting und Kafi,,während Öffnungszeiten verfügbar,,defibrillator,144,node/10819384705,yes,,4,,,,,RMS Shooting,,,,,,
11037266741,node,47.1388578,9.5213163,permissive,,Haus Amann,,Im Büro,,defibrillator,144,node/11037266741,yes,47.1388577,,9.521315769,Funk Insurance Brokers AG,,"Mo-Fr 08:00-12:00, 13:00-17:00",Lifetec AG,,,,,,
11217394739,node,47.2180305,9.5697308,yes,,Zollamt Schaanwald,,während den Öffnungszeiten verfügbar,,defibrillator,144,node/11217394739,yes,,0,,,,Mo-Fr 07:30-18:00; Sa 10:00-18:00,BAZG,,,,,,
11276896069,node,47.1155115,9.5239305,no,,"Office Building, Landstrasse 105, 9495 Triesen",,Office opening hours,,defibrillator,144,node/11276896069,yes,,0,,,,"Mo-Fr 09:00-12:00,13:30-17:00",Euro Atlantic Foundation,,,+4233997550,,"local_knowledge, defikarte.ch",
11296224569,node,47.1033471,9.6079587,,,"Schluchertreff Malbun, Öffentlicher Eingang",,,,defibrillator,144,node/11296224569,no,,0,,,,24/7,Gemeinde Triesenberg,,,+423 792 26 61,,,
11371369571,node,47.1784333,9.5187459,no,,Ampera House,,Haupteingang nur zu Öffnungszeiten erreichbar,,defibrillator,144,node/11371369571,yes,,0,,,,,Privat,,,,,,
11395695569,node,47.1343666,9.5136237,permissive,,"Labor Risch, Im Empfangsbereich",,Bei der Garderobe,,defibrillator,144,node/11395695569,yes,,0,,,,"Mo-Fr 07:30 - 12:30, 13:30 - 18:30",Dr. Risch Anstalt,,,+41 58 523 30 00,,"local_knowledge, defikarte.ch",
11401087569,node,47.2344678,9.5511425,yes,,Sportzentrum Schellenberg,,Bei Haupteingang Sportzentrum,,defibrillator,144,node/11401087569,no,,0,,,,24/7,Gemeinde Schellenberg,,,+423 222 01 35,,"local_knowledge, defikarte.ch",
11409708469,node,47.2124884,9.5235586,yes,,Gemeindeverwaltung Haupteingang,,Hinter Schiebetüre neben Lift / Alarmgesichert ,,defibrillator,144,node/11409708469,no,,,,,,24/7,Gemeinde Eschen,,,+423 794 90 20,,"local_knowledge, defikarte.ch",
11409708470,node,47.1963031,9.5483422,yes,,Forstwerkhof Eschen-Nendeln,,Direkt an der Fassade beim Eingang ,,defibrillator,144,node/11409708470,no,,,,,,24/7,Gemeinde Eschen,,,+423 794 90 20,,"local_knowledge, defikarte.ch",
11409722070,node,47.197459,9.546631,yes,,Primarschule Nendeln,,Beim Eingang zur Turnhalle,,defibrillator,144,node/11409722070,,,,,,,24/7,Gemeinde Eschen Nendeln,,,+423 794 90 20,,"local_knowledge, defikarte.ch",
11409822869,node,47.207529,9.5277811,,,Bushaltestelle Essanestrasse Presta,,An Bushaltestelle Rückwand,,defibrillator,144,node/11409822869,no,,,,,,24/7,Gemeinde Eschen,,,+423 794 90 20,,,
11412517769,node,47.2407069,9.5248246,yes,,Gemeindeverwaltung Haupteingang,,Von Poststrasse aus sichtbar ,,defibrillator,144,node/11412517769,no,,,,,,24/7,Gemeinde Ruggell,,,+423 377 49 20,,"local_knowledge, defikarte.ch",
11412699570,node,47.1484976,9.514423,yes,,Schulhaus Ebenholz Im Parkhaus,,ca. 30 Meter in die Einfahrt fahren rechts an der Wand,,defibrillator,144,node/11412699570,no,,-1,,,,24/7,Gemeinde Vaduz,,,+423 793 78 29,,"local_knowledge, defikarte.ch",
11412741569,node,47.1292208,9.5244062,yes,,Kindergarten Schwefel Eingangsbereich ,,Im gedeckten Eingangsbereich ,,defibrillator,144,node/11412741569,no,,,,,,24/7,Gemeinde Vaduz ,,,+423 265 06 06,,"local_knowledge, defikarte.ch",
11412750269,node,47.1353665,9.51401,yes,,Wuhrstrasse 7 Bürogebäude,,Bei Haupteingang neben Türe,,defibrillator,144,node/11412750269,no,,,,,,24/7,Gemeinde Vaduz,,,+423 793 78 02,,"local_knowledge, defikarte.ch",
11413452269,node,47.148332,9.5250811,yes,,Forstwerkhof Vaduz Letziweg,,An der Hauswand ,,defibrillator,144,node/11413452269,no,,,,,,24/7,Gemeinde Vaduz,,,+423 793 78 02,,,
11413463669,node,47.1397125,9.5243141,no,,Schloss Vaduz,,In der Küche beim Personal,,defibrillator,144,node/11413463669,yes,,,,,,,Hauswart Schloss,,,,,,
11413493469,node,47.1242447,9.5224357,yes,,Wertstoffsammelstelle Vaduz/Triesen,,,,defibrillator,144,node/11413493469,no,,,,,,24/7,Gemeinde Vaduz,,,+423 793 78 02,,,
11414811071,node,47.1415672,9.5106669,yes,,Rheinparkstadion WC Damen neben Spielplatz,,Ist witterungsgeschützt im inneren der Toilette,,defibrillator,144,node/11414811071,no,,,,,,24/7,Gemeinde Vaduz,,,+423 793 78 02,,,
11414830169,node,47.1433146,9.5091949,yes,,Rheinparkstadion Trainingsgelände Platz 4 Nord,,An Wand des Eingangs (nähe Schrebergärten),,defibrillator,144,node/11414830169,no,,,,,,24/7,Gemeinde Vaduz,,,+423 793 78 02,,,
11414830171,node,47.1501554,9.5070739,yes,,"Feuerwehr und Samariter Depot, Schaanerstr. 43",,Am Eingang zum Depot,,defibrillator,144,node/11414830171,no,,0,,,,24/7,Gemeinde Vaduz,,,+423 222 01 35,,,
11438903069,node,47.1648445,9.5082954,yes,,Haus der Familien beim LLB Bankomat,,Im öffentlich zugänglichen Bankomatenraum neben dem Eingang der Drogerie Müller,,defibrillator,144,node/11438903069,no,,,,,,24/7,Gemeinde Schaan Alex Steiger SiBe,,,,,,
11457632569,node,47.0753508,9.5121218,no,,Roxy Markt,,Im Gang zum Migrosmarkt,,defibrillator,144,node/11457632569,yes,,,,,,Mo-Fr 08:00-19:00,Stefan Ospelt,,,,,,
11457634669,node,47.076262,9.5132609,no,,Umicore AG Betriebssanität ,,Bei der Betriebssanität,,defibrillator,144,node/11457634669,yes,,,,,,Mo-Fr 08:00-18:00,Umicore AG,,,,,,
11480627969,node,47.1429181,9.5444216,yes,,Clinicum Alpinum,,Beim Eingang vom öffentlichen WC und dem Reastaurant Gaflei Stuba ,,defibrillator,144,node/11480627969,no,,,,,,24/7,Clinicum,,,+423 238 85 00,,,
11531604931,node,47.1383792,9.5192402,yes,,"Gemeindesaal,
Beim Haupteingang links an der Wand",,,,defibrillator,,node/11531604931,no,,,,,,24/7,Gemeinde Vaduz,,,+423 793 78 02,,,
