osm_id,osm_type,lat,lon,access,addr:city,addr:housenumber,addr:postcode,addr:street,check_date,defibrillator:location,defibrillator:location:de,description,emergency,emergency:phone,id,indoor,level,name,note,opening_hours,operator,phone,ref,source
8560962469,node,47.4275048,9.5482993,yes,,,,,,"Standort: Im Korridor der Firma, gegenüber vom Personaleingang - dieser ist hinter dem Haus zu finden.",,,defibrillator,144,node/8560962469,yes,,,,Mo-Fr 08:00-16:00,"Howigra AG, Roland Eichmüller, Geschäftsleiter",+41 71 891 91 88,,
9136650217,node,47.3361684,9.4017022,,,,,,,Firma Bühler 10m nach Haupteingang,,"unter der Woche, es muss links von der Türe geklingelt werden für den Einlass",defibrillator,144,node/9136650217,yes,,,,Mo-Fr 07:00-16:00,Firma,,,
9472003197,node,47.4238264,9.5521498,,,,,,,Erdgeschoss neben Warenlift,,"während Öffnungszeiten verfügbar 08:00-16:00,  beim Empfang melden; es ist ausgebildetes Personal vor Ort",defibrillator,144,node/9472003197,yes,,,,Mo-Fr 07:00-16:00,Mock Sepp,+41 71 898 30 30,,
9666189917,node,47.4099993,9.5352357,,,,,,,Feuerwehrhaus St. Anton,,,defibrillator,144,node/9666189917,no,,,,24/7,,,,
9858937018,node,47.2971662,9.4558835,yes,,,,,,"Kirche Brülisau, bei Kirchenmauer an der Strasse, beim Post Briefkasten, in der Ecke.",,,defibrillator,144,node/9858937018,no,,,,24/7,Bezirk Schwende-Rüte,,,
9869601517,node,47.3225927,9.3873119,yes,,,,,,,Gasthaus Eischen,Während Öffnungszeiten,defibrillator,144,node/9869601517,yes,,,,We-Su,Daniel Inauen / Toni Gassmann,+41796821338,,
9967325217,node,47.3309984,9.467602,yes,,,,,,Kirche beim Eingang WC,,,defibrillator,144,node/9967325217,no,,,,24/7,,,,
10048732922,node,47.3374401,9.4018889,no,,,,,,Logistikeingang Brauerei Locher,,während Arbeitszeiten,defibrillator,144,node/10048732922,yes,,,,,Brauerei Locher,,,
10048772017,node,47.3367059,9.4020849,,,,,,,,KUK Electronic AG,während Öffnungszeiten,defibrillator,144,node/10048772017,yes,,,,07:00-17:00,KUK ELECTRONIC AG,+41717873800,,
10123258617,node,47.2865596,9.4286897,yes,,,,,,Talstation Ebenalpbahn,,Rechts des Haupteinganges zur Talstation,defibrillator,144,node/10123258617,no,,,,24/7,Ebenalpbahn,,,
10168504634,node,47.3267086,9.4124964,yes,,,,,,Vor dem Haupteingang Turnhalle In einem Pro Case,,,defibrillator,144,node/10168504634,no,,,144,24/7,Schulgemeinde Appenzell,,,
10188771617,node,47.3336694,9.398127,no,,,,,,Polypag AG Appenzell,,,defibrillator,144,node/10188771617,yes,,,,,,,,
10240176609,node,47.331935,9.3724829,,,,,,,Goba Mineralquelle Produktion Eingang,,während Öffnungszeiten verfügbar,defibrillator,144,node/10240176609,yes,0,,,,Manufaktur Goba,+41717953030,,
10243117109,node,47.3286236,9.3467839,,,,,,,,Gang hinter Bar EG,,defibrillator,144,node/10243117109,yes,0,,,Mo-Su 08:00-17:00,Hotel Bären,+41717954010,,
10285274309,node,47.3311398,9.406228,yes,,,,,,Bezirksgebäude Appenzell,,,defibrillator,144,node/10285274309,no,0,,,24/7,,,,
10693243505,node,47.3283473,9.3473726,,,,,,,Praxis Gonten,,,defibrillator,144,node/10693243505,yes,1,,,Mo-Fr 07:30-18:00,Praxis Gonten,+41 71 794 13 88,,
10739175305,node,47.3320091,9.3715719,,,,,,,Haupteingang Alterszentrum Gontenbad,,während der Öffnungszeiten verfügbar,defibrillator,144,node/10739175305,yes,0,,,Mo-Su 08:00-18:00,Alterszentrum Gontenbad,+41717953131,,
10763310569,node,47.3290283,9.413394,yes,Appenzell,27,9050,Weissbadstrasse,,Haupteingang,,Grüner Kasten,defibrillator,144,node/10763310569,yes,0,Appenzeller Alpenbitter AG,,24/7,Lifetec AG Schweiz,+41 800 122 144,0333LTS,
10893068605,node,47.3411287,9.3995379,,,,,,,Haupteinang Wohnheim linkd,,während des Tages sollte offen sein,defibrillator,144,node/10893068605,yes,0,,,7:15-20:45,Steig Wohnen und Arbeiten,+41 71 788 04 20,,
10910966805,node,47.335958,9.411732,,,,,,,1 Stockwerk,,während der Öffnungszeit verfügbar,defibrillator,144,node/10910966805,yes,1,,,Mo-Su 07:00-19:00,Bürgerheim Appenzell,+41 71 788 70 25,,"local_knowledge, defikarte.ch"
10915573306,node,47.2834289,9.4144612,yes,,,,,,Berggasthaus Äscher,,Mitte Mai bis Mitte November,defibrillator,144,node/10915573306,yes,0,,,24/7,Berggasthaus Äscher,+41717991142,,
11146151605,node,47.3336383,9.4111798,,,,,,,Bademeister Büro,,während Öffnungszeiten,defibrillator,144,node/11146151605,yes,0,,,Mo 13:30-21:00; Tu-Fr 08:00-21:00; Sa-Su 08:00-16:00,Hallenbad Appenzell,+41 71 788 99 40,,
11241167438,node,47.3220512,9.3861505,yes,,,,,,Appenzell Kau Eischen,,Aussen am Wohnwagensnbau,defibrillator,144,node/11241167438,no,0,,,24/7,Privat,+41 79 682 13 38,,
11749608069,node,47.3219362,9.3859974,yes,,,,,,Aussen am grauen Wohnwagen,,,defibrillator,144,node/11749608069,no,,,,24/7,Privatperson,+41 79 682 13 38,,"local_knowledge, defikarte.ch"
11768457969,node,47.3199205,9.4279865,,,,,,,Eingang vor Sanitätszimmer,,während Öffnungszeiten,defibrillator,144,node/11768457969,yes,0,,,"Mo - Fr 7:30 - 12:00, 13:00 - 16:30",Firma Wyon,,,
12000390871,node,47.3015907,9.4332645,yes,,,,,,Turnhalle Schwende,,,defibrillator,144,node/12000390871,yes,0,,,24/7,Gemeinde,,,
12000390872,node,47.3086789,9.4346866,yes,,,,,,Feuerwehr Schwende,,,defibrillator,144,node/12000390872,no,0,,,24/7,Gemeinde,,,
12056948569,node,47.2543044,9.4254893,yes,,,,,,Clubheim Fälensee Privathütte,,Im geschützten Aussenbereich Wintereingang für alle zugänglich,defibrillator,144,node/12056948569,no,,,,24/7,SAC St. Gallen,+41793173336,,
12166173001,node,47.3324422,9.4156104,permissive,,,,,,Küechlimoosstrasse 9,,,defibrillator,144,node/12166173001,yes,0,,,Mo-Fr 8:00-17:00,Augenklinik Herisau Appenzell AG,+41 71 351 11 51,,"local_knowledge, defikarte.ch"
12216486301,node,47.4348769,9.6091104,yes,,,,,,"Aussen am Gebäude, Walzenhausenstrasse 1, 9442 Büriswilen",,Öffentlich zugänglich,defibrillator,144,node/12216486301,no,,,,24/7,Privatperson,+41717887333,,"local_knowledge, defikarte.ch"
12346163301,node,47.3077284,9.4334257,yes,,,,,,"Loosböhl 12, links neben der Hauseingangstüre",,immer zugänglich,defibrillator,144,node/12346163301,no,,,,24/7,Privatperson,+41793012012,,"local_knowledge, defikarte.ch"
12353809701,node,47.3309918,9.4128317,permissive,,,,,,Innerhalb Besucherzentrum der Brauerei. Links vom Eingang in einem Zwischengang.,,Während den Öffnungszeiten verfügbar,defibrillator,144,node/12353809701,yes,0,,,"Mo 10:00-18:30, Tu-Fr 09:00-18:30, Sa 09:00-17:00, Su 10:00-17:00",Brauerei Locher AG,+41 71 788 01 76,,"local_knowledge, defikarte.ch"
12493047802,node,47.333046,9.4087976,yes,,,,,,Im offenen Vorraum des WC-Gebäudes am Parkplatz,,Öffentlich zugänglich,defibrillator,144,node/12493047802,no,,,,24/7,Kanton AI,+41717887333,,"local_knowledge, defikarte.ch"
12493055301,node,47.3338203,9.4057828,permissive,,,,,,Im neuen Migros-Markt,,"Standort innen, direkt links nach dem Haupteingang beim Blumenstand",defibrillator,144,node/12493055301,yes,0,,,8:00 - 19:00,Migros,,,"local_knowledge, defikarte.ch"
12738843101,node,47.3247354,9.4193878,permissive,,,,,,Appenzeller Bahnen Servicezentrum,,Im Haupteingang - Windfang,defibrillator,144,node/12738843101,yes,0,,,"Mo-Fr 07:00-12:00, 13:00-16:00",Appenzeller Bahnen,,,"local_knowledge, defikarte.ch"
13139769546,node,47.2830518,9.4121591,,,,,,,Aussenseite Bergstation Südostseite,,,defibrillator,,node/13139769546,no,,,,,,,,
13236002401,node,47.3393066,9.3974913,yes,,,,,,Mettlenstrasse 21,,24/7 verfügbar,defibrillator,144,node/13236002401,yes,0,,,24/7,Ökohof Appenzell Innerrhodern,+41 71 788 92 84,,
13300872701,node,47.3328919,9.3981097,,,,,,,"Gewerbepark Appenzell AG, Ecke Ost",,,defibrillator,144,node/13300872701,no,,,,24/7,,,,
