osm_id,osm_type,lat,lon,access,check_date,defibrillator:location,defibrillator:location:en,description,email,emergency,emergency:phone,id,indoor,level,opening_hours,operator,operator:type,panoramax,phone,ref,source,wheelchair
12508973201,node,47.1792589,9.5072697,yes,,"Schreinerei Noldi Frommelt AG, rotes Gebäude, Fassade Nordost",,immer verfügbar,,defibrillator,144,node/12508973201,no,0,24/7,Schreinerei Noldi Frommelt,private,,+41788007803,,,
12574311801,node,47.2074649,9.5338979,permissive,,Argus Sicherheitsdienst AG,,"Klingeln und den AED anfordern, dieser wird umgehend gebracht..",,defibrillator,144,node/12574311801,yes,2,24/7,Argus Sicherheitsdienst,,,+4233774040,,,
12578826001,node,47.2126662,9.5207233,yes,,Primarschule Eschen,,Simsgasse unterhalb des Gebäudes beim Abwartseingang,,defibrillator,144,node/12578826001,no,-1,24/7,Gemeinde Eschen,,,+423 794 90 20,,,
12625392302,node,47.1019264,9.5245702,yes,,Mehrzweckgebäude Vereinshaus,,Beim Eingang Skiclub,,defibrillator,144,node/12625392302,no,0,24/7,Gemeinde Triesen,,,+423 399 36 36,,,
12655522201,node,47.0648791,9.4989736,yes,,"Wohnen im Alter, Elgagass 34",,Eingang Südseite,,defibrillator,144,node/12655522201,no,0,24/7,Gemeinde Balzers,,,+41796973326,,,
12655690901,node,47.0694972,9.5085058,yes,,Familienzentrum Heiligwies 24,,Eingang Kindergarten,,defibrillator,144,node/12655690901,no,0,24/7,Gemeinde Balzers,,,+41796973326,,,
12684800402,node,47.1194191,9.5195197,yes,,Max Heidegger Autogarage Messinastr. 1,,Direkt an der Industriestrasse ersichtlich,,defibrillator,144,node/12684800402,no,0,24/7,Gemeinde Triesen,,,+423 792 36 42,,,
12687191001,node,47.063032,9.5120978,yes,,Trafostation LKW Wingerta,,Direkt an der Strasse Wigerta,,defibrillator,144,node/12687191001,no,0,24/7,Gemeinde Balzers,,,+41796973326,,,
12687254001,node,47.0612383,9.4891531,yes,,Trafostation LKW Mariahilf,,"Beim Parkplatz, hinter dem Kindergarten Mariahilf",,defibrillator,144,node/12687254001,no,0,24/7,Gemeinde Balzers,,,+41796973326,,,
12754309901,node,47.2155792,9.5502472,yes,,Vogelparadies,,"Bei den Veloständern direkt an der Strasse, Josef Murr Weg",,defibrillator,144,node/12754309901,no,0,24/7,Gemeinde Mauren,,,+4233771040,,,
12814650501,node,47.1128171,9.5307263,yes,,Meierhofstrasse 120,,Direkt an der Strasse,,defibrillator,144,node/12814650501,no,0,24/7,Gemeinde Triesen,,,+423 792 36 42,,,
12952477601,node,47.1634628,9.5212814,yes,,Steinegerta Bildungscampus,,"Beim Eingang, an der Infotafel befestigt",,defibrillator,144,node/12952477601,no,0,24/7,Gemeinde Schaan,,,+423 222 01 35,,,
12969209301,node,47.2410232,9.5283163,yes,,Kirche Ruggell,,"Beim Hydrant und Anschlagbrett, direkt an der Strasse",,defibrillator,144,node/12969209301,no,0,24/7,Gemeinde Ruggell,,,+4233774920,,,
13006614102,node,47.2143318,9.5348564,yes,,Müko Gartengestaltung Mauren,,"direkt neben der Hauptstrasse, an der Werbetafel",,defibrillator,144,node/13006614102,no,0,24/7,Gemeinde Mauren,,,+4232220135,,,
13152917501,node,47.1625097,9.515689,yes,,Obergass / Fürst Johannes Str.,,direkt an der Strasse bei der Trafostation LKW,,defibrillator,144,node/13152917501,no,0,24/7,Gemeinde Schaan,,,+4232220135,,,
13152943401,node,47.1704154,9.5170334,yes,,HPZ Im Kresta 31,,Beim Lieferanteneingang neben Bushaltestelle,,defibrillator,144,node/13152943401,no,0,24/7,Gemeinde Schaan,,,+4232220135,,,
13152990201,node,47.2407478,9.559291,yes,,Hinterschellenberg / Hala,,Beim Veloparkplatz / Spielplatz / gelber Briefkasten,,defibrillator,144,node/13152990201,no,0,24/7,Gemeinde Schellenberg,,,+4232220135,,,
13153045701,node,47.2290981,9.5386646,yes,,Vorderschellenberg / Widum / Platta,,Bushaltestelle Widum / Platta,,defibrillator,144,node/13153045701,no,0,24/7,Gemeinde Schellenberg,,,+4232220135,,,
13202078501,node,47.0684864,9.4974667,yes,,Coop Tankstelle Gagoz 77 Balzers,,Direkt neben dem Eingang bei den Toiletten,,defibrillator,144,node/13202078501,no,0,24/7,Gemeinde Balzers,,,+4232220135,,,
13353316115,node,47.1673171,9.5117491,yes,,TAK Reberastrasse 12,,Beim TAK direkt an der Strasse,,defibrillator,144,node/13353316115,no,0,24/7,Gemeinde Schaan,,,+4232220135,,,
13475549701,node,47.167682,9.5085273,yes,,Postgebäude Schaan,,Bei der Päcklebox,,defibrillator,144,node/13475549701,no,0,24/7,Liecht. Landesverwaltung,,,+4232220135,,,
13485437901,node,47.1114068,9.524034,yes,,"Alte Post Landstr. 190, Triesen",,"An der Hauswand, direkt an der Haupstrasse",,defibrillator,144,node/13485437901,no,0,24/7,Liecht. Landesverwaltung,,,+4232220135,,,
13500741502,node,47.1175911,9.5262973,yes,,"Kindergarten St. Wolfgangstr. 14, Triesen",,"An Trafostation, direkt an der Str. ersichtlich",,defibrillator,144,node/13500741502,no,0,24/7,Gemeinde Triesen,,,+4232220135,,,
13505334401,node,47.124816,9.524473,yes,,"Zentrum für Schulmedien, Pflugstr. 28",,An der seitlichen Eingangstür,,defibrillator,144,node/13505334401,no,0,24/7,Liecht. Landesverwaltung,,,+4232220135,,,
13505341201,node,47.2137408,9.5258086,yes,,Schulzentrum Unterland,,Beim Eingang des Hallenbads,,defibrillator,144,node/13505341201,no,0,24/7,Liecht. Landesverwaltung,,,+4232220135,,,
13506243101,node,47.0656617,9.5006574,yes,,Burg Gutenberg,,An der seitlichen Gebäudemauer,,defibrillator,144,node/13506243101,no,0,24/7,Liecht. Landesverwaltung,,,+4232220135,,,
13555755501,node,47.1365035,9.5226925,yes,,"Standesamt Vaduz, St. Florinsgasse 3",,"Beim Aufgang zum Standesamt, direkt an der Strasse",,defibrillator,144,node/13555755501,no,0,24/7,Liecht. Landesverwaltung,,,+4232220135,,,
13592172501,node,47.1557065,9.5059605,yes,,Schulhaus Mühleholz,,"An der Hauswand, direkt bei der Kreuzung Schaanerstrasse",,defibrillator,144,node/13592172501,no,0,24/7,,,,+4232220135,,,
13603072601,node,47.079141,9.5124786,yes,,Feuerwehrdepot / Werkhof Balzers Neugrüt,,An der Aussenwand bei den Garagen,,defibrillator,144,node/13603072601,no,0,24/7,Gemeinde Balzers,,,+4232220135,,,
13604905301,node,47.0641497,9.49943,yes,,Haus Gutenberg Burgweg 3,,Beim Haupteingang rechts an Hauswand,,defibrillator,144,node/13604905301,no,0,24/7,Gemeinde Balzers,,,+4232220135,,,
13623448701,node,47.1325795,9.5227466,yes,,Landgericht,,Bei Tiefgarageneinfahrt,,defibrillator,144,node/13623448701,no,0,24/7,Liecht. Landesverwaltung,,,+4232220135,,,
13732131101,node,47.2236705,9.5519884,yes,,Zollhaus Binza Mauren,,Direkt an der Strasse beim Zollhaus,,defibrillator,144,node/13732131101,no,0,24/7,Gemeinde Mauren,,,+4232220135,,,
13732168801,node,47.2208126,9.5359715,yes,,Pfadiheim Auf Berg Mauren,,Bei Velounterstand neben Garageneinfahrt,,defibrillator,144,node/13732168801,no,0,24/7,Gemeinde Mauren,,,+4232220135,,,
13732203301,node,47.1451038,9.5216901,yes,,Beim Roten Haus Vaduz,,An der Maurer vis a vis vom roten Haus,,defibrillator,144,node/13732203301,no,0,24/7,Gemeinde Vaduz,,,+4232220135,,,
13801707302,node,47.1219067,9.5291762,yes,,Meierhof Trafostation Eichholzweg 2,,LKW Trafostation,,defibrillator,144,node/13801707302,no,0,24/7,Gemeinde Triesen,,,+4232220135,,,
