osm_id,osm_type,lat,lon,access,access:conditional,access:note,addr:city,addr:floor,addr:housenumber,addr:postcode,addr:street,check_date,defibrillator:location,defibrillator:location:de,defibrillator:location:en,description,email,emergency,emergency:phone,fixme,foot,id,indoor,latitude,level,level:ref,longitude,name,note,opening_hours,operator,operator:type,phone,postal_code,ref,source,start_date,survey:date,website,wheelchair
7289424966,node,47.3840017,8.4949391,customers,,,,,,,,,"Durch den Haupteingang, links am am Empfang vorbei, gegenüber den Aufzügen",,,,,defibrillator,144,,,node/7289424966,yes,,0,,,,,,Kuoni Mueller & Partner Holding AG,,+41 58 317 17 17,,,,,,,yes
7380050795,node,47.377637,8.4880788,yes,,,,,,,,,Im Erdgeschosse neben der Treppe zur Garage.,,,,,defibrillator,144,,,node/7380050795,yes,,,,,,,24/7,Siedlungsgenossenschaft Sunnige Hof,,+41443172020,,,,,,,yes
7561453184,node,47.3864463,8.5474779,yes,,,,,,,,,,,,,,defibrillator,144,,,node/7561453184,yes,,,,,,,,,,,,,,,,,
7574664756,node,47.3773878,8.5397029,yes,,,,,,,,,Sektor B Gleis 22,,,,,defibrillator,144,,,node/7574664756,yes,,-1,,,,,24/7,,,,,,,,,,
7592872950,node,47.3903346,8.5114539,yes,,,,,,,,,im Turm,,,,,defibrillator,144,,,node/7592872950,yes,,8,,,,,,,,,,,,,,,
7592872951,node,47.3913569,8.5121351,yes,,,,,,,,,Sektor G,,,7. Stock: Immer öffentlich zugänglich,,defibrillator,144,,,node/7592872951,yes,,7,,,,,24/7,,,,,,,,,,
7592872952,node,47.3903655,8.5115075,yes,,,,,,,,,Bei Sektor T (Gang),,,7. Stock,,defibrillator,144,,,node/7592872952,yes,,7,,,,,07:00 - 21:00,ZHdK,,,,,,,,,
7592872953,node,47.3913969,8.5121271,yes,,,,,,,,,Sektor G,,,5. Stock: Immer öffentlich zugänglich,,defibrillator,144,,,node/7592872953,yes,,5,,,,,24/7,,,,,,,,,,
7592872954,node,47.390282,8.5114646,yes,,,,,,,,,Treppenhaus,,,,,defibrillator,144,,,node/7592872954,yes,,5,,,,,07:00 - 21:00,ZHdK,,,,,,,,,
7592872955,node,47.3903237,8.5114995,yes,,,,,,,,,im Turm,,,2. Stock,,defibrillator,144,,,node/7592872955,yes,,2,,,,,07:00 - 21:00,ZHdK,,,,,,,,,
7592872956,node,47.3913333,8.5120895,yes,,,,,,,,,Bei Sektor G (Kino),,,3. Stock: Immer öffentlich zugänglich,,defibrillator,144,,,node/7592872956,yes,,3,,,,,24/7,,,,,,,,,,
7592872957,node,47.3908322,8.5116336,yes,,,,,,,,,Beim Empfang,,,3. Stock,,defibrillator,144,,,node/7592872957,yes,,3,,,,,07:00 - 21:00,ZHdK,,,,,,,,,
7592872958,node,47.3908848,8.5116631,private,,,,,,,,,Sektor D,,,,,defibrillator,144,,,node/7592872958,yes,,2,,,,,,,,,,,,,,,
7592872959,node,47.3906451,8.5118401,private,,,,,,,,,Bei Anlieferung Ost,,,,,defibrillator,144,,,node/7592872959,yes,,1,,,,,,,,,,,,,,,
7644275284,node,47.3830488,8.4945281,,,,,,,,,,Im Foyer des UBS-Gebäudes. Zugriff über Loge/Anmeldung möglich.,,,,,defibrillator,144,,,node/7644275284,yes,,,,,,,,UBS AG,,,,,,,,,
7717360535,node,47.3741741,8.5401578,permissive,,,,,,,,,Im Zimmer neben dem Eingang,,,nur während Amtszeiten verfügbar,,defibrillator,144,,,node/7717360535,yes,,0,,,,,Mo-Fr 08:00-17:00,"Stadt Zürich, Amt für Städtebau",,+41 44 412 11 11,,,,,,,limited
7717388350,node,47.3469944,8.565448,,,,,,,,,,Im Museum,,,,,defibrillator,144,,,node/7717388350,yes,,,,,,,"Tu 13:00-17:00, Su 13:00-17:00",,,,,,,,,,
7723658566,node,47.3941273,8.5441451,,,,,,,,,,Im Kirchgemeindehaus,,,nur zu Öffnungszeiten verfügbar,,defibrillator,144,,,node/7723658566,yes,,,,,,,Mo-Su 07:00-19:00,,,,,,,,,,
7727118196,node,47.3675408,8.5543398,,,,,,,,,,Egon Informatik: Lieferanteneingang Minervastrasse,,,nur während Öffnungszeiten verfügbar,,defibrillator,144,,,node/7727118196,yes,,,,,,,Mo-Fr 08:00-17:00,Ergon Informatik AG,,,,,,,,,
7727138533,node,47.4012635,8.503009,,,,,,,,,,in der Kirche,,,nur während Öffnungszeiten verfügbar,,defibrillator,144,,,node/7727138533,yes,,,,,,,Mo-Su 07:00-19:00,Katholische Kirche Zürich,,,,,,,,,
7727140868,node,47.3639645,8.5533896,,,,,,,,,,Bei Ergon Informatik melden,,,nur während Öffnungszeiten verfügbar,,defibrillator,144,,,node/7727140868,yes,,,,,,,"Mo-Fr 08:00-12:00, 13:00-17:00",Ergon Informatik AG,,,,,,,,,
7727162334,node,47.3657185,8.5486181,,,,,,,,,,Bei Ergon Informatik melden,,,nur während Öffnungszeiten verfügbar,,defibrillator,144,,,node/7727162334,yes,,,,,,,"Mo-Fr 08:00-12:00, 13:00-17:00",Ergon Informatik AG,,,,,,,,,
7817190763,node,47.374091,8.4924208,,,,,,,,,2025-08-01,"Next to the entrance, outside",,,,,defibrillator,144,,,node/7817190763,no,,,,,,,,,,,,,,,,,
7820028703,node,47.3708422,8.5239156,yes,,,,,,,,,2. OG Immobilien,,,Bei Feuerwehr melden,,defibrillator,144,,,node/7820028703,,,,,,,,,Schutz & Rettung Zürich,,,,,,,,,
7820028704,node,47.375807,8.5412409,yes,,,,,,,,,EG Feuerpolizei,,,Bei Feuerwehr melden,,defibrillator,144,,,node/7820028704,yes,,,,,,,,Schutz & Rettung Zürich,,,,,,,,,
7820028708,node,47.3691742,8.5247762,customers,,,,,,,,,Berufsfeuerwehr Zürich,,,Bei Feuerwehr klingeln,,defibrillator,144,,,node/7820028708,yes,,,,,,,24/7,Schutz & Rettung Zürich,,,,,,,,,
7836915810,node,47.3766954,8.4877483,yes,,,,,,,,,hängt an der Hauswand,,,24h öffentlich zugänglich,,defibrillator,144,,,node/7836915810,no,,,,,,,24/7,Siedlungsgenossenschaft Sunnige Hof,,+41443172020,,,,,,,yes
7840576748,node,47.3875604,8.5245485,,,,,,,,,,Haupteingang Parterre,,,während Betriebszeiten,,defibrillator,144,,,node/7840576748,,,,,,,,,,,,,,,,,,
8173606047,node,47.3815615,8.5441446,no,,,,,,,,,WEV: E50 beim Eingang,,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173606047,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8173606048,node,47.3803356,8.5447361,no,,,,,,,,,IFW: E30 beim Lift,,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173606048,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8173606049,node,47.3778001,8.5525158,no,,,,,,,,,ETZ: C77 Vorraum Lift,,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173606049,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8173606050,node,47.3785756,8.5523871,no,,,,,,,,,ETL: H10 beim Treppenhaus,,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173606050,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8173606051,node,47.3786556,8.5522824,no,,,,,,,,,ETL: E10 beim Treppenhaus,,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173606051,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8173606052,node,47.3793348,8.5486159,no,,,,,,,,,CHN: D10 beim Lift,,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173606052,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8173606053,node,47.3785121,8.5487983,no,,,,,,,,,"CAB: F10 Halle, beim ISC",,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173606053,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8173606054,node,47.3784939,8.5470495,no,,,,,,,,,NO: C50 Halle Seite Clausiusstrasse,,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173606054,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8173606055,node,47.3780961,8.5461389,no,,,,,,,,,LEE: E20 Vorraum Lift,,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173606055,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8173606056,node,47.3758357,8.546973,no,,,,,,,,,MM: A90 Treppenhaus bei Loge,,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173606056,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8173606057,node,47.3764863,8.5479064,,,,,,,,,,"HG: F30.6 Audimax, Laubengang innen links",,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173606057,yes,,1,,,,,24/7,ETH Zürich,,+41 44 342 11 88,,,,,,,yes
8173632415,node,47.4057435,8.508887,no,,,,,,,,,HCP: G20 Eingang,,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173632415,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8173632416,node,47.4065114,8.5109925,no,,,,,,,,,HPS: E10 Eingang,,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173632416,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8173672417,node,47.4075861,8.5092652,no,,,,,,,,,"HPH: D10 Halle, Eingang food market",,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173672417,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8173672418,node,47.4068164,8.5092437,no,,,,,,,,,HCI: D379.2 Gang,,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173672418,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8173672419,node,47.4070415,8.5085195,no,,,,,,,,,HCI: E473.2 Gang,,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173672419,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8173672420,node,47.4077494,8.5074198,yes,,,,,,,,,"HCI: E30 Halle, Infokasten, links vom Mensa-Eingang",,,"über Alarmzentrale (siehe Telefonnummer) 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173672420,yes,,0,,,,,24/7,ETH Zürich,,+41 44 342 11 88,,,,,,,yes
8173672421,node,47.4086825,8.5074306,,,,,,,,,,HIL: D10 Halle,,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173672421,yes,,0,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8173672422,node,47.4097571,8.5065561,no,,,,,,,,,HIF: C80.0011 im Treppenhaus,,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173672422,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8173672423,node,47.4094526,8.5093778,,,,,,,,,,HPF: C10 beim Eingang,,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173672423,yes,,0,,,,,07:00-19:00,ETH Zürich,,+41 44 342 11 88,,,,,,,yes
8173672424,node,47.410192,8.5084887,private,,,,,,,,,"HIT: E10 Eingang, bei Postfächer",,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173672424,yes,,0,,,,,Mo-Fr 07:00-18:00; Sa-Su closed; PH closed,ETH Zürich,,+41 44 342 11 88,,,,,,,yes
8173672425,node,47.4108316,8.5120949,no,,,,,,,,,HEZ: E10 beim Eingang,,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173672425,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8173673039,node,47.4132108,8.5372469,no,,,,,,,,,"OCT: E10.0011 nach dem Eingang rechts an der Wand, gelber Metallkasten",,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173673039,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8173673040,node,47.4173785,8.5394213,no,,,,,,,,,ONA: E10 beim Eingang,,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,defibrillator,144,,,node/8173673040,yes,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,
8178867247,node,47.3843361,8.5777712,yes,,,,,,,,,"Masoala Restaurant, Free Flow, Innenbereich, Rolf-Balsiger-Strasse",,,"Verwendung durch Betriebssanität Zoo Zürich AG, Hinweis AED Aussen angebracht",,defibrillator,144,,,node/8178867247,yes,,,,,,,Mo-Su 09:00-17:00,Zoo Zürich AG,,+41 44 254 25 00,,,,,,,
8178867248,node,47.3882968,8.576976,yes,,,,,,,,,"Elefantenpark KKEP, unter Thai Lodge Restaurant, Innenbereich",,,"Verwendung durch Betriebssanität Zoo Zürich AG, Hinweis AED Aussen angebracht",,defibrillator,144,,,node/8178867248,yes,,0,,,,,Mo-Su 09:00-17:00,Zoo Zürich AG,,+41 44 254 25 00,,,,,,,
8178867249,node,47.3886259,8.5739252,yes,,,,,,,,,"Betriebszentrum Empfang, Innenbereich, Klosterweg 60",,,Verwendung durch Betriebssanität Zoo Zürich AG,,defibrillator,144,,,node/8178867249,yes,,,,,,,Mo-Su 09:00-17:00,Zoo Zürich AG,,+41 44 254 25 00,,,,,,,
8178867250,node,47.3845345,8.574667,yes,,,,,,,,,"Im Aussenbereich, zwischen Besucherzentrum und Kasse",,,Verwendung durch Betriebssanität Zoo Zürich AG,,defibrillator,144,,,node/8178867250,no,,,,,,,Mo-Su 09:00-17:00,Zoo Zürich AG,,+41 44 254 25 00,,,,,,,
8190623269,node,47.3747241,8.5531703,yes,,,,,,,,,"ZUI A, B, E + H bei Lift, 6 Standorte",,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623269,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623270,node,47.3987995,8.5492904,yes,,,,,,,,,"Y52-E-03 / Rechtsmedizin, bei Anmeldung (Tasche)",,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623270,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623271,node,47.3984672,8.5461643,yes,,,,,,,,,Y30-E-100 / HSA Irchel Eingangshalle,,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623271,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623272,node,47.3969131,8.5491872,yes,,,,,,,,,"Y24-G-110 / Lichthof Irchel, Infosäule",,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623272,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623273,node,47.3701096,8.554038,yes,,,,,,,,,WIL-E-400 / Treppenhaus neben Hinterausgang,,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623273,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623275,node,47.3998171,8.5522234,yes,,,,,,,,,"TNU 10.60 / Korridor 1. OG, neben Lift",,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623275,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623276,node,47.3998307,8.5505336,yes,,,,,,,,,"TKK-00-400 / bei Anmeldung, hinter Glastüre",,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623276,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623277,node,47.4006794,8.5512002,yes,,,,,,,,,"neben TFA 00.46 / Geschoss 00, neben Lift",,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623277,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623278,node,47.4005133,8.5536343,yes,,,,,,,,,"TDI 10.00 / im Haupttreppenhaus, höhe Hörsaal",,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623278,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623279,node,47.381774,8.5414866,yes,,,,,,,,,STB-E-820 / vor Cafeteria (STB E 020),,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623279,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623280,node,47.383561,8.5739265,yes,,,,,,,,,"SPO-E-31A / HSA Fluntern, Eingangshalle",,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623280,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623281,node,47.4020247,8.5464688,yes,,,,,,,,2026-02-01,"SCA-E-427B / Eingangshalle, neben Validierstation",,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623281,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623282,node,47.3732147,8.5506356,yes,,,,,,,,,"RAI-E-435 / neben Eingang Cafeteria, RAI-E-041",,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623282,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623283,node,47.3720721,8.5499208,yes,,,,,,,,,"RAA-E-400 / Eingangshalle bei Cafeteria, Lift",,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623283,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623284,node,47.3708287,8.5343391,yes,,,,,,,,,"PEA-E-410 / Eingangshalle, gegenüber Lift",,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623284,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623285,node,47.372088,8.5478766,yes,,,,,,,,,HRS-E-400 / Eingangsbereich,,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623285,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623286,node,47.3764061,8.5534532,yes,,,,,,,,,GLL-F / Eingangsbereich F,,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623286,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623287,node,47.3745661,8.5487285,no,,,,,,,,,"KOL-E-41A / neben VD Büro, KOL-E-1A",,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623287,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623288,node,47.358916,8.5600877,no,,,,,,,,,BOT-0-78 / beim Haupteingang,,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623288,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623289,node,47.414349,8.5496181,yes,,,,,,,,,"BIN-0-L.03 / neben Postschalter, vor BD-Büro",,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623289,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623290,node,47.4131681,8.5487552,yes,,,,,,,,,AND-2-408 / Vorraum Warenlifte 2. Stock,,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623290,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190623291,node,47.4108068,8.5402269,yes,,,,,,,,,"AFL-E-070 / Eingangshalle, nähe Postfächer",,,während Gebäudeöffnungszeiten (tagsüber) verfügbar,,defibrillator,144,,,node/8190623291,yes,,,,,,,,Betriebssanität UZH,,+41 44 635 41 41,,,,,,,
8190630344,node,47.3768048,8.5338181,yes,,,,,,,,,in der HWZ (Empfang),,,während Ferien gelten die Öffnungszeiten nicht,,defibrillator,144,,,node/8190630344,yes,,,,,,,Mo-Fr 07:00-21:30; Sa 07:00-16:00,HWZ,,,,,,,,,
8230591073,node,47.3753553,8.5304761,,,,,,,,,,"Treppenhaus, 1. Stock",,,,,defibrillator,144,,,node/8230591073,yes,,,,,,,"Mo-Fr 07:30-12:00, 13:00-16:30",Stadtpolizei Zürich,,+41 44 411 71 17,,,,,,,
8257971367,node,47.3819067,8.4956974,,,,,,,,,,Vor dem Hauseingang rechts an der Dachsäule,,,,,defibrillator,144,,,node/8257971367,no,,,,,,,24/7,,,,,,,,,,yes
8280848041,node,47.3807456,8.4772382,,,,,,,,,,Beim Haupteingang direkt nach der Schiebetüre rechts,,,,,defibrillator,144,,,node/8280848041,yes,,,,,,,,,,,,,,,,,
8382845170,node,47.3761554,8.5402954,yes,,,,,,,,,Im Büro der SOB,,,nur während Büroöffnungszeiten,,defibrillator,144,,,node/8382845170,yes,,,,,,,,SOB,,+41 58 580 70 70,,,,,,,
8424840417,node,47.4046457,8.5331519,,,,,,,,,,"Hanging outside on the wall to the left of the bukding entrance. / Draussen an der Wand hängend, links vom Hauseingang.",,,,,defibrillator,144,,,node/8424840417,no,,0,,,,,24/7,Siedlungsgenossenschaft Sunnige Hof,,+41443172020,,,,,,,no
8445584053,node,47.3902248,8.5146016,yes,,,,,,,,2025-08-28,Im Eingangsbereich Pfingstweidstrasse 60b,,,,,defibrillator,144,,,node/8445584053,yes,,0,,,,,,,,,,,,,,,yes
8448182917,node,47.386347,8.5198691,,,,,,,,,,neue Hard 9 bei der Loge 7/24h,,,rund um die Uhr,,defibrillator,144,,,node/8448182917,yes,,,,,,,24/7,Zürcher Kantonalbank,,,,,,,,,
8461458032,node,47.4105926,8.5431598,yes,,,,,,,,2025-10-23,Neben dem Kundendienst,,,,,defibrillator,144,,,node/8461458032,yes,,1,,,,,Mo-Sa 08:00-20:00; PH off,Genossenschaft Migros Zürich,,+41 58 543 98 00,,,,,,,yes
8461565646,node,47.4151496,8.5633227,yes,,,,,,,,,Höhere Fachschule für Rettungsberufe (HFRB),,,Beim Eingang 1.OG,,defibrillator,144,,,node/8461565646,yes,,1,,,,,Mo-Fr 07:30-13:30,"Schutz & Rettung, Zürich",,,,,,,,,yes
8461610909,node,47.3920476,8.4838519,yes,,,,,,,,,Eingangshalle an Säule,,,,,defibrillator,144,,,node/8461610909,yes,,,,,,,Mo-Fr 07:00-17:00,Helbling AG,,+41 44 438 17 11,,,,,,,
8467137519,node,47.4155852,8.5076112,yes,,,,,,,,2026-03-05,"Lerchenhalde 67. Ecke vom Gebäude, links von de Treppen",,,,,defibrillator,144,,,node/8467137519,no,,,,,,,24/7,,,,,,,,,,
8480125218,node,47.409306,8.5525268,yes,,,,,,,,,An der Wand,,,,,defibrillator,144,,,node/8480125218,no,,0,,,,,24/7,,,,,,,,,,limited
8486151363,node,47.3709136,8.5209488,yes,,,,,,,,,Haupteingang,,,,,defibrillator,144,,,node/8486151363,no,,,,,SanArena Rettungsschule,,24/7,SanArena Rettungsschule,,+41444616161,,,,,,,
8500495394,node,47.3756114,8.493074,yes,,,,,,,,,"Outside, on the wall of the building",,,"Outside, on the wall of the building",,defibrillator,144,,,node/8500495394,no,,,,,,,24/7,,,,,,,,,,
8510071621,node,47.3520173,8.5733847,yes,,,,,,,,,"Schulthess Klinik, neben dem Hautempfang links an der Wand",,,Während Öffnungszeiten Empfang verfügbar,,defibrillator,144,,,node/8510071621,yes,,,,,,,Mo-Fr 07:00-21:00,,,,,,,,,,
8554766813,node,47.3928298,8.5140867,yes,,,,,,,,,Eingangsbereich A der Firma Hitachi Zosen Inova AG,,,während Büroöffnungszeiten verfügbar,,defibrillator,144,,,node/8554766813,yes,,,,,,,,Hitachi Zosen Inova AG,,+41 44 277 11 11,,,,,,,
