osm_id,osm_type,lat,lon,access,access:conditional,access:note,addr:city,addr:housenumber,addr:postcode,addr:street,check_date,contact:phone,covered,defibrillator:location,defibrillator:location:de,defibrillator:location:en,description,emergency,emergency:amenity,emergency:phone,emergency_telephone_code,entrance,fixme,id,image,image:license,indoor,latitude,layer,level,longitude,name,opening_hours,operator,operator:wikidata,operator:wikipedia,phone,postal_code,ref,source,support,wheelchair
5979337846,node,46.6349475,9.4448114,yes,,,,,,,2024-05-25,,,Im grünen Aussenkasten am Gebäude in der Nähe des Postfahrplans,,,,defibrillator,,144,,,,node/5979337846,,,yes,,,,,,24/7,First Responder Schams,,,,,,,,
6010742519,node,46.7745165,9.6574211,,,,,,,,,,,Hermans Häuser,,,,defibrillator,,144,,,,node/6010742519,,,no,,,,,,24/7,,,,,,,,,
6010746167,node,46.7752656,9.6740597,,,,,,,,,,,"Campingplatz, Zentrales Gebäude, neben Check In",,,"Zugang jederzeit, bei der Entsorgungsstation",defibrillator,,144,,,,node/6010746167,,,no,,,,,,24/7,Gemeinde / Camping Arosa,,,,,,,,
6466286078,node,46.7602202,9.557857,,,,,,,,,,,"Auf der Aussenwand, gerade bei der Ecke von Haus",,,,defibrillator,,144,,,,node/6466286078,,,no,,,,,,,,,,,,,,,
6646055348,node,46.8843879,9.8758907,yes,,,,,,,2025-06-18,,,an der Bushaltestelle; östliche Hauswand,,,,defibrillator,,144,,,,node/6646055348,,,no,,,,,,24/7,,,,,,,,,
6646055351,node,46.8834528,9.8754933,yes,,,,,,,2025-06-16,,,zwischen den Toilettentüren,,,,defibrillator,,144,,,,node/6646055351,,,no,,,,,,24/7,,,,,,,,,
6651312612,node,46.7494628,9.4422178,yes,,,,,,,,,,Beim Denner,,,,defibrillator,,144,,,,node/6651312612,,,no,,,,,,24/7,Gemeinde Domleschg,,,+41 81 650 13 13,,,,,
6780438488,node,46.803085,9.8365178,customers,,,,,,,,,,Next to stairwell inside hotel.,,,,defibrillator,,144,,,,node/6780438488,,,yes,,,0,,,,,,,,,,,,no
6794746185,node,46.7463346,9.555387,yes,,,,,,,,,,SPAR Einkaufsladen Valbella,,,Immer zugänglich,defibrillator,,144,,,,node/6794746185,,,no,,,0,,,24/7,Gemeinde Vaz/Obervaz,,,,,,,,
6794926988,node,46.7425876,9.5974653,yes,,,,,,,,,,Rothorn-Gipfel (Patrolleur-Station),,,,defibrillator,,144,,,,node/6794926988,,,yes,,,,,,sunrise-sunset,Lenzerheide Bergbahnen AG,,,,,,,,
6795952885,node,46.7427882,9.5730509,yes,,,,,,,,,,In der Station Scharmoin im grünen Kasten an der Betonwand beim Fenster im Übergangsbereich zwischen den beiden Bahnen.,,,,defibrillator,,144,,,,node/6795952885,,,yes,,,0,,,sunrise-sunset,Lenzerheide Bergbahnen AG,,,,,,,,yes
7176803090,node,46.754925,9.0560605,yes,,,,,,,,,,Beim Eingang Volg (aussen),,,,defibrillator,,144,,,,node/7176803090,,,no,,,,,,24/7,Danis,,,,,,,,yes
7180807273,node,46.7676988,9.0623214,yes,,,,,,,,,,Wand Schulhaus,,,,defibrillator,,144,,,,node/7180807273,,,no,,,,,,24/7,Brigels,,,,,,,,limited
7180934122,node,46.7577628,9.048953,yes,,,,,,,,,,"An der Wand am Gebäude, direkt neben Postbriefkasten",,,,defibrillator,,144,,,,node/7180934122,,,no,,,,,,24/7,Dardin,,,,,,,,limited
7257127081,node,46.8397866,9.6051461,yes,,,,,,,,,,Beim Gemeindehaus,,,,defibrillator,,144,,,,node/7257127081,,,,,,,,,24/7,Gemeinde,,,,,,,,
7321844644,node,46.8109199,9.5310336,,,,,,,,,,,,,,,defibrillator,,144,,,,node/7321844644,,,no,,,,,,,,,,,,,,,
7518987364,node,46.7681636,10.1110223,yes,,,,,,,,,,Cabina da telefon,,"next to phone box, on lampost at corner",Öffentlich zugänglich,defibrillator,,144,,,,node/7518987364,https://openaedmap.org/api/v1/photos/view/qzCvIJ5wZs7lVgJdmFP1Sw.webp,CC0,no,,,,,,24/7,Gemeinde Zernez,,,,,,,,
7581443273,node,46.8611014,9.8998447,,,,,,,,,,,,,,,defibrillator,,144,,,,node/7581443273,,,,,,,,,,,,,,,,,,
7615866817,node,46.8360978,9.2838814,yes,,,,,,,,+41 76 422 63 76,,Eingang altes Schulhaus Hauptstrasse,,,Der Defi befindet sich gleich rechts neben dem Eingang,defibrillator,,144,,,,node/7615866817,,,no,,,,,,24/7,Gemeinde Flims (Gauch Dario),,,,,,,,
7623455069,node,46.3263276,10.0541805,yes,,,,,,,,,,"An der Gebäudeecke, Seite Bahngleise",,,,defibrillator,,144,,,,node/7623455069,,,no,,,0,,,24/7,Rhätische Bahn AG,,,+41812886443,,,,,
7645864233,node,46.759361,9.4436833,yes,,,,,,,,,,Bei der Gemeindeverwaltung/Dorfladen,,,,defibrillator,,144,,,,node/7645864233,,,no,,,,,,24/7,Gemeinde Domleschg,,,+41 81 650 13 13,,,,,
7658083158,node,46.8121176,9.8434067,,,,,,,,,,,in jedem Bus im Depot oder auf der Route,,,,defibrillator,,144,,,,node/7658083158,,,,,,,,,,,,,,,,,,
7658083159,node,46.8684271,9.8829237,yes,,,,,,,,,,Seite Landstrasse / Aussen Haupteingang,,,löst keinen Alarm 144 aus,defibrillator,,144,,,,node/7658083159,,,,,,0,,,24/7,,,,,,,,,
7660813512,node,46.7994113,9.397594,yes,,,,,,,,,,Beim Gemeindehaus,,,,defibrillator,,144,,,,node/7660813512,,,,,,,,,24/7,Samariterverein Bonaduz/Rhäzüns,,,,,,,,
7660813513,node,46.8109409,9.4001073,yes,,,,,,,,,,Beim Gemeindehaus,,,,defibrillator,,144,,,,node/7660813513,,,,,,,,,24/7,Samariterverein Bonaduz/Rhäzüns,,,,,,,,
7660917214,node,46.6728561,9.6874215,yes,,,,,,,,,,Gemeindehaus,,,mit Einsatztasche,defibrillator,,144,,,,node/7660917214,,,,,,,,,24/7,Gemeinde Albula-Alvra,,,,,,,,
7660917215,node,46.6609817,9.5797461,yes,,,,,,,,,,ALK Zentrale,,,mit Einsatztasche,defibrillator,,144,,,,node/7660917215,,,,,,,,,24/7,Gemeinde Albula-Alvra,,,,,,,,
7660917216,node,46.6657838,9.6138149,yes,,,,,,,,,,Feuerwehrlokal,,,mit Einsatztasche,defibrillator,,144,,,,node/7660917216,,,,,,,,,24/7,Gemeinde Albula-Alvra,,,,,,,,
7660917217,node,46.6629946,9.5417024,yes,,,,,,,,,,Telefonkabine beim Laden,,,mit Einsatztasche,defibrillator,,144,,,,node/7660917217,,,,,,,,,24/7,Gemeinde Albula-Alvra,,,,,,,,
7660917218,node,46.6505298,9.5635208,yes,,,,,,,,,,Beim Backhaus,,,mit Einsatztasche,defibrillator,,144,,,,node/7660917218,,,,,,,,,24/7,Gemeinde Albula-Alvra,,,,,,,,
7660917219,node,46.6685862,9.5960091,yes,,,,,,,,,,ehem. Gemeindehaus,,,mit Einsatztasche,defibrillator,,144,,,,node/7660917219,,,,,,,,,24/7,Gemeinde Albula-Alvra,,,,,,,,
7660917220,node,46.6746901,9.5498309,yes,,,,,,,,,,Feuerwehrlokal,,,mit Einsatztasche,defibrillator,,144,,,,node/7660917220,,,,,,0,,,24/7,Gemeinde Albula-Alvra,,,,,,,,
7660917221,node,46.6686865,9.6497914,yes,,,,,,,,,,Eingang Bad Alvaneu,,,mit Einsatztasche,defibrillator,,144,,,,node/7660917221,,,,,,,,,24/7,Gemeinde Albula-Alvra,,,,,,,,
7660917222,node,46.6787673,9.6467364,yes,,,,,,,,,,Praxis Dr. Harald Jung,,,mit Einsatztasche,defibrillator,,144,,,,node/7660917222,,,,,,,,,24/7,Gemeinde Albula-Alvra,,,,,,,,
7701970744,node,46.7911547,9.2562276,,,,,,,,2026-01-02,,,an Gebäudewand,,,,defibrillator,,144,,,,node/7701970744,,,no,,,,,,24/7,,,,,,,,,
7717374425,node,46.7277836,8.9381563,,,,,,,,,,,an der Strasse,,,,defibrillator,,144,,,,node/7717374425,,,,,,,,,24/7,,,,,,,,,
7717374426,node,46.7340529,8.9588214,,,,,,,,,,,am Gebäude,,,,defibrillator,,144,,,,node/7717374426,,,,,,,,,24/7,,,,,,,,,
7717374427,node,46.7431039,8.9889496,,,,,,,,,,,am Gebäude,,,,defibrillator,,144,,,,node/7717374427,,,no,,,,,,24/7,,,,,,,,,
7720904251,node,46.9500114,10.3705788,no,,,,,,,,,,Beim Rettungsdienst,,,,defibrillator,,144,,,,node/7720904251,,,,,,,,,,,,,,,,,,
7720904252,node,46.9594328,10.4031596,yes,,,,,,,,,,Im Eingang des Seniorencenters Chalamandrin - Türe ist immer offen,,,Öffentlich zugänglich,defibrillator,,144,,,,node/7720904252,,,,,,,,,24/7,Gemeinde Samnaun,,,,,,,,
7720904253,node,46.8841468,10.463588,yes,,,,,,,,,,In der öffentlichen Toilette.,,,Öffentlich zugänglich,defibrillator,,144,,,,node/7720904253,https://openaedmap.org/api/v1/photos/view/JNpi2L0Z_yTvh528BCOopg.webp,CC0,,,,,,,24/7,,,,,,,,,
7720904254,node,46.8691812,10.4246903,yes,,,,,,,,,,Am Gebäude angebracht,,,Öffentlich zugänglich,defibrillator,,144,,,,node/7720904254,,,,,,,,,24/7,,,,,,,,,
7720904256,node,46.8174871,10.3403027,yes,,,,,,,,,,Bei Dr. Zürcher,,,Öffentlich zugänglich,defibrillator,,144,,,,node/7720904256,,,,,,,,,24/7,,,,,,,,,
7720904257,node,46.8159361,10.3367085,yes,,,,,,,,,,Direkt innerhalb neben Haupteingang.,,,Öffentlich zugänglich,defibrillator,,144,,,,node/7720904257,,,yes,,,,,,24/7,,,,,,,,,
7720904258,node,46.7962329,10.3030568,yes,,,,,,,,,,Hallenbad Quadras,,,während Öffnungszeiten verfügbar,defibrillator,,144,,,,node/7720904258,,,,,,,,,,,,,,,,,,
7720904259,node,46.7991873,10.3015387,yes,,,,,,,,,,Im Altersheim,,,Öffentlich zugänglich,defibrillator,,144,,,,node/7720904259,,,,,,,,,24/7,,,,,,,,,
7720904260,node,46.7975715,10.3015307,yes,,,,,,,,,,Bogn Engiadina,,,während Öffnungszeiten verfügbar,defibrillator,,144,,,,node/7720904260,,,,,,,,,,,,,,,,,,
7720904261,node,46.7972547,10.2991636,yes,,,,,,,,,,Am Gebäude angebracht,,,Öffentlich zugänglich,defibrillator,,144,,,,node/7720904261,,,,,,,,,24/7,,,,,,,,,
7720904262,node,46.7965744,10.2951014,yes,,,,,,,,,,Sportanlage Trü,,,während Öffnungszeiten verfügbar,defibrillator,,144,,,,node/7720904262,,,yes,,,,,,,,,,,,,,,
7720904263,node,46.7913042,10.2967644,yes,,,,,,,,,,Am Gebäude angebracht,,,Eishalle Gurlaina,defibrillator,,144,,,,node/7720904263,,,,,,,,,24/7,,,,,,,,,
7720904264,node,46.7905917,10.2982154,yes,,,,,,,,,,Am Gebäude angebracht,,,TCS Camping im Sanitärgebäude,defibrillator,,144,,,,node/7720904264,,,,,,,,,24/7,,,,,,,,,
7720904265,node,46.7939712,10.2869655,yes,,,,,,,,,,"Bahnhof Scuol, ende Gleis 1 an der Säule",,,Öffentlich zugänglich,defibrillator,,144,,,,node/7720904265,,,no,,,,,,24/7,,,,,,,,,
7720904266,node,46.7867363,10.2843333,yes,,,,,,,,,,Haus Fustain / Bushaltestelle an der Innenseite des Hauseingangs (überdacht).,,,Öffentlich zugänglich,defibrillator,,144,,,,node/7720904266,,,,,,0,,,24/7,,,,,,,,,yes
7720904267,node,46.777654,10.2604613,yes,,,,,,,,,,"Outside of the public restroom, to the right, at the school building / Schulhaus Fontana",,,Öffentlich zugänglich,defibrillator,,144,,,,node/7720904267,,,no,,,,,,24/7,aed.ch,,,,,,,,
7720904268,node,46.7930534,10.2468799,yes,,,,,,,,,,Beim Verkehrsverein,,,Öffentlich zugänglich,defibrillator,,144,,,,node/7720904268,,,,,,,,,24/7,,,,,,,,,
7720904269,node,46.775474,10.2020811,yes,,,,,,,,,,Beim Feuerwehrraum der Kirche in der Ecke,,,Öffentlich zugänglich,defibrillator,,144,,,,node/7720904269,,,no,,,,,,24/7,,,,,,,,,
7720904270,node,46.7756541,10.1513246,yes,,,,,,,,,,Beim Schulhaus,,,Öffentlich zugänglich,defibrillator,,144,,,,node/7720904270,,,,,,,,,24/7,,,,,,,,,
7720904271,node,46.763624,10.0966823,yes,,,,,,,,,,"Autoverlad Ende Galerie, bei der Waage",,,,defibrillator,,144,,,,node/7720904271,,,no,,,,,,24/7,Rhätische Bahn AG,,,+41 81 288 65 65,,,,,
7720904272,node,46.7493088,10.0791863,yes,,,,,,,,,,Clinica Holistica,,,Öffentlich zugänglich,defibrillator,,144,,,,node/7720904272,https://openaedmap.org/api/v1/photos/view/lDl16_35MqsDjgz1g-NlkQ.webp,CC0,,,,,,,24/7,,,,,,,,,
7720904274,node,46.6990653,10.0951846,yes,,,,,,,,,,Eingang Familienbad,,,Öffentlich zugänglich,defibrillator,,144,,,,node/7720904274,,,no,,,,,,24/7,,,,,,,,,
7720904275,node,46.6983859,10.0963689,yes,,,,,,,,,,Garage Ambulanz,,,Öffentlich zugänglich,defibrillator,,144,,,,node/7720904275,,,yes,,,,,,24/7,,,,,,,,,
7720904276,node,46.6982739,10.0923626,yes,,,,,,,,,,Am Gebäude angebracht,,,Öffentlich zugänglich,defibrillator,,144,,,,node/7720904276,,,,,,,,,24/7,,,,,,,,,
7720904277,node,46.6973763,10.0911054,yes,,,,,,,,,,Am Gebäude angebracht,,,Öffentlich zugänglich,defibrillator,,144,,,,node/7720904277,,,,,,,,,24/7,,,,,,,,,
7723753875,node,46.8218486,9.2951288,yes,,,,,,,,+41 76 422 63 76,,"An der Aussenwand zwischen der Kasse und dem Kiosk, auf dem Gelände des Seebades.",,,24/7 zugänglich,defibrillator,,144,,,,node/7723753875,,,no,,,,,,,Gemeinde Flims (Dario Gauch),,,,,,,,
7723753876,node,46.8320751,9.287138,yes,,,,,,,,+41 76 422 63 76,,In der Autoeinstellhalle Surmir Schulhaus,,,Öffentlich zugänglich,defibrillator,,144,,,,node/7723753876,,,,,,,,,24/7,Gemeinde Flims (Dario Gauch),,,,,,,,
7727157863,node,46.8667841,9.885101,,,,,,,,,,,"Aussen, Links neben dem Haupteingang",,,Öffentlicher Defi,defibrillator,,144,,,,node/7727157863,,,,,,,,,24/7,,,,,,,,,
7731697006,node,46.7844389,9.1139116,yes,,,,,,,,,,beim Volg gegenüber an der Wand,,,"am Ortseingang beschildert, Öffentlich zugänglich",defibrillator,,144,,,,node/7731697006,,,no,,,0,,,24/7,,,,,,,,,
7746283989,node,46.7766552,9.6735584,yes,,,,,,,,,,"Schulhaus Arosa
1. Untergeschoss, Seiteneingang",,,Während Öffnung Schulhaus verfügbar,defibrillator,,144,,,,node/7746283989,,,yes,,,-1,,,,Gemeinde,,,,,,,,
7746283990,node,46.7980819,9.7031835,yes,,,,,,,,,,Am Bahnhof Litzirüti,,,,defibrillator,,144,,,,node/7746283990,,,,,,,,,24/7,Gemeinde,,,,,,,,
7746283991,node,46.820677,9.712478,yes,,,,,,,,,,"Am Dorfladen
Rechte Hauswand, neben Briefkasten",,,,defibrillator,,144,,,,node/7746283991,,,no,,,,,,24/7,Gemeinde,,,,,,,,
7746283992,node,46.83341,9.6743679,yes,,,,,,,,,,Milchzentrale,,,,defibrillator,,144,,,,node/7746283992,,,,,,,,,24/7,Gemeinde,,,,,,,,
7746283993,node,46.826476,9.6544896,yes,,,,,,,,,,"Piazza Molinis
Beim Kehrichthäuschen",,,,defibrillator,,144,,,,node/7746283993,,,,,,,,,24/7,Gemeinde,,,,,,,,
7746283994,node,46.8339277,9.6456833,yes,,,,,,,,,,Beim Gemeindehaus,,,,defibrillator,,144,,,,node/7746283994,,,no,,,,,,24/7,Gemeinde,,,,,,,,
7746283995,node,46.8376928,9.6379297,yes,,,,,,,,,,Beim Papigerstübli in der Garage,,,,defibrillator,,144,,,,node/7746283995,,,,,,,,,24/7,Gemeinde,,,,,,,,
7746283996,node,46.8364899,9.5618901,yes,,,,,,,,,,Beim Schulhaus,,,,defibrillator,,144,,,,node/7746283996,,,yes,,,,,,24/7,,,,,,,,,
7746283997,node,46.842396,9.5971301,yes,,,,,,,,,,Beim Gemeindehaus,,,,defibrillator,,144,,,,node/7746283997,,,,,,,,,24/7,Gemeinde,,,,,,,,
7746283998,node,46.8328041,9.6115701,yes,,,,,,,,,,Beim Gemeindehaus,,,,defibrillator,,144,,,,node/7746283998,,,,,,,,,24/7,Gemeinde,,,,,,,,
7746284888,node,46.6113141,9.1767226,yes,,,,,,,,,,Strassenlaterne,,,,defibrillator,,144,,,,node/7746284888,,,no,,,,,,24/7,First Responder+ Vals,,,,,,,,
7851621653,node,46.6000975,9.9612691,yes,,,,,,,,,,"Beim Eingang, Seite Strasse",,,,defibrillator,,144,,,,node/7851621653,,,no,,,,,,24/7,Gemeinde Zuoz,,,,,,,,yes
7863551413,node,46.5521555,9.3196683,,,,,,,,,,,bei der Postauto Haltestelle,,,AEF Öffentlich 24h verfügbar,defibrillator,,144,,,,node/7863551413,,,no,,,,,,24/7,,,,,,,,,
7863553059,node,46.6727608,8.8582046,yes,,,,,,,,,,Beim Prima an der Ecke,,,AED Öffentlich 24h verfügbar,defibrillator,,144,,,,node/7863553059,,,no,,,0,,,24/7,Gemeinde,,,,,,,,limited
7865091251,node,46.8568695,9.5306115,yes,,,,,,,,,,Im Active Fitness 1. Stock,,,während Öffnungszeiten verfügbar,defibrillator,,144,,,,node/7865091251,,,,,,,,,,,,,,,,,,
7889304004,node,46.6386474,9.4153284,yes,,,,,,,2024-05-25,,,Beim Parkplatz links im öffentlichen WC,,,,defibrillator,,144,,,,node/7889304004,,,yes,,,,,,24/7,First Responder Schams,,,,,,,,
7913379355,node,46.609286,9.1655734,yes,,,,,,,,,,Am Ortseingang Leis an der Strassenlaterne,,,,defibrillator,,144,,,,node/7913379355,,,no,,,,,,24/7,First Responder+ Vals,,,,,,,,
7959750515,node,46.6242109,9.183325,yes,,,,,,,,,,Vis-a-vis Valser Mineralquellen an einer Strassenlaterne,,,,defibrillator,,144,,,,node/7959750515,,,no,,,,,,24/7,First Responder+ Vals,,,,,,,street_lamp,
7959750516,node,46.6167629,9.1787064,yes,,,,,,,,,,Links vom Eingang zum Schulhaus an der Wand,,,,defibrillator,,144,,,,node/7959750516,,,no,,,,,,24/7,First Responder+ Vals,,,,,,,,
7959750517,node,46.6060422,9.1514608,private,,,,,,,,,,Bergstation Gondelbahn,,,während Betriebszeiten,defibrillator,,144,,,,node/7959750517,,,yes,,,,,,,Sportbahnen Vals 3000,,,,,,,,
7961102955,node,46.6986029,8.8364725,permissive,,,,,,,,,,Inside of Reka reception on your left.,,,,defibrillator,,144,,,,node/7961102955,,,yes,,,,,,,,,,,,,,,
8071008012,node,46.7787389,9.2227171,yes,,,,,,,,,,beim Nebeneingang der Landi an der Wand,,,,defibrillator,,144,,,,node/8071008012,,,no,,,,,,24/7,,,,,,,,,
8422188687,node,46.8537829,9.5294279,yes,,,,,,,,,,"In der Unterführung, neben Treppe zu Gleis 7 A-B",,,,defibrillator,,144,,,,node/8422188687,,,yes,,,-1,,,24/7,Rettung + Sanität realü,,,+41 81 284 85 87,,,,,yes
8422259555,node,46.8569267,9.5097985,yes,,,,,,,,,,Beim Hauseingang Firma Willi Haustechnik,,,,defibrillator,,144,,,,node/8422259555,,,no,,,,,,24/7,"Rettung + Sanität realü, Rade David-Ulrich",,,+41 81 284 85 85,,,,,
8428420582,node,46.9589037,9.5546696,yes,,,,,,,,,,Beim Haupteingang,,,,defibrillator,,144,,,,node/8428420582,,,no,,,,,,24/7,"Rettung + Sanität realü, David-Ulrich Rade",,,+41 81 284 85 85,,,,,
8432327566,node,46.9698509,9.6844219,yes,,,,,,,,,,,,,,defibrillator,,144,,,,node/8432327566,,,yes,,,0,,,,,,,,,,,,
8442383749,node,46.856506,9.5131953,,,,,,,,,,,Beim Haupteingang die Treppe auf der Rechten Seite benutzen. Im ersten OG links nach hinten laufen bis zu der grossen Standuhr. Links neben der Uhr befindet sich der AED Oder Auskunft am Empfang,,,,defibrillator,,144,,,,node/8442383749,,,yes,,,,,,"Mo-Th 07:30-12:00,13:30-17:00; Fr 07:30-12:00,13:30-16:30",IBC Energie Wasser Chur,,,+41 81 254 48 16,,,,,
8442763417,node,46.3246714,10.0544057,yes,,,,,,,,,,Beim AG Gleis 1,,,,defibrillator,,144,,,,node/8442763417,,,no,,,0,,,24/7,Rhätische Bahn AG,,,+41 81 288 65 65,,,,,yes
8445539417,node,46.8703761,9.5341286,no,,,,,,,,,,Kirche Masans,,,"Nur während Öffnungszeiten der Kirche zugänglich. 

Zum Eingang in den Vorraum der Kirche rein dann geradeaus,zwei Treppen hinunter. Auf der linken Seite an der Wand ist der Defi montiert.",defibrillator,,144,,,,node/8445539417,,,yes,,,,,,,Kirchgemeinde,,,,,,,,
8448563317,node,46.911099,9.8060199,yes,,,,,,,,,,Bushaltestelle Wartehaus,,,,defibrillator,,144,,,,node/8448563317,,,yes,,,,,,24/7,Klosters,,,,,,,,
8462309322,node,46.6310521,9.7466084,yes,,,,,,,,,,Neben dem Eingang zum Bahnmuseum,,,,defibrillator,,144,,,,node/8462309322,,,no,,,,,,24/7,Rhätische Bahn AG,,,+41 81 288 65 65,,,,,
8464677117,node,47.0246076,9.5139034,yes,,,,,,,,,,Beim Feuerwehrdepot links neben dem Tor,,,,defibrillator,,144,,,,node/8464677117,,,no,,,,,,24/7,,,,,,,,,
8465295317,node,46.9318657,9.7687561,yes,,,,,,,,,,Eingangsbereich Badi,,,24h/7 Tage verfügbar (nur Sommer),defibrillator,,144,,,,node/8465295317,,,yes,,,,,,,Gemeinde Luzein,,,,,,,,
8467259786,node,46.9288283,9.7716469,yes,,,,,,,,,,Öffentliche Toilette,,,24h/7 Tage verfügbar,defibrillator,,144,,,,node/8467259786,,,yes,,,,,,24/7,Gemeinde Luzein,,,+41 81 300 32 20,,,,,
8490933125,node,46.5356737,9.8707116,,,,,,,,,,,Schulhaus Samedan,,,,defibrillator,,144,,,,node/8490933125,,,no,,,0,,,24/7,,,,,,,,,
8493761010,node,46.6271242,10.3364874,,,,,,,,,,,"An der Gebäudewand, neben Eingang Tourismusbüro",,,,defibrillator,,144,,,,node/8493761010,,,no,,,0,,,24/7,,,,,,,,,
8499472683,node,46.7170412,9.459628,yes,,,,,,,,,,bei der Haltestelle Gemeindehaus,,,,defibrillator,,144,,,,node/8499472683,,,no,,,,,,24/7,"Gemeinde Scharans, Felix Tschaler",,,+41 81 651 20 20,,,,,
8504955350,node,46.8173013,9.6064292,yes,,,,,,,,,,Auf der Terasse,,,,defibrillator,,144,,,,node/8504955350,,,no,,,,,,24/7,,,,,,,,,
8513606258,node,46.4039301,9.6961925,yes,,,,,,,,,,Eingang Mehrzweckhalle,,,,defibrillator,,144,,,,node/8513606258,,,no,,,,,,24/7,"Samariterverein Bergell, Gemeinde Bregaglia / Ursula Giovannini",,,+41 81 824 33 43,,,,,
8521054266,node,46.7002562,8.8418782,yes,,,,,,,,,,Bei der Reception des Resort,,,,defibrillator,,144,,,,node/8521054266,,,no,,,,,,24/7,Catrina Resort,,,+41 81 920 30 20,,,,,
8541032964,node,46.626399,9.4074774,yes,,,,,,,2024-05-25,,,Beim Hotel-/Restauranteingang links im öffentlichen WC,,,,defibrillator,,144,,,,node/8541032964,,,yes,,,,,,24/7,First Responder Schams,,,,,,,,
8541080318,node,46.6037505,9.4265122,yes,,,,,,,,,,In der Nische des Hauseingangs im grünen Aussenkasten,,,,defibrillator,,144,,,,node/8541080318,,,no,,,,,,24/7,First Responder Schams,,,,,,,,
8545176318,node,46.7872626,9.5374069,yes,,,,,,,,,,Grischuna Fleischtrocknerei Churwalden,,,immer verfügbar,defibrillator,,144,,,,node/8545176318,,,no,,,,,,24/7,,,,,,,,,
8549514990,node,46.7151668,9.4597945,yes,,,,,,,,,,An der Hauswand auf der linken Seite der Schiebetüre des Haupteinganges vom Haus A,,,,defibrillator,,144,,,,node/8549514990,,,no,,,,,,24/7,Firma Aivia / in der Stiftung Ruzica Micic,,,+41 79 437 45 54,,,,,
8556324696,node,46.8545932,9.5295104,yes,,,,,,,,,,Bildungszentrum Gesundheit und Soziales / Treppenhaus EG Seite 42,,,,defibrillator,,144,,,,node/8556324696,,,yes,,,,,,Mo-Fr 06:30-17:30,BGS/Martin Schmid,,,+41 81 286 85 25,,,,,
8556389382,node,46.7864496,9.6630199,yes,,,,,,,,,,Neben dem WC,,,,defibrillator,,144,,,,node/8556389382,,,yes,,,0,,,24/7,Bergbahnen Arosa,,,,,,,,limited
8583365817,node,46.9666823,9.5559473,yes,,,,,,,,,,Coop,,,"In Coop, nach Haupteingang rechts, neben Lifttüren an der Wand",defibrillator,,144,,,,node/8583365817,,,yes,,,,,,Mo-Fr 07:30-20:00; Sa 07:30-18:00,,,,,,,,,
