osm_id,osm_type,lat,lon,access,access:conditional,access:delivery,access:note,activation,addr:city,addr:city:de,addr:city:fr,addr:country,addr:floor,addr:full,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:street,addr:street:de,addr:street:fr,amenity,bicycle,check_date,check_date:opening_hours,colour,contact:addr,contact:city,contact:country,contact:email,contact:emergency,contact:housenumber,contact:mobile,contact:phone,contact:postcode,contact:street,contact:website,covered,defibrillator:location,defibrillator:location:de,defibrillator:location:en,defibrillator:location:fr,des,description,description:en,destination,email,emergency,emergency:phone,entrance,fitness,fixme,floor,foot,healthcare,healthcare:speciality,horse,id,image,image_1,image_2,indoor,internet_access,latitude,layer,level,level:ref,loc_name,location,longitude,motor_vehicle,name,name:en,note,note:de,object:housenumber,object:street,office,opening_hours,opening_hours:covid19,opening_hours:note,opening_hours:url,operator,operator:email,operator:phone,operator:type,operator:wikidata,operator:wikipedia,outdoor,outdoor_seating,panoramax,phone,phone:CH,phone:mobile,postal_code,recycling:cans,recycling:clothes,recycling:coffee_capsules,recycling:glass,recycling:glass_bottles,recycling:paper,recycling:shoes,recycling:waste,recycling_type,ref,seasonal,social_facility,social_facility:for,source,start_date,support,survey:date,temporary,website,wheelchair,wikimedia_commons,wikipedia:de
2450774413,node,47.3625338,8.5299237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/2450774413,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470040383,node,47.5534401,7.6218255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in der Apotheke,,,,,,,,,defibrillator,144,,,,,,,,,node/2470040383,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487916019,node,46.2166449,6.0845151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/2487916019,,,,,,,,,,,,,,,,,,,,,Mo-Fr 08:30-20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510630585,node,47.5549775,8.8727601,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waschhaus an der Außenwand montiert,,,,,,,,,defibrillator,144,,,,,,,,,node/2510630585,,,,no,,,,,,,,,,,,,,,,,"""limited""",,,,Zuckerfabrik Frauenfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2633725638,node,46.1982109,6.1323997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dans la cafétéria, près de ""Loge"". / In the cafeteria, near ""Loge"".",,,,,,,,,defibrillator,144,,,,,,,,,node/2633725638,,,,yes,,,,,,,,,,,,,,,,,,,,,UniGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637872527,node,47.5571782,8.3636015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/2637872527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2659529614,node,47.2357503,8.0763717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valiant Bank,,,,,,,,,defibrillator,144,,,,,,,,,node/2659529614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2669120577,node,45.9227955,8.9170614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/2669120577,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720821992,node,45.9573729,8.9360302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/2720821992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734556342,node,47.6506803,9.1733493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/2734556342,,,,yes,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://defibrillator.ch,,,
2768372565,node,45.9308698,8.9007999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/2768372565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2797410150,node,47.6449015,9.1960311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/2797410150,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822051060,node,47.1815007,8.5795759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Im Pflegezentrum am Empfang,,,,,während Öffnungszeiten verfügbar,,,,defibrillator,144,,,,,,,,,node/2822051060,,,,yes,,,,,,,,,,,,,,,,,,,,,Pflegezentrum Sonnhalde nur bei Betriebszeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2978025989,node,47.5926408,8.678884,,,,,,Andelfingen,,,,,,,33,,8450,Landstrasse,,,,,,2023-11-07,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,exercise,,,,physiotherapist,,,node/2978025989,,,,no,,,,,,,,,,physio sport ag,,,,,,therapist,Mo-Fr 08:00-21:00; Sa 09:00-13:00,,,,,,,,,,,,,+41 52 317 14 22,,,,,,,,,,,,,,,,,,,,,,https://www.physiosport-ag.ch/,yes,,
3018863313,node,46.5136761,6.494963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/3018863313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3046388525,node,46.1536769,8.7815047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/3046388525,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3111033506,node,46.0033886,8.9518913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Accessible, on street.",,,,,,,,,defibrillator,144,,,,,,,,,node/3111033506,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3127452232,node,47.4162902,8.2673226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/3127452232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3191226871,node,47.417058,8.2757594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/3191226871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456075914,node,47.2197076,7.2031406,permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/3456075914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3491105652,node,46.9485068,7.444988,yes,,,,,,,,,,,,,,,,,,,,,,,"Marktgasse 44, 3011 Bern",,,,,,,,,,,,"AED in Kasten an der Wand im Gebäudeinnern. Im 1. Stock, links neben Eingang Denner. Zugang via Rolltreppe Marktgasse. Bitte Öffnungszeiten beachten.",,,,,,,,,defibrillator,144,,,,,,,,,node/3491105652,,,,yes,,,,1,,,,,,,,,,,,,Mo 09:00-19:00; Tu-We 08:00-19:00; Th 08:00-21:00; Fr 08:00-20:00; Sa 07:30-17:00; Su off; PH off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,
3500592661,node,47.4888604,8.2129524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/3500592661,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3523273973,node,46.9476979,7.4428982,permissive,,,,,Bern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beim Verkaufspersonal melden. - AED im Erdgeschoss im Sanitätszimmer. Zugang via Spitalgasse oder Schauplatzgasse. Bitte Öffnungszeiten beachten.,,,,,,,,,defibrillator,144,,,,0,,,,,node/3523273973,,,,yes,,,,,,,,,,,,,,,,,Mo-We 09:00-19:00; Th 09:00-21:00; Fr 09:00-19:00; Sa 08:00-17:00; Su off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3523477493,node,46.9474294,7.4409892,permissive,,,,,,,,,0,,,,,,,,,,,,,,"Loeb, Spitalgasse 47-51, 3011 Bern",,,,144,,,+41 31 3207111,,,,,Beim Verkaufspersonal melden. - AED im Erdgeschoss im Sanitätszimmer. Zugang via Spitalgasse oder Schauplatzgasse. Bitte Öffnungszeiten beachten.,,,,,,,,,defibrillator,144,,,,,,,,,node/3523477493,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/LoebEgge_7793.jpg/800px-LoebEgge_7793.jpg,,yes,,,,,,,,,,,,,,,,,Mo-We 09:00-19:00; Th 09:00-21:00; Fr 09:00-19:00; Sa 08:00-17:00; Su off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,"Category:Bahnhofplatz, Bern",
3526784881,node,46.9476959,7.4393732,permissive,,,,,,,,,,"Bahnhofplatz 2, 3011 Bern",,,,,,,,,,,,,,,,,144,,,+41 31 3288700,,,,,"AED im Erdgeschoss, rechts neben Eingang an der Wand im Empfangsraum. Zugang via Haupteingang Bubenbergplatz. Bitte Öffnungszeiten beachten.",,,,,,,,,defibrillator,144,,,,,,,,,node/3526784881,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Burgerspital_Bubenbergplatz_Bern.jpg/800px-Burgerspital_Bubenbergplatz_Bern.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/AED-Defilibrator_im_Burgerspital.jpg/800px-AED-Defilibrator_im_Burgerspital.jpg,yes,,,,,,,,,,,,,,,,,Mo-Su 07:30-19:30,,,,Burgerspital Bern,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,Category:Burgerspital (Bern),
3526820228,node,46.9481509,7.4513448,permissive,,,,,,,,,0,,,,,,,,,,,,,,"Kramgasse 16, 3011 Bern",,,,144,,,+41 58 8554450,,,,,Beim Bankpersonal melden. - AED im Erdgeschoss. Bitte Öffnungszeiten beachten.,,,,,,,,,defibrillator,144,,,,,,,,,node/3526820228,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/20150529_Kramgasse_16_DSC05258.JPG/800px-20150529_Kramgasse_16_DSC05258.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/20150529_Kramgasse_16_DSC05261.JPG/399px-20150529_Kramgasse_16_DSC05261.JPG,yes,,,,,,,,,,,,,,,,,"Mo-Fr 09:00-12:00, 13:30-17:00; Sa-Su off; PH off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,Category:Kramgasse 16 (Bern),
3527744065,node,46.9475313,7.4357127,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,+41 31 6354000,,,,,"AED im 2. Stockwerk, rechts neben Eingang an der Wand im Empfangsraum Passbüro. Zugang via Treppe oder Lift Eingang Laupenstrasse.",,,,,,,,,defibrillator,144,,,,,,,,,node/3527744065,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/20150607_Laupenstrasse_18a_DSC05282.JPG/399px-20150607_Laupenstrasse_18a_DSC05282.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/20150528_AWZ_Bern_AED_DSC05212.JPG/399px-20150528_AWZ_Bern_AED_DSC05212.JPG,yes,,,,,,,,,,,,,,,,,Mo-We 08:00-17:00; Th 10:00-19:00; Fr 08:00-16:00; Sa 08:30-13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Ausweiszentrum Bern,
3529198952,node,46.9521538,7.4160617,yes,,,,,Bern,,,CH,1,,ewb Besucherzentrum,100,,3008,Murtenstrasse,,,,,,,,,,,,144,,,+41 31 3219690,,,,,"AED im Obergeschoss, im linken Korridor hinter dem Empfang des Besucherzentrums. Zugang via Lift oder Treppe und Überführung. Bitte Öffnungszeiten beachten.",,,,,,,,,defibrillator,144,,,,,,,,,node/3529198952,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/20150519_ewb_Zugang_KVA_DSC05196.JPG/800px-20150519_ewb_Zugang_KVA_DSC05196.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/20150519_ewb_AED_DSC05196.JPG/800px-20150519_ewb_AED_DSC05196.JPG,yes,,,,,,,,,,,,,,,,,"Mo-Fr 10:00-12:00, 13:00-17:00; Sa-Su off; PH off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,Category:Energie Wasser Bern - ewb,
3531515557,node,46.9470403,7.4360494,permissive,,,,,,,,,0,,,,,,,,,,,,,,"Laupenstrasse 11, 3008 Bern",,,,144,,,+41 31 3873333,,,,,Beim Empfangspersonal melden. - AED im Erdgeschoss im Sanitätszimmer neben dem Empfangsraum. Bitte Öffnungszeiten beachten.,,,,,,,,,defibrillator,144,,,,,,,,,node/3531515557,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Suvahaus.jpg/799px-Suvahaus.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/20150607_SUVA_Haus_Eingang_DSC05279.JPG/800px-20150607_SUVA_Haus_Eingang_DSC05279.JPG,yes,,,,,,,,,,,,,,,,,Mo-Fr 08:00-17:00; Sa-Su off; PH off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey,,,,,,,,
3548635175,node,46.9466358,7.4438875,permissive,,,,,,,,,1,,,,,,,,,,,,,,,,,,144,,,+41 31 322 23 23,,,,,Beim Sicherheitspersonal melden,,,,,,,,,defibrillator,144,,,,,,,,,node/3548635175,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3561848903,node,47.4131981,8.5408312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,at pillar in front of the pharmacy,,,,,,,,,defibrillator,144,,,,,,,,,node/3561848903,,,,yes,,,,,,,,,,,,,,,,,Mo-Fr 08:00-21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3571955217,node,46.1700179,8.7786214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,booth,cabina telefonica,,,,,,,,,defibrillator,144,,,,,,,,,node/3571955217,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3615202622,node,47.3934371,8.5092532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SIX Group AG, ask at reception",,,,,,,,,defibrillator,144,,,,,,,,,node/3615202622,,,,yes,,,,,,,,,,,,,,,,,Mo-Fr 08:00-17:00,,,,SIX Group AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3657993862,node,45.950207,8.9645033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/3657993862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3664433041,node,46.3163563,8.4928902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/3664433041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750895072,node,46.2297282,6.0546231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To your left as you enter behind the counter,,,,,,,,,defibrillator,144,,,,,,,,,node/3750895072,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdsweb.cern.ch/journal/CERNBulletin/2010/12/News%20Articles/1248912?ln=en,,,,,,,,
3750895073,node,46.2299465,6.0540739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To the left at the hostel reception,,,,,,,,,defibrillator,144,,,,,,,,,node/3750895073,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdsweb.cern.ch/journal/CERNBulletin/2010/12/News%20Articles/1248912?ln=en,,,,,,,,
3750895074,node,46.2314105,6.0542562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Across from the bank, at the right-hand pillar as you go up the stairs to the amphitheatre",,,,,,,,,defibrillator,144,,,,,,,,,node/3750895074,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750895075,node,46.2318558,6.0447571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To your left as you go up to INTERFON,,,,,,,,,defibrillator,144,,,,,,,,,node/3750895075,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdsweb.cern.ch/journal/CERNBulletin/2010/12/News%20Articles/1248912?ln=en,,,,,,,,
3750895076,node,46.232971,6.0556575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"to the left of the CERN shop, at the Microcosm entrance",,,,,,,,,defibrillator,144,,,,,,,,,node/3750895076,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdsweb.cern.ch/journal/CERNBulletin/2010/12/News%20Articles/1248912?ln=en,,,,,,,,
3750895077,node,46.2339397,6.055592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"upper level, next to the pharmacy and telephone",,,,,,,,,defibrillator,144,,,Is this still here now that the globe is closed / under construction?,,,,,,node/3750895077,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdsweb.cern.ch/journal/CERNBulletin/2010/12/News%20Articles/1248912?ln=en,,,,,,,,
3761795566,node,47.2342203,7.6589755,permissive,,,,,Wangen an der Aare,,,CH,,,,12,,3380,Bahnhofallee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/3761795566,,,,,,,,,,,,,,,,,,,,,,,,,Schweizer Armee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3783215141,node,46.2353405,6.0551768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3125 / U0-202,,,,,,,,,defibrillator,144,,,,,,,,,node/3783215141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maps.cern.ch,,,,,,,,
3871020219,node,45.9210669,8.9865755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/3871020219,File:Piazza Giuseppe Motta 2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3874234257,node,45.8323639,9.0340719,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/3874234257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3932555558,node,45.9725659,8.8796721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/3932555558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4011377616,node,46.3404511,7.633475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Im Eingangsbereich links an der Wand.,,,,,,,,,defibrillator,144,,,,,,,,,node/4011377616,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4011377622,node,46.3796532,7.6267375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/4011377622,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4029060493,node,47.4144387,8.527531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leftlhand side behind the sliding door,,,,,,,,,defibrillator,144,,,,,,,,,node/4029060493,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4127474779,node,47.2346743,7.679073,permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/4127474779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4127485066,node,47.2369352,7.6777171,permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/4127485066,,,,yes,,,,,,,,,,,,,,,,,,,,,Schweizer Armee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4127560716,node,47.2390954,7.6713268,permissive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,,,,node/4127560716,,,,,,,,,,,,,,,,,,,,,,,,,Schweizer Armee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4131376197,node,45.845333,9.0242214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interno palestra scuola media,,,,,,,,,defibrillator,144,,,,,,,,,node/4131376197,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4131376201,node,45.8452143,9.0160224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicino scale mobili lato discesa al 1° piano,,,,,,,,,defibrillator,144,,,,,,,,,node/4131376201,,,,yes,,,,,,,,,,,,,,,,,Mo-We 09:00-19:00; Th 09:00-21:00; Fr 09:00-19:00; Sa 09:00-18:00,,,,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
