osm_id,osm_type,lat,lon,access,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,check_date,defibrillator:location,defibrillator:location:fr,description,email,emergency,emergency:phone,id,indoor,level,name,opening_hours,operator,phone,phone:CH,ref,social_facility,social_facility:for,source,website,wheelchair
9894045817,node,46.9036325,6.4800993,,,,,,,,Contre le mur exterieur de la salle de gym.,,Defivrilateur philips complet avec connexion a une centrale.,,defibrillator,144,node/9894045817,no,,,24/7,,,,,,,,,
9897558917,node,46.9438883,6.8439084,yes,,,,,,,Cort‘Agora,,dehors à côté de l‘entrée,,defibrillator,144,node/9897558917,no,,,24/7,Commune Cortaillod,+41328865103,,,,,,,
9917843261,node,46.9207371,6.8067759,yes,,,,,,,Verkaufsfläche LIDL,,während Öffnungszeiten verfügbar,,defibrillator,144,node/9917843261,yes,,,,LIDL Schweiz,+41716278074,,,,,,,
9917843297,node,47.1014398,6.8264796,yes,,,,,,,Verkaufsfläche LIDL,,während Öffnungszeiten verfügbar,,defibrillator,144,node/9917843297,yes,,,,LIDL Schweiz,+41716278074,,,,,,,
9917843298,node,46.9928132,6.9255609,yes,,,,,,,Verkaufsfläche LIDL,,während Öffnungszeiten verfügbar,,defibrillator,144,node/9917843298,yes,,,,LIDL Schweiz,+41716278074,,,,,,,
9928847715,node,47.0094422,6.9752419,,,,,,,,,,,,defibrillator,144,node/9928847715,,,,,,,,,,,,,
9947494717,node,46.9396904,6.852042,yes,,,,,,,"Restaurant ""Le Pilotis""",,"Sur le mur Nord du restaurant ""Le Pilotis """,,defibrillator,144,node/9947494717,no,,,24/7,Commune Cortaillod,,,,,,,,
9947516718,node,46.9424276,6.8460563,yes,,,,,,,Collège Cortaillod,,Sur le mur en face du magasin de seconde main ,,defibrillator,144,node/9947516718,no,,,24/7,Commune de Cortaillod,,,,,,,,
9961048495,node,46.897088,6.744161,,,,,,,,,,,,defibrillator,144,node/9961048495,no,,,,,,,,,,,,
10564484510,node,46.9583911,6.8325412,,,,,,,,A l'interieur vers l'entrée,,Aux heures d'ouverture de l'entreprise,,defibrillator,144,node/10564484510,yes,,,Lun-Ve: 08:00-17:30,Entreprise,+41 32 729 11 30,,,,,"local_knowledge, defikarte.ch",,
10601136845,node,46.992315,6.9267516,yes,,,,,,,Dans la cour du château,,Pendant les heures d'ouverture,,defibrillator,144,node/10601136845,no,,,,,,,,,,,,
10672346905,node,46.9882511,6.905501,private,,,,,,,Home médicalisé Les Charmettes,,,,defibrillator,144,node/10672346905,yes,2,,,Altersheim,,,,,,,,
10763310295,node,46.98862,6.9066,no,,,,,,,2.OG links im Nebenraum,,Koffer orange,,defibrillator,144,node/10763310295,yes,,Aon Schweiz AG,,Lifetec AG Schweiz,+41 800 122 144,,,,,,,
10763310296,node,47.05684,6.89274,,,,,,,,Treppenhaus rechte Seite im Gebäude bei Männertoiletten,,Koffer Gelb,,defibrillator,144,node/10763310296,yes,,ETA SA Manufacture Horlogère Suisse,"Mo-Fr 07:00-12:00,13:00-17:00",Lifetec AG Schweiz,+41 800 122 144,,,,,,,
10763310297,node,47.11105,6.84177,no,,,,,,,Treppenhaus Personaleingang 0040LTM,,gelber Koffer,,defibrillator,144,node/10763310297,yes,,CONCEPTO WATCH FACTORY,,Lifetec AG Schweiz,+41 800 122 144,,0040LTM,,,,,
10763310298,node,47.082,6.80189,yes,,,,,,,"Gebäude 4b, Treppenhaus 1. Stock",,gelber Koffer,,defibrillator,144,node/10763310298,yes,,Les industriels des Sentiers SA,,Lifetec AG Schweiz,+41 800 122 144,,,,,,,
10763310299,node,47.08226,6.80159,yes,,,,,,,"Gebäude 4a, Treppenhaus 1. Stock",,gelber Koffer,,defibrillator,144,node/10763310299,yes,,Les industriels des Sentiers SA,,Lifetec AG Schweiz,+41 800 122 144,,,,,,,
10763310300,node,47.09585,6.84448,no,,,,,,,Haupteingang Gebäude,,gelber Koffer,,defibrillator,144,node/10763310300,yes,,La casa degli orologiai SA,,Lifetec AG Schweiz,+41 800 122 144,,,,,,,
10763310301,node,47.09713,6.82653,,,,,,,,Im Pausenraum;Eingangsbereich Produktion,,in weissem Kasten,,defibrillator,144,node/10763310301,yes,,Someco SA,Mo-Fr 07:30-16:00,Lifetec AG Schweiz,+41 800 122 144,,,,,,,
10763310302,node,47.09547,6.8441,no,,,,,,,"RSM SA Route de l'Orée du Bois 3 Hauptgebäude EG, in der Produktion hinten 0090LTM",,gelber Koffer,,defibrillator,144,node/10763310302,yes,,RSM SA,,Lifetec AG Schweiz,+41 800 122 144,,,,,,,
10763310303,node,47.09568,6.84417,no,,,,,,,"RSM SA Route de l'Orée du Bois 5 In der Produktion links hinten, nähe WC. 0091LTM",,gelber Koffer,,defibrillator,144,node/10763310303,yes,,RSM SA,,Lifetec AG Schweiz,+41 800 122 144,,,,,,,
10763310304,node,47.05748,6.7386,,,,,,,,"Eingang, oberes Stockwerk",,gelber Koffer,,defibrillator,144,node/10763310304,yes,,Manufacture Claret S.A.,Mo-Fr 08:00-17:00,Lifetec AG Schweiz,+41 800 122 144,,,,,,,
10763310305,node,47.087,6.81179,,,,,,,,"Bereich Haupteingang, hinter Glasstüre, Zutritt mit Badge",,gelber Koffer,,defibrillator,144,node/10763310305,yes,,IMA Automation Switzerland SA,Mo-Fr 06:30-18:00,Lifetec AG Schweiz,+41 800 122 144,,,,,,,
10763310306,node,47.03505,7.0181,,,,,,,,In LKW-Werkstatt,,oranger Koffer,,defibrillator,144,node/10763310306,yes,,"Volvo Group (Suisse) SA, Succursale Truck Center Cornaux","Mo-Fr 07:15-12:00, 13:15-18:00; Sa 07:15-12:00",Lifetec AG Schweiz,+41 800 122 144,,,,,,,
10797042341,node,47.1022813,6.8287628,,,,,,,,,,,,defibrillator,144,node/10797042341,no,,,,,,,,,,,,
10807050306,node,46.9489879,6.87075,yes,,,,,,,Restaurant,,Aussenwand,,defibrillator,144,node/10807050306,no,0,,24/7,,,,,,,,,
10833562706,node,46.9159528,6.513035,yes,,,,,,,Quartier du Milieu 62,,Hall d'entrée,,defibrillator,144,node/10833562706,yes,0,,24/7,Home des Bayards,+4132 866 13 16,,,,,,,
10980357905,node,47.0117948,7.010377,,,,,,,,MIGROS Betriebzentrale,,"Empfang, Réception",,defibrillator,144,node/10980357905,yes,,,7:30-17:00,Migros Neuchâtel-Fribourg,+41 58 57 48 144,,,,,"local_knowledge, defikarte.ch",,
10980361105,node,47.0120399,7.0085639,,,,,,,,Migros Supermarkt,,durant les heures d'ouverture du centre,,defibrillator,144,node/10980361105,yes,0,,08:00-19:00,Migros Neuchâtel-Fribourg,+41 58 57 38 144,,,,,"local_knowledge, defikarte.ch",,
10980373205,node,47.0999612,6.8273282,,,,,,,,Migros Métropole,,durant les heures d'ouverture du centre,,defibrillator,144,node/10980373205,yes,0,,08:00-19:00,Migros Neuchâtel-Fribourg,+41 58 57 31 144,,,,,"local_knowledge, defikarte.ch",,
11038060217,node,46.9933348,6.8466067,yes,,,,,,,Grand'Rue,,à l’entrée de l’accueil parascolaire,,defibrillator,144,node/11038060217,yes,6,,24/7,Commune de Val-de-Ruz - Accueil parascolaire de Montmollin,+41 32 740 19 84,,,,,"local_knowledge, defikarte.ch",,
11038060218,node,47.0173091,6.8528386,yes,,,,,,,Rue Charles-l'Eplattenier,,sur la façade du bâtiment communal à gauche de la porte d’entrée,,defibrillator,144,node/11038060218,yes,1,,24/7,Commune de Val-de-Ruz - Les Geneveys-sur-Coffrane,+41 32 886 56 31,,,,,"local_knowledge, defikarte.ch",,
11038060219,node,47.0492842,6.9340682,yes,,,,,,,Les Quarres,,disponible uniquement durant les heures d’ouverture,,defibrillator,144,node/11038060219,yes,1,,,Commune de Val-de-Ruz - STEP - Les Quarres,+41 32 852 07 46,,,,,"local_knowledge, defikarte.ch",,
11038060220,node,47.0448504,6.9162369,yes,,,,,,,Chemin de la Piscine ,,disponible uniquement durant les ouvertures saisonnières,,defibrillator,144,node/11038060220,yes,1,,,Commune de Val-de-Ruz - Piscine Engollon,+41 32 886 56 33,,,,,"local_knowledge, defikarte.ch",,
11038060221,node,47.0707978,6.9562501,yes,,,,,,,Grand'Rue,,à droite de l’entrée de la salle de sport,,defibrillator,144,node/11038060221,yes,5,,24/7,Commune de Val-de-Ruz - Dombresson,+41 32 886 56 31,,,,,"local_knowledge, defikarte.ch",,
11038060222,node,47.0629564,6.9040757,yes,,,,,,,Rue de Chasseral,,dans le hall d’entrée de la piscine,,defibrillator,144,node/11038060222,yes,3,,"Mo-Fr 08:00-12:00,13:30-16:30",Commune de Val-de-Ruz - CSVR,+41 32 886 57 20,,,,,"local_knowledge, defikarte.ch",,
11038063108,node,47.0645606,6.9273251,yes,,,,,,,,,"à l'extérieur, sur la façade nord, tout à droite du bâtiment",,defibrillator,144,node/11038063108,no,,,24/7,Commune de Val-de-Ruz - La Rebatte,+41 32 886 56 31,,,,,,,
11038063809,node,47.0329688,6.927765,yes,,,,,,,Côtière ,,en face du bancomat,,defibrillator,144,node/11038063809,yes,13,,24/7,Commune de Val-de-Ruz - Vilars,+41 32 886 56 31,,,,,"local_knowledge, defikarte.ch",,
11038063810,node,47.0988835,6.9874012,yes,,,,,,,Centre du village ,,sous le couvert de l’entrée du collège,,defibrillator,144,node/11038063810,yes,6,,24/7,Commune de Val-de-Ruz - Collège du Pâquier,+41 32 853 34 85,,,,,"local_knowledge, defikarte.ch",,
11162913653,node,46.9260443,6.8370556,,,,,,,,,,,,defibrillator,144,node/11162913653,,,,,,,,,,,,,
11381258069,node,47.005794,6.9565828,,,,,,,,"Avenue du Vignoble 3, 2000 Neuchâtel;rez à coté des ascenseurs",,Zoll AED 3,,defibrillator,144,node/11381258069,yes,0,,Mo-Fr 08:00-17:00,Arcinfo,+41792545176,,,,,,,
11500132369,node,46.9654937,6.8591237,yes,,,,,,,rue Haute 20 devant le bâtiment communal,,Contre le mûr extérieur côté rue Haute,,defibrillator,144,node/11500132369,no,,,24/7,commune de Milvignes,+4132 886 5830,,,,,"local_knowledge, defikarte.ch",,
11533431969,node,46.9006934,6.4582229,yes,,,,,,,Zoll Haus,,Eingang Zollamt,,defibrillator,144,node/11533431969,no,0,,24/7,BAZG/OFDF,,,,,,,,
11540342569,node,46.9836706,6.9058192,yes,,,,,,,"Service de la géomatique et du registre foncier, entrée principale à l'intérieur sur la droite. A côté de la réception du service de la géomatique et du registre foncier",,Disponible durant les heures d'ouverture,,defibrillator,144,node/11540342569,yes,0,,"Mo-Fr 08:00-12:00, 13:30-17:00",Service de la géomatique et du registre foncier,+41328894132,,,,,"local_knowledge, defikarte.ch",,
11542866969,node,46.9851856,6.9116342,yes,,,,,,,Fondation Les Perce-neige,,à l'extérieur,,defibrillator,144,node/11542866969,no,,,24/7,Fondation Les Perce-neige,,,,,,"local_knowledge, defikarte.ch",,
11598329469,node,46.9055374,6.5784188,,,,,,,,Patinoire Fleurier,,Dans le hall d'entrée de la patinoire,,defibrillator,144,node/11598329469,yes,,,06:00 - 23:00,Tous,+41792508799,,,,,"local_knowledge, defikarte.ch",,
11684223328,node,46.9860778,6.887492,,,,,,,,,,,,defibrillator,144,node/11684223328,,,,,,,,,,,,,
11771590869,node,46.9499157,6.8400765,yes,,,,,,,Salle de spectacle,,,,defibrillator,144,node/11771590869,no,,,24/7,,,,,,,,,
11939249269,node,46.9656804,6.8718839,,,,,,,,"Restaurant Paradis-Plage, Allée du Port 8, 2013 Colombier",,"Extérieur, façade du restaurant qui donne sur le chemin principal du camping",,defibrillator,144,node/11939249269,no,,,24/7,Association Colombier Vivacité,+41328412446,,,,,"local_knowledge, defikarte.ch",,
11991731069,node,46.9987652,6.9420363,,,,,,,,Haute école de gestion Arc,,"Accroché au mur, proche de l'entrée, devant l'accueil.",,defibrillator,144,node/11991731069,yes,,,,,,,,,,"local_knowledge, defikarte.ch",,
12059029032,node,46.9234521,6.8210417,,,,,,,,,,,,defibrillator,144,node/12059029032,,,,,,,,,,,,,
12095180101,node,47.0069511,6.9710978,yes,,,,,,,"Latenium, parc et musée d'archéologie, sous les escaliers de la terrasse",,"À l'extérieur, disponible 7/7, 24/24",,defibrillator,144,node/12095180101,no,0,,24/7,"Latenium, parc et musée d'archéologie",,,,,,,,no
12118286101,node,46.9899099,6.9288057,yes,,,,,,,Place Pury 4,,En façade EST à gauche de la zone bancomat,,defibrillator,144,node/12118286101,no,,,24/7,,,,,,,"local_knowledge, defikarte.ch",,
12202299758,node,47.0525788,7.0361047,yes,,,,,,2024-09-26,Dans le mur de la place du village,Dans le mur de la place du village,,,defibrillator,144,node/12202299758,no,,,,,,,,,,,,
12202320344,node,47.0506944,7.0340414,yes,,,,,,2024-09-26,Contre la cabane à container,,,,defibrillator,144,node/12202320344,no,,,,,,,,,,,,
12231928201,node,47.0819867,6.8039501,private,,,,,,,Allée du Laser 10,,While Offices are open,,defibrillator,144,node/12231928201,no,0,,Mo-Fr 07:30-16:30,Breitling Chronométrie,+41 32 925 95 25,,,,,"local_knowledge, defikarte.ch",,
12278647301,node,46.9267548,6.8121564,yes,,,,,,,"Rue du Château 17, 2022 Bevaix",,Le défibrillateur se trouve dans le sas d'entrée de notre bâtiment ,,defibrillator,144,node/12278647301,yes,,,Mo-Fr 08:00-18:00,Eli10 SA,+41 32 720 20 21,,,,,"local_knowledge, defikarte.ch",,
12300067533,node,46.9409522,6.8396089,yes,,,,,,,an Strassenrand neben Stromkasten,,,,defibrillator,144,node/12300067533,no,,,24/7,Formamed,,,,,,,,
12304415101,node,47.0539041,7.0627284,permissive,,,,,,,Centre scolaire des Deux Thielles,,Disponible pendant les heures d'ouverture et fermé pendant les vacances scolaires,,defibrillator,144,node/12304415101,yes,,,08:00-17:30,DefiMEd,+41327257663,,,,,"local_knowledge, defikarte.ch",,
12304553801,node,47.0563601,7.0725989,permissive,,,,,,,Route de la Piscine - 2525 Le Landeron,,Ouvert durant la saison d'été uniquement,,defibrillator,144,node/12304553801,yes,,,09:00-19:00,Formamed,+41 32 841 28 29,,,,,"local_knowledge, defikarte.ch",,
12304558301,node,47.0558594,7.066918,permissive,,,,,,,Centre Médicale d'entre-deux-Lacs - 2525 Le Landeron,,Disponible pendant les heures d'ouverture,,defibrillator,144,node/12304558301,yes,,,,,+4132 752 30 30,,,,,"local_knowledge, defikarte.ch",,
12309339601,node,47.1029844,6.829788,,,,,,,,Fitness Pure Gym,,Disponible pendant les heures d’ouverture,,defibrillator,144,node/12309339601,yes,,,24/7,,,,,,,,,
12613192571,node,47.083009,7.0649661,,,,,,,,,,,,defibrillator,144,node/12613192571,no,,,,,,,,,,,,
12673280556,node,47.107856,6.8343288,private,,,,,,,"Sur la droite, dans le local de pause",,,,defibrillator,144,node/12673280556,yes,0,,,,,,,,,,,
12676490148,node,47.1050852,6.83241,yes,,,,,,,"Contre le mur en extérieur, à droite de l'entrée",,,,defibrillator,144,node/12676490148,,,,,,,,,,,,,
12676490149,node,47.1006861,6.8257652,private,,,,,,,"Au 1er étage, dans le fitness",,,,defibrillator,144,node/12676490149,yes,1,,,,,,,,,,,
12806727737,node,47.0167263,6.6646793,,,,,,,,,,,,defibrillator,144,node/12806727737,yes,,,,,,,,,,,,
12888120283,node,46.9956605,6.9431224,yes,Neuchatel,25,2000,Pierre à Maze,,,Vor Tankstelle Shop,,Grüner Kasten,,defibrillator,144,node/12888120283,no,0,Automobiles Senn SA,Mo-Su 00:00-24:00,Lifetec AG,,0800 122 144,1570LTS,,,,,
12888217439,node,47.0196358,7.025855,yes,Thielle Wavre,6,2075,Champ de la Croix,,,Hinter Büro beim Tresor,,Oranger Koffer,,defibrillator,144,node/12888217439,yes,0,Automobiles Senn SA,Mo-Fr 07:30-12:00 13:00-18:30 Sa 08:00-13:00,Lifetec AG,,0800 122 144,1568LTM,,,,,
12888248806,node,47.0942758,6.8213032,yes,La Chaux de fonds,90,2300,Rue des Cretets,,,Reception Eingang rechts,,Oranger Koffer,,defibrillator,144,node/12888248806,yes,0,Automobiles Senn SA,Mo-Fr 07:30-12:00 13:30-18:00,Lifetec AG,,0800 122 144,1569LTM,,,,,
12899372930,node,46.9879367,6.8912386,,,,,,,,,,,,defibrillator,144,node/12899372930,no,,,,,,,,,,,,
12903250953,node,46.8919403,6.7735755,,,,,,,,,,,,defibrillator,144,node/12903250953,,,,,,,,,,,,,
12925461946,node,47.0112902,6.8510017,yes,,,,,,,Rue Charles-l'Eplattenier,,sur la façade du bâtiment communal à gauche de la porte d’entrée,,defibrillator,144,node/12925461946,yes,1,,24/7,Commune de Val-de-Ruz - Les Geneveys-sur-Coffrane,+41 32 886 56 31,,,,,"local_knowledge, defikarte.ch",,
13190298485,node,47.1081946,6.8318552,yes,La Chaux de Fonds,22,2300,Rue de Moulins,,,Eingang rechts an Metallsäule,,Oranger Koffer,,defibrillator,144,node/13190298485,yes,0,Fondation Foyer-Handicap,24/7,Lifetec AG,+41 800 122 144,,1605LTM,,,,,
13200395801,node,46.9927612,6.9299447,yes,,,,,,,Terreaux 9 - Bâtiment Naef Immobilier / Entrée par la Rue des Terreaux (côté EST - Musée histoire naturelle) via une grande porte en bois,,"Monter les 7 marches d'escaliers, en face de la porte. L'appareil est fixé sur le mur de gauche.",,defibrillator,144,node/13200395801,yes,1,,Mo-Fr 06:00-18:00,Naef Immobilier Neuchâtel SA,+41 32 737 27 27,,,,,,,
13270054655,node,46.995919,6.9417791,yes,Neuchatel,33,2000,Rue de La Maladiere,,,Im Raum (Krankenstation)Infirmerie EG,,Koffer Orange,,defibrillator,144,node/13270054655,yes,0,,Mo-Fr 07:00 - 20:00,Lifetec AG,+41 800 122 144,,1606LTM,,,,,
13283244101,node,47.056023,6.7471115,yes,,,,,,,"Casino-Théâtre, dans l’angle nord-ouest",,disponible 24h/24h,,defibrillator,144,node/13283244101,no,0,,24/7,,,,,,,,,
13313491801,node,46.9808578,6.90488,yes,,,,,,,Arrêt Littorail,,,,defibrillator,144,node/13313491801,no,0,,24/7,Formamed,+41 32 841 28 29,,,,,,,
13313498401,node,46.9845075,6.9124542,yes,,,,,,,"Entre les toilettes hommes et femmes derrière l'arrêt du Littorail ""Champ-Bougin""",,,,defibrillator,144,node/13313498401,no,0,,24/7,Formamed,+41 32 841 28 29,,,,,,,
13352832500,node,47.0591626,6.7560275,yes,Le Locle,3,2400,Chemin de la Joux-Pélichet,,,Eingang EG Rechts,,Koffer orange,,defibrillator,144,node/13352832500,yes,0,GMG Composants Sàrl,Mo-Fr 06:30-17:00,Lifetec AG,,0800 122 144,1623ltm,,,,,
13365799501,node,47.0187171,6.8509878,,,,,,,,Bâtiment vert du quartier étage supérieur,,9h - 21h,,defibrillator,144,node/13365799501,yes,1,,,,,,,,,,,
13365805101,node,47.0186772,6.8510246,yes,,,,,,,Quartier de L’Orée,,Disponible pendant les heures d’ouverture,,defibrillator,144,node/13365805101,yes,1,,9:00-21:00,Quartier de l’Orée,+41768029826,,,,,,,
13605175001,node,46.90373,6.5815865,yes,,,,,,,Banque Raiffeisen angle bâtiment façade sud,,,,defibrillator,144,node/13605175001,no,0,,24/7,Banque Raiffeisen Neuchâtel et Vallées agence de Fleurier,+41 32 836 42 97,,,,,,,
13703181001,node,47.0997003,6.8232071,,,68,,Rue de la Serre,,,Sous-clef au premier étage dans la case d’escaliers,,,,defibrillator,,node/13703181001,,,,,,,,,,,,,
13703770603,node,46.9471852,6.8526739,yes,,,,,,,Cortaillod,,Boîtier contre la façade avant du bâtiment côté parking,,defibrillator,144,node/13703770603,no,0,,24/7,-,+41328865130,,,,,,,
13718185901,node,47.0266583,6.9570086,,,,,,,,,,,,defibrillator,,node/13718185901,,,,,,,,,,,,,
13736807601,node,46.9951411,6.9442597,yes,,,,,,,"Centre commercial la Maladière Centre, caisse information Coop",,Disponible durant les heures d'ouverture (fermé les dimanches et jours fériés,info@maladierecentre.ch,defibrillator,144,node/13736807601,yes,-1,,Mo-Sa 08:00-18:00,Coop,+41 32 723 24 70,,,,,,,
13765899501,node,46.9985828,6.9230413,yes,,,,,,,Entrée de l'immeuble Verger-Rond 5,,Devant l'entrée de l'immeuble Verger-Rond 5,Marie.Umbricht@gmail.com,defibrillator,144,node/13765899501,no,0,,24/7,,,,,,,,,
13783184201,node,47.0586585,6.9089156,yes,,,,,,,cpn monter es direct sur la droite ,,,,defibrillator,,node/13783184201,yes,,,Mo-Fr 07:00-16:40,,,,,,,,,
13798483403,node,47.0010949,7.0130539,,,,,,,,"Gétaz-Miauton SA Ch. des Malpierres 1a, 2088 Cressier",,Entrer principal à droite,vincent.schaer@bmsuisse.ch,defibrillator,144,node/13798483403,yes,0,,"07:00-12:00 ,13:00-18:00",Vincent Schaer,+41 76 392 27 83,,,,,,,
