osm_id,osm_type,lat,lon,access,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,check_date,defibrillator:location,description,email,emergency,emergency:phone,id,indoor,latitude,level,longitude,name,note,opening_hours,operator,operator:email,phone,ref,source,website,wheelchair,wikimedia_commons
7928222742,node,47.1805578,8.5848123,yes,,,,,,,Pflegeheim Kloster,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928222742,yes,,0,,,,,Institut Menzingen Pflegeheim St. Franziskus,,+41 41 757 44 44,,,,,
7928222743,node,47.1824355,8.5851046,,,,,,,,Eingangsbereich kleine Sporthalle,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928222743,,,0,,,,,Hochbauamt des Kantons Zug,,+41 41 728 54 00,,,,,
7928222744,node,47.1820655,8.5858852,,,,,,,,Mensa,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928222744,,,0,,,,,Hochbauamt des Kantons Zug,,+41 41 728 54 00,,,,,
7928222746,node,47.178805,8.5910806,yes,,,,,,,Ärztezentrum Menzingen,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928222746,yes,,0,,,,,Ärztezentrum Menzingen,,+41 41 757 20 20,,,,,
7928222747,node,47.1776873,8.5912389,yes,,,,,,,"Para-Medical Center""van de Veen""",während Öffnungszeiten verfügbar,,defibrillator,144,node/7928222747,yes,,0,,,,,"Para-Medical Center ""Van de Veen""",,+41 41 755 11 39,,,,,
7928222749,node,47.1787945,8.5899124,yes,,,,,drinking_water,,"Hintereingang Kirche, Vorzeichen, Aufgang",,,defibrillator,144,node/7928222749,yes,,0,,,,Mo-Fr 07:00-19:00,Kirchengemeinde Menzingen,,+41 41 757 00 80,,,,,
7928222750,node,47.1736515,8.6020401,permissive,,,,,,,Büro Ökihof,während Öffnungszeiten verfügbar,,defibrillator,144,node/7928222750,yes,,0,,,,,Gemeinde Menzingen,,+41 41 757 22 03,,,,,
7928222751,node,47.1673038,8.6303046,yes,,,,,,,Haupteingang Schulhaus,,,defibrillator,144,node/7928222751,no,,0,,,,24/7,Gemeinde Menzingen,,+41 41 757 22 03,,,,,
7930220201,node,47.1341367,8.6133134,yes,,,,,,,Gesundheitszentrum,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930220201,,,,,,,,,,,,,,,
7930220203,node,47.1549274,8.652522,yes,,,,,,,an Aussenfassade des Restaurants/Lagerhauses,,,defibrillator,144,node/7930220203,no,,0,,,,24/7,"Stadtverwaltung Zug, Abteilung Sicherheit und Verkehr",,+41 58 728 99 00,,,,limited,
7930220204,node,47.1356128,8.6144587,yes,,,,,,,Feuerwehr,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930220204,,,,,,,,,,,,,,,
7930220205,node,47.1348757,8.6151615,yes,,,,,,,Rathaus,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930220205,,,,,,,,,,,,,,,
7930264284,node,47.1408365,8.4403914,yes,,,,,,,Im Armeeverteilzentrum,während Arbeitszeit verfügbar,,defibrillator,144,node/7930264284,,,,,,,,,,,,,,,
7930278085,node,47.1413081,8.4287426,yes,,,,,,,Infoschalter,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930278085,,,,,,,,,,,,,,,
7930278086,node,47.1508334,8.4345388,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278086,,,,,,,,,,,,,,,
7930278087,node,47.1503008,8.433702,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278087,,,,,,,,,,,,,,,
7930278088,node,47.1497134,8.4338736,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278088,,,,,,,,,,,,,,,
7930278089,node,47.1492756,8.4334606,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278089,,,,,,,,,,,,,,,
7930278090,node,47.1491771,8.4327149,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278090,,,,,,,,,,,,,,,
7930278091,node,47.1493887,8.4321731,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278091,,,,,,,,,,,,,,,
7930278092,node,47.1501585,8.4326988,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278092,,,,,,,,,,,,,,,
7930278093,node,47.1502351,8.4315562,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278093,,,,,,,,,,,,,,,
7930278094,node,47.1505051,8.4307086,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278094,,,,,,,,,,,,,,,
7930278095,node,47.1497864,8.4309071,yes,,,,,,,Beim Eingang,während Arbeitszeit verfügbar,,defibrillator,144,node/7930278095,,,,,,,,,,,,,,,
7930278096,node,47.1433495,8.4274364,yes,,,,,,,Arztpraxis Schöngrund,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930278096,,,,,,,,,,,,,,,
7930278097,node,47.1401947,8.4266397,yes,,,,,,,Praxis Dr. Wolf / Seibl,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930278097,,,,,,,,,,,,,,,
7930278098,node,47.1419061,8.4333142,yes,,,,,,,EG- An der Hausmauer beim Skaterpark.,,,defibrillator,144,node/7930278098,no,,,,,,24/7,,,,,,,,
7930278099,node,47.1414111,8.4317762,yes,,,,,,,Im Zentrum Dorfmatt,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930278099,yes,,,,,,,,,,,,,yes,
7930563029,node,47.1971585,8.4870788,private,,,,,,,Feuerwehr,Nicht öffentlich zugänglich.,,defibrillator,144,node/7930563029,yes,,,,,,,Gemeinde Steinhausen,,,,,,,
7930563030,node,47.1968308,8.4855933,yes,,,,,,,Praxis Dr. Wüest,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930563030,,,,,,,,,,,,,,,
7930563031,node,47.1968098,8.4854311,yes,,,,,,,Praxis Dr. Meier,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930563031,,,,,,,,,,,,,,,
7930563033,node,47.1921986,8.4779719,yes,,,,,,,Kundendienst Do-It,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930563033,,,0,,,,,,,,,,,,
7930563034,node,47.1915857,8.4775715,yes,,,,,,,Kundendienst Micasa,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930563034,,,3,,,,,,,,,,,,
7930563036,node,47.196204,8.4842622,yes,,,,,,,Einwohnerkontrolle: Bei den Briefkästen unten rechts integriert,"Zoll AED 3, mit Kindertaste und CPR Feedback. Inkl. Notfallset: Schere, Rasierer, Beatmungs-Folie, Taschenmaske in Hartbox mit Filter, Gummizug, Handschuhe und Alkoholpads.",,defibrillator,144,node/7930563036,no,,,,,,24/7,Gemeinde Steinhausen,,,,,,,
7930578714,node,47.1381307,8.5793593,yes,,,,,,,Migros beim Infopoint,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930578714,,,,,,,,,,,,,,,
7930578715,node,47.1411265,8.5912362,yes,,,,,,,Klinik Adelheid/Vabene Training,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930578715,,,,,,,,,,,,,,,
7930578716,node,47.1374231,8.5865778,yes,,,,,,,Rezeption des Seminarhotel,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930578716,,,,,,,,,,,,,,,
7930578717,node,47.1377667,8.5856599,yes,,,,,,,Praxis Dr. Stäger,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930578717,,,,,,,,,,,,,,,
7930578718,node,47.1385832,8.587819,yes,,,,,,,Praxis Dr. Iten,während Öffnungszeiten verfügbar,,defibrillator,144,node/7930578718,,,,,,,,,,,,,,,
