osm_id,osm_type,lat,lon,access,addr:housenumber,addr:street,check_date,defibrillator:location,description,email,emergency,emergency:phone,fixme,id,indoor,latitude,level,longitude,name,opening_hours,operator,phone,postal_code,ref,source,wheelchair,wikimedia_commons
8764057862,node,47.5495166,7.5805436,no,,,,Befindet sich im Erdgeschoss im Bereich der Aufzüge.,"während Öffnungszeiten verfügbar, am Empfang melden",,defibrillator,144,,node/8764057862,yes,,,,,,Firma Fracht AG,+41 61 287 95 55,,,,,
8820880778,node,47.5477948,7.5895015,yes,,,2026-02-07,Neben den Haupteingang,,,defibrillator,144,,node/8820880778,yes,,0,,,24/7,,,,,,yes,
8956974917,node,47.5413462,7.6204624,,,,,Shopping Center Mall UG bei Beldona Shop,Während Oeffungszeiten Verfügbar,,defibrillator,144,,node/8956974917,yes,,,,,Mo-Fr 09:00-20:00; Sa 09:00-18:00,Center SJP,,,,,,
8962755917,node,47.5394403,7.6040429,yes,,,,"Migros, Dreispitz Oben bei WC",Während Oeffungszeiten Verfügbar,,defibrillator,144,,node/8962755917,yes,,,,,Mo-Fr 09:00-20:00; Sa 09:00-18:00,Migros,,,,,,
8971490662,node,47.5547958,7.6114668,yes,,,,"Aussen rechts an der Apotheke (grüner Kasten), Zürcherstrasse 97",automatische telefonische Verbindung mit Notfallzentrale nach Öffnen der Box,,defibrillator,144,,node/8971490662,no,,,,,24/7,Breite-Apotheke AG,+41 61 319 98 98,,,,,
8977133617,node,47.5362239,7.6063419,yes,,,,Decathlon Sportgeschäft,Während Oeffungszeiten Verfügbar,,defibrillator,144,,node/8977133617,yes,,,,,Mo-Fr 09:00-20:00; Sa 09:00-18:00,Decathlon,,,,,,
8980778417,node,47.5535367,7.5890964,yes,,,,Mr. Pickwick,Neben der Bar,,defibrillator,144,,node/8980778417,yes,,,,,,Mr. Pickwick,,,,,,
8995801821,node,47.5729031,7.6819799,yes,,,2025-12-06,Reception St Chrischona Campus,Während Oeffungszeiten Verfügbar ,,defibrillator,144,,node/8995801821,yes,,,,,Mo-Fr 09:00-12:00,Campus Chrischona ,,,,,,
8995834318,node,47.5731682,7.6806301,yes,,,,Pflegeheim Chrischona,,,defibrillator,144,In welchem Gebäude befindet sich der Defibrillator?,node/8995834318,yes,,,,,24/7,Pflegeheim Chrischona,,,,,,
8995922117,node,47.5923541,7.6451763,yes,,,,Naturbad,"Während Öffungszeiten Verfügbar, mitte Mai - mitte Sep.",,defibrillator,144,,node/8995922117,yes,,0,,,May- Sep Mo-Su 09:00-19:00,Naturbad,+41 61 646 81 18,,,,,
8995975918,node,47.5850214,7.6496589,,,,,Polizei Posten,Während Oeffungszeiten Verfügbar,,defibrillator,144,,node/8995975918,yes,,,,,Mo-Fr 09:00-18:30; Sa 09:00-17:00,Polizei,,,,,,
8998912117,node,47.5700068,7.6157475,yes,,,,Migros Bei Blumenabteilung /Kundendienst,während oeffungszeiten verfügbar,,defibrillator,144,,node/8998912117,yes,,,,,Mo-Fr 08:00-20:00; Sa 07:30-18:00,Migros,,,,,,
9064091917,node,47.5521859,7.6006442,yes,,,,Unmittelbar vor dem Gebäudeeingang,,,defibrillator,144,,node/9064091917,no,,,,,24/7,Rebecca Santschi,+41 79 544 95 21,,,,,
9088936117,node,47.5631111,7.5798301,permissive,,,,LZM Unibasel 3. Stock,"von Treppen aus, gerade aus.",,defibrillator,144,,node/9088936117,yes,,,,,Mo-Fr 08:00-19:00,Universität Basel,,,,,,
9107013776,node,47.5574609,7.5828557,yes,,,,Im Hauseingeng Rechts an der Wand.,,,defibrillator,144,,node/9107013776,yes,,,,,Mo-Fr 06:00-18:00,"ED Basel-Stadt, Digitalisierung und Informatik DIG-IT, Basel-Stadt",+41 61 267 42 22,,,,,
9128863342,node,47.5524304,7.5950106,yes,,,,Neben Eingang Bau- und Verkehrsdepartement Basel-Stadt,,,defibrillator,144,,node/9128863342,no,,,,,24/7,,,,,,,
9131353517,node,47.5803125,7.5959054,yes,,,,Stücki Center Kiosk /Migros,während Oeffzngszeiten Verfügbar,,defibrillator,144,,node/9131353517,yes,,,,,Mo-Fr 09:00-19:00; Sa 09:00-18:00,,,,,,,
9131353518,node,47.5803125,7.5959054,yes,,,,Stücki Center direkt bei Migros Kundendienst,während Oeffungszeiten,,defibrillator,144,,node/9131353518,yes,,,,,Mo-Fr 09:00-19:00; Sa 09:00-18:00,Migros,,,,,,
9264311717,node,47.5493367,7.5873122,,,,,Basefit.ch Säule neben Rezeption,während Öffnungszeiten Fitness,,defibrillator,144,,node/9264311717,yes,,,,,09:00-22:00,,,,,,,
9277222781,node,47.5467417,7.5947667,,,,,"Erdgeschoss, Mitte Gang in der Schublade (gekennzeichnet)",während Öffnungszeiten verfügbar,,defibrillator,144,,node/9277222781,yes,,,,,,Peter Gäth,+41 61 284 42 94,,,,,
9277279117,node,47.558124,7.5853977,yes,,,,"1. Stock, am Ende vom grossen Bürovorraum, frei zugänglich",während Öffnungszeiten verfügbar ,,defibrillator,144,,node/9277279117,yes,,,,,Mo-Fr: 09:00-17:00,"Theologische Fakultät, Universität Basel",+41612072900,,,,,
9344079217,node,47.5602396,7.5872174,yes,,,,Uni BS Dep. Mathematik,Während Oeffungszeiten Verfügbar,,defibrillator,144,,node/9344079217,yes,,,,,Mo-Fr 08:00-18:00,,,,,,,
9344143917,node,47.5597517,7.5810395,yes,,,,"Universitätsbibliothek, Eingangshalle","geradeaus, links hinten",,defibrillator,144,,node/9344143917,yes,,,,,"Mo-Fr 08:00-20:00, Sa 12:00-20:00",,+41 61 207 31 00,,,,,
9388530737,node,47.5467974,7.5890364,yes,,,,Neben dem Brezelkönig und Rolltreppe Gleis 11/12,,,defibrillator,144,,node/9388530737,yes,,1,,,24/7,,,,,,yes,
9498474634,node,47.5561972,7.5902118,,,,,Bei Bucherer,,,defibrillator,144,,node/9498474634,yes,,,,,Mo-Fr 09:30-18:30; Sa 09:30-17:00,Bucherer SA,,,,,,
9524918533,node,47.5410014,7.6196985,,,,,Shopping Center St. Jakob BS,Während Oeffungszeiten Verfügbar,,defibrillator,144,,node/9524918533,yes,,-1,,,Mo-Fr 09:00-20:00; Sa 09:00-18:00,Wincasa AG,+41 61 377 81 11,,,,limited,
9577631617,node,47.5810231,7.6391365,yes,,,,"Grendelmatte, draussen, neben der Tür.",,,defibrillator,144,,node/9577631617,no,,,,,24/7,,,,,,,
9625721817,node,47.5556357,7.5849357,,,,,Kasten beim Eingang vonAnima Engineering,,,defibrillator,144,,node/9625721817,yes,,,,,Mo-Fr 07:30-18:00,Harald Burger,+41 79 558 13 45,,,,,
9631526417,node,47.5520535,7.5965373,,,,,"Pax, Schweizerische Lebensversicherungs-Gesellschaft AG",während der Öffnungszeiten verfügbar,,defibrillator,144,,node/9631526417,yes,,,,,Mo-Fr 08:00-16:00,,+41 61 277 66 66,,,,,
9634891859,node,47.5474059,7.5900505,,,,,Neben dem Eingang,,,defibrillator,144,,node/9634891859,yes,,0,,,24/7,,,,,,limited,
9680907781,node,47.5408751,7.61987,yes,,,,Einkaufszentrum St.Jakob Parterre Hinterer Teil NewYorker Mode,Während Oeffungszeiten Verfügbar,,defibrillator,144,,node/9680907781,yes,,-2,,,Mo-Fr 09:00-20:00; Sa 09:00-18:00,Wincasa AG,+41 61 377 81 11,,,,limited,
9719954793,node,47.5762353,7.5665673,,,,,EG Gang,,,defibrillator,144,,node/9719954793,yes,,,,,"Mo-Fr 08:00-11:30, 13:30-16:00","Nicole Schnyder, Leiterin Administration",+41 61 267 58 46,,,,,
9719986537,node,47.5524991,7.5964887,yes,,,,im Erdgeschoss im Gang welcher von der Eigangshalle anschliesst,,,defibrillator,144,,node/9719986537,yes,,,,,Mo-Fr 07:45-17:15,"Michela Leitenberger (-Mariani), Leiterin Baukoordination / Sicherheitsdelegierte",+41 61 267 98 36,,,,,
9719986538,node,47.5621695,7.5742156,,,,,Im Erdgeschoss,,,defibrillator,144,,node/9719986538,yes,,,,,"Mo-Fr 08:00-12:00, 13:30-16:30","Roman Baumgartner, Leiter Hausdienst",+41 61 385 25 86,,,,,
9719986539,node,47.5645731,7.5795639,,,,,1.OG im Treppenhaus,,,defibrillator,144,,node/9719986539,yes,,,,,"Mo-Fr 08:00-12:00, 13:30-16:30","Cédric Thiévent, Geschäftsleiter Verwaltung",+41 61 267 38 76,,,,,
9749180180,node,47.5615216,7.5757974,yes,,,,"Erdgeschoss, hinter Abteilungstür rechts",,,defibrillator,144,,node/9749180180,yes,,,,,Mo-Fr 08:00-19:30,,,,,,,
9749180181,node,47.5617596,7.5757679,yes,,,,"Haupteingang, linke Seite",,,defibrillator,144,,node/9749180181,yes,,,,,Mo-Fr 08:00-19:30,,,,,,,
9780863555,node,47.5594462,7.6073579,,,,,Neben den Liften,,,defibrillator,144,,node/9780863555,yes,,0,,,24/7,F. Hoffmann-La Roche Ltd,,,,,limited,
9780881594,node,47.5587466,7.6074008,,,,,Neben den WC,,,defibrillator,144,,node/9780881594,yes,,0,,,24/7,F. Hoffmann-La Roche Ltd,,,,,limited,
9917843267,node,47.5605972,7.5942145,yes,,,,Verkaufsfläche LIDL,während Öffnungszeiten verfügbar,,defibrillator,144,,node/9917843267,yes,,,,,,LIDL Schweiz,+41716278074,,,,,
9962241652,node,47.5646924,7.6059866,,,,,inside the building,,,defibrillator,144,,node/9962241652,yes,,,,,,,,,,,,
10009204076,node,47.5469829,7.5840224,permissive,,,,Next to reception desk,,,defibrillator,144,,node/10009204076,yes,,0,,,,,,,,,,
10048045217,node,47.5412052,7.6216756,,,,,"Birsstrasse 320b, 4052 Basel, 2. OG (im Office)",Werktags zu den Bürozeiten,,defibrillator,144,,node/10048045217,yes,,,,,Mo-Fr 08:00-16:00,Elektro Datenbank Schweiz ELDAS,+41613859855,,,,,
10282200209,node,47.5627654,7.609058,yes,,,,Lehrwerkstatt für Mechanik,während den Öffnungszeiten zugänglich,,defibrillator,144,,node/10282200209,yes,,0,,,Mo-Fr 06:45 -17:30,Lehrwerkstatt für Mechanik,+41616956400,,,,,
10292625110,node,47.5455391,7.5989556,yes,,,,1. Stocl an Wand links neben Türe dasteam ag,während der Öffnungszeiten verfügbar,,defibrillator,144,,node/10292625110,yes,,1,,,Mo-Fr 08:00-17:30,dasteam ag,+41 61 278 99 99,,,"local_knowledge, defikarte.ch",,
10542582609,node,47.5683478,7.5987412,,,,,DB Schenker AG,Klingen bei DB Schenker,,defibrillator,144,,node/10542582609,yes,,3,,,MO-FR 08:00-17:00,Privatperson,,,,,,
10574567641,node,47.5546162,7.5654448,,,,,Aussen an der Hauswand. Gut sichtbar.,,,defibrillator,144,,node/10574567641,no,,,,,24/7,,,,,,,
10586626805,node,47.5558806,7.5820015,,,,,"bitte Klingeln, Defi ist am Empfang",,,defibrillator,144,,node/10586626805,yes,,5,,,"Mo-Fr 08:00-12:00,13:00-17:00",Netcloud AG,+41583441212,,,,,
10601519505,node,47.5506372,7.5740755,,,,,Neubadstrasse 7,während den Bürozeiten beim Empfang verfügbar,,defibrillator,144,,node/10601519505,yes,,,,,"Mo-Fr 08:00-12:00,13:00-17:00",Applied Chemicals International AG,+41 61 282 82 82,,,"local_knowledge, defikarte.ch",,
10680118205,node,47.545282,7.5973678,no,,,,"Juristische Fakultät, Eingangsbereich",im Gebäude während der Öffnungszeiten,,defibrillator,144,,node/10680118205,yes,,,,,,,,,,"local_knowledge, defikarte.ch",,
10734407914,node,47.5524966,7.5890249,,,,,Stänzlergasse 4,während Öffnungszeiten,,defibrillator,144,,node/10734407914,yes,,5,,,Mo-Fr 08:00-18:00,MIGX GmbH,+41797376491,,,,,
10743944205,node,47.5551554,7.5887983,no,,,,"Restaurant Mister Wong, bei der Kasse",Während Öffnungszeiten berfügbar,,defibrillator,144,,node/10743944205,yes,,0,,,,Restaurant,,,,,,
10757374206,node,47.551908,7.5806415,yes,,,,"Pflegezentrum Holbeinhof, Leimenstrasse 67, 4051 Basel",Links vom Eingang im weissen Kasten an Aussenwand,,defibrillator,144,,node/10757374206,no,,0,,,24/7,Pflegezentrum Holbeinhof,,,,"local_knowledge, defikarte.ch",,
10763310510,node,47.55208,7.59342,no,,,,"4.OG, Empfang (Büro440)",oranger Koffer,,defibrillator,144,,node/10763310510,yes,,,,Walder Wyss AG,,Lifetec AG Schweiz,+41 800 122 144,,,,,
10763310511,node,47.55213,7.59225,no,,,,Im Schrank im Büro,oranger Koffer,,defibrillator,144,,node/10763310511,yes,,,,Aon Schweiz AG,,Lifetec AG Schweiz,+41 800 122 144,,,,,
10763310512,node,47.55214,7.58151,no,,,,Concierge Büro rechts.,oranger Koffer,,defibrillator,144,,node/10763310512,yes,,,,Swiss Real Estate Investments AG,,Lifetec AG Schweiz,+41 800 122 144,,,,,
10763310513,node,47.56122,7.59252,,,,,"Kundendienst, 3.OG",blauer Rucksack,,defibrillator,144,,node/10763310513,yes,,,,Manor AG,mo-fr 08:30-20:00; sa 08:00-18:00,Lifetec AG Schweiz,+41 800 122 144,,,,,
10763310515,node,47.551,7.61527,,,,,Im Eingangsbereich,in weissem Kasten,,defibrillator,144,,node/10763310515,yes,,,,Gruner AG,"Mo-Fr 08:00-12:00, 13:00-17:00",Lifetec AG Schweiz,+41 800 122 144,,,,,
10763310516,node,47.54496,7.60943,,,,,"EG, Eingangsbereich",in weissem Kasten,,defibrillator,144,,node/10763310516,yes,,,,Gruner AG,"Mo-Fr 08:00-12:00, 13:00-17:00",Lifetec AG Schweiz,+41 800 122 144,,,,,
10763310532,node,47.55199,7.59363,,,,,"3. Stock, im Büro",gelber Koffer,,defibrillator,144,,node/10763310532,yes,,,,Orion Rechtsschutz-Versicherung AG,"Mo-Th 08:00-12:00, 13:00-17:00; Fr 08:00-12:00, 13:00-16:30",Lifetec AG Schweiz,+41 800 122 144,,,,,
10763310534,node,47.577,7.56995,,,,,"Empfangsgebäude, im EG",oranger Koffer,,defibrillator,144,,node/10763310534,yes,,,,"Lottner AG Basel - Entsorgung, Recycling, Sammelstelle","Mo-Fr 06:30-11:45, 12:45-16:45; Sa 08:00-14:45",Lifetec AG Schweiz,+41 800 122 144,,,,,
10763310537,node,47.55079,7.57997,,,,,"EG, im Wandschrank",gelber Koffer,,defibrillator,144,,node/10763310537,yes,,,,CSG Baumanagement AG,"Mo-Th 08:00-12:00, 13:30-17:00; Fr 08:00-12:00, 13:30-16:00",Lifetec AG Schweiz,+41 800 122 144,,,,,
10763310542,node,47.55395,7.59178,no,,,,Im Schildhof,gelber Koffer,,defibrillator,144,,node/10763310542,yes,,,,Bank CIC (Schweiz) AG,,Lifetec AG Schweiz,+41 800 122 144,,,,,
10763310549,node,47.53453,7.60685,,,,,Reception geradeaus,oranger Koffer,,defibrillator,144,,node/10763310549,yes,,,,Optiswiss AG,Mo-Fr 08:30-17:00,Lifetec AG Schweiz,+41 800 122 144,,,,,
10763310551,node,47.54631,7.61102,yes,,,,"Notfallapotheke, Sekretariat",oranger Koffer,,defibrillator,144,,node/10763310551,yes,,,,Alpha RHEINTAL Bank AG,"Mo-Fr 08:30-12:00, 14:00-16:30",Lifetec AG Schweiz,+41 800 122 144,,,,,
10763310552,node,47.57753,7.65006,yes,,,,"1.OG, vor Kopierraum",gelber Koffer,,defibrillator,144,,node/10763310552,yes,,,,STH Basel,"Mo-Fr 08:00-12:00, 14:00-17:00",Lifetec AG Schweiz,+41 800 122 144,,,,,
10763310555,node,47.54611,7.59446,,,,,"EG, Cafeteria, Gebäude 84",oranger Koffer,,defibrillator,144,,node/10763310555,yes,,,,Bayer Consumer Care AG,Mo-Fr 07:30-17:30,Lifetec AG Schweiz,+41 800 122 144,,,,,
10763310560,node,47.55993,7.59472,,,,,"EG, Eingangsbereich",oranger Koffer,,defibrillator,144,,node/10763310560,yes,,,,Manor AG,Mo-Th 07:00-18:00; Fr 07:00-17:00,Lifetec AG Schweiz,+41 800 122 144,,,,,
10763310561,node,47.55298,7.5918,no,,,,"1.OG, Küche beim Empfang",oranger Koffer,,defibrillator,144,,node/10763310561,yes,,,,Lenz Caemmerer Basel,,Lifetec AG Schweiz,+41 800 122 144,,,,,
10763310562,node,47.54109,7.59449,yes,,,,"Garderobe, EG",oranger Koffer,,defibrillator,144,,node/10763310562,yes,,,,Burckhardt + Partner AG,"Mo-Fr 08:00-12:00, 13:30-17:00",Lifetec AG Schweiz,+41 800 122 144,,,,,
10763310566,node,47.5627,7.58389,yes,,,,3.OG bei Küche,oranger Koffer,,defibrillator,144,,node/10763310566,yes,,,,KulThrstifThng Basel H.Geiger,We-Mo 11:00-18:00,Lifetec AG Schweiz,+41 800 122 144,,,,,
10766467905,node,47.5540864,7.5734547,,,,,"Belchenstraße 6, Basel",,,defibrillator,144,,node/10766467905,yes,,1,,,"Mo-Fr 07:30-12:00,13:00-16:30",Firma E.KALT AG,+41 61 306 36 36,,,,,
10777896895,node,47.5575281,7.5904768,,,,,"Im Eingangsbereich, nach Kasse",,,defibrillator,144,,node/10777896895,yes,,,,,,,,,,,,
10781539926,node,47.5523715,7.5906824,yes,,,,"Elisabethenstrasse 16, Bühnen Eingang (Porte)",,,defibrillator,144,,node/10781539926,yes,,0,,,Mo-Fr 08:00-17:00,Theater Basel,+41 61 295 11 00,,,,,
10781604959,node,47.5540432,7.5737362,yes,,,,1.OG Gang,,,defibrillator,144,,node/10781604959,yes,,1,,,"Mo-Fr 08:00-12:00, 13:00-17:00",Andrea Moser,+41613063622,,,,,
10806763608,node,47.565487,7.6398915,yes,,,,nach der Kapelle 5 vor Eingang zu Aufbahrungsräumen,Während Öffnungszeiten des Friedhofareals. Mit dem Auto nur Mo-Fr 8 bis 17:30 Uhr,,defibrillator,144,,node/10806763608,no,,0,,,"07:00-19:30,08:00-17:30",Stadtgärtnerei Friedhöfe Basel,+41 61 267 20 00,,,,,
10901653171,node,47.5489477,7.5948884,yes,,,,Im Garten,,,defibrillator,144,,node/10901653171,no,,,,,24/7,Pavel Herman,+41774882286,,,,,
10963504705,node,47.5409259,7.5920098,,,,,Café Momo,,,defibrillator,144,,node/10963504705,yes,,0,,,Mo-Sa 11:00-16:00; Su 11:00-17:00,,+41 61 367 86 00,,,,,
10963507305,node,47.5412708,7.5917969,yes,,,,"Haupteingang, gegenüber des Empfangs",,,defibrillator,144,,node/10963507305,yes,,0,,,24/7,Stiftung,+41 61 367 85 85,,,,,
11037266744,node,47.5533148,7.5923119,no,,,,VISCHER Bar/Cafeteria (5.OG),,,defibrillator,144,,node/11037266744,yes,47.55332326,,7.592333121,VISCHER AG,Mo-Fr 08:00-18:00,Lifetec AG,+41 800 122 144,,,,,
11037266752,node,47.55207,7.59221,yes,,,,Eingangsbereich,,,defibrillator,144,,node/11037266752,yes,47.55207,,7.59221,Funk Insurance Brokers AG,"Mo-Fr 08:00-12:00, 13:00-17:00",Lifetec AG,+41 800 122 144,,,,,
11038060226,node,47.5789648,7.5969815,,,,,Lonza Rezeption,,,defibrillator,144,,node/11038060226,no,,,,,Mo-Fr 08:00-12:00,Lonza DPS,+41 78 7222403,,,"local_knowledge, defikarte.ch",,
11038063707,node,47.5512439,7.5616255,yes,,,,"Victoria Apotheke,",An der Aussenwand der Apotheke,,defibrillator,144,,node/11038063707,no,,0,,,24/7,,,,,,,
11038063813,node,47.5776982,7.5967938,,,,,Lonza Rezeption,,,defibrillator,144,,node/11038063813,no,,0,,,Mo-Fr 08:00-17:30,Lonza DPS,+41 78 7222403,,,"local_knowledge, defikarte.ch",,
11185095737,node,47.5541998,7.5903779,,,,,Stadtcasino Basel:Backstage bei Bühnenaufgang rechts,Während Öffnungszeiten & Konzertbetrieb verfügbar,,defibrillator,144,,node/11185095737,yes,,0,,,Mo-Su 07:00-24:00,Casino-Gesellschaft Basel,+41 61 226 36 00,,,"local_knowledge, defikarte.ch",,
11267648870,node,47.553921,7.607941,yes,,,,Vor dem Eingang rechts an der Wand,-,,defibrillator,144,,node/11267648870,no,,0,,,24/7,Verein Saal 12,+41 76 527 41 19,,,"local_knowledge, defikarte.ch",,
11283380536,node,47.5478529,7.5778143,yes,,,,In the zoo shop of the self-service restaurant,,,defibrillator,144,,node/11283380536,yes,,1,,,,,,,,,,
11307517269,node,47.5583016,7.5882965,yes,,,,"Rathaus, Markplatz 9","hinten links, Eingang Empfang, hinter der Türe",,defibrillator,144,,node/11307517269,yes,,,,,"Mo-Fr 8:00-12:00, 12:30-17:00",Präsidialdepartement / Staatskanzlei,+41 61 267 85 49,,,"local_knowledge, defikarte.ch",,
11474731369,node,47.5673647,7.6070418,yes,,,,Haupteingang zu Coop,,,defibrillator,144,,node/11474731369,yes,,0,,,24/7,,,,,,limited,
11546554370,node,47.5784871,7.5972819,,,,,Rezeption Hochbergerstrasse 60c,während der Öffnungszeiten verfügbar.,,defibrillator,144,,node/11546554370,yes,,0,,,8:00-17:00,Techpark Basel,,,,"local_knowledge, defikarte.ch",,
11551850170,node,47.5613186,7.5803991,yes,,,,Klingelbergstrasse 23 (Universitätsspital),,,defibrillator,144,,node/11551850170,yes,,0,,,Mo-Fr 07:00-20:00,Universitätsspital Basel,,,,,,
11703996269,node,47.5392095,7.6017155,no,,,,Betty Bossi,Während Bürozeiten,,defibrillator,144,,node/11703996269,yes,,0,,,,Betty Bossi,,,,,,
11723225743,node,47.5818013,7.6002196,private,,,,Betriebsgebäude,Blauer Foppa Rucksack 1388 LTB,,defibrillator,144,,node/11723225743,yes,,0,,ProRheno AG,24/7,Lifetec AG Schweiz,+41 800 122 144,,,,,
11723369994,node,47.5817492,7.6004643,private,,,,Betriebsgebäude,Blauer Foppa Rucksack 1387 LTB,,defibrillator,144,,node/11723369994,yes,,0,,ProRheno AG,24/7,Lifetec AG Schweiz,+41 800 122 144,,,,,
11724214069,node,47.571213,7.6794541,yes,,,,Windfang Haupteingang Chrischonarain 135a,,,defibrillator,144,,node/11724214069,no,,,,,24/7,Diakonissen Mutterhaus St. Chrischona,+41616066540,,,"local_knowledge, defikarte.ch",,
11768851269,node,47.5402811,7.6065892,,,,,"Basler Verkehrs-Betriebe, Gebäude ""Verkehr"", Münchensteinerstrasse 83, 4052 Basel","Im Treppenhaus, nur während Betriebszeiten und nach Türöffnung durch Empfang erreichbar",,defibrillator,144,,node/11768851269,yes,,,,,Mo-Fr 09:00-16:00,Basler Verkehrs-Betriebe,,,,"local_knowledge, defikarte.ch",,
11897195669,node,47.5792525,7.6374359,yes,,,,Clubhaus,,,defibrillator,144,,node/11897195669,no,,0,,,24/7,Tennisclub Riehen,+41793216468,,,aed-source,,
11926124469,node,47.558353,7.5856022,permissive,,,,Hörberatung Basel,Während den Öffnungszeiten Verfügbar,,defibrillator,144,,node/11926124469,no,,,,,Mo -Fr 08:30 - 18:00,Geschäft,+41 61 261 08 80,,,"local_knowledge, defikarte.ch",,
12016641066,node,47.5370121,7.606454,,14,Leimgrubenweg,,Werkstatt 1440LTM,Oranger Koffer,,defibrillator,144,,node/12016641066,yes,,,,Centra-Garage AG,Mo-Fr 07.00-12.00 13.00-17.00,Lifetec AG Schweiz,+41 800 122 144,,1440LTM,,,
12016655293,node,47.5338863,7.6066057,,33,Lyon-Strasse,,Beim Empfang 1439LTM,Oranger Koffer,,defibrillator,144,,node/12016655293,yes,,,,CG Carrosserie AG,Mo-Fr 07.00-12.00 13.00-17.00,Lifetec AG Schweiz,+41 800 122 144,,1439LTM,,,
12112524407,node,47.5558013,7.5743679,yes,17,Allschwilerstrasse,,EG Beim Empfang,Oranger Koffer,,defibrillator,144,,node/12112524407,yes,,0,,trimag Treuhand-Immobilien AG,Mo-Do 09-12 14:00-17:00 Fr 09-12 14:00-16:00,Lifetec AG,+41800 122144,4055,1457LTM,,,
12114303596,node,47.5519735,7.6025599,yes,15,Hardstrasse,,"Werkstatt neben Büro
1458LTM",Oranger Koffer,,defibrillator,144,,node/12114303596,yes,,0,,Niki Hasler AG,Mo-FR 07:30-1200 130:0-17:15,Lifetec AG,+41800122144,,1458LTM,,,
12138359701,node,47.553066,7.5634279,,,,,Alterssiedlung Pilatus,,,defibrillator,144,,node/12138359701,yes,,,,,24/7,Alterssiedlung Genossenschaftsverband Pilatus,,,,,,
12222320001,node,47.562634,7.5750616,,,,,Pflegehotel St.Johann,,,defibrillator,144,,node/12222320001,yes,,0,,,07:00-17:00,,+41613261616,,,,,
12239556491,node,47.5656053,7.5884441,,,,,Praxis Eingang EG rechts,,,defibrillator,144,,node/12239556491,yes,,0,,,Mo-Th 07:30-19:30; Fr 07:30-15:00,Physiotherapie Schmeitzky GmbH,+41 61 691 18 11,,,,,
12244231601,node,47.5530195,7.580781,permissive,,,,Byfangweg 1a,Während Öffnungszeiten verfügbar,,defibrillator,144,,node/12244231601,yes,,2,,,Mo-Fr 08:00-17:00,Firma Planconsult W+B,+41 61 206 98 76,,,"local_knowledge, defikarte.ch",,
12248475201,node,47.584884,7.6495198,permissive,,,,"Haus der Vereine, Hauptfoyer (vis-à-vis der Toiletten)",während Öffnungszeiten zugänglich,,defibrillator,144,,node/12248475201,yes,,0,,,,Samariterverein Riehen ,+41 61 599 11 31,,,"local_knowledge, defikarte.ch",,
12252791102,node,47.5528197,7.5834558,yes,,,,Byfangweg 1a,Mo-Fr 08:00-17:00 verfügbar,,defibrillator,144,,node/12252791102,yes,,2,,,,Firma,+41612069876,,,,,
12293542801,node,47.5354754,7.6097327,yes,,,,"Wien-Strasse 2, 4053 Basel",während den Öffnungszeiten verfügbar.,,defibrillator,144,,node/12293542801,yes,,,,,Mo-Fr  07:00 - 17:00,ETAVIS Kriegel+Schaffner AG,+41 61 316 60 60,,,"local_knowledge, defikarte.ch",,
