osm_id,osm_type,lat,lon,access,addr:city,addr:country,addr:floor,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:street,addr:street:en,air_conditioning,alarm,alt_name,amenity,bicycle,branch,brand,brand:wikidata,building,check_date,check_in,colour,contact:addr:full,contact:email,contact:emergency,contact:phone,contact:website,covered,defibrillator:location,defibrillator:location:de,defibrillator:location:en,defibrillator:location:fr,description,description:de,description:en,elevator,email,emergency,emergency:amenity,emergency:phone,emergency_telephone_code,fixme,foot,highway,id,image,image:license,image_1,image_2,indoor,internet_access,latitude,layer,leisure,level,level:ref,location,locked,longitude,manufacturer,mapillary,motor_vehicle,name,note,opening_hours,operator,operator:email,operator:phone,operator:type,outdoor,panoramax,phone,phone:CH,planned:tourism,postal_code,ref,source,sport,start_date,support,survey:date,tourism,url,website,wheelchair,wheelchair:description,wikimedia_commons
1468855333,node,47.498422,8.6421365,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Im Wärmepumpen-Haus bei Obermettmenstetten 4,,,,Privatgerät öffentlich nutzbar,,,,,defibrillator,,144,,,,,node/1468855333,IMG_1731.jpg,,,,yes,,,,,,,,,,,,,,,24/7,"Walter und Esther Keller Obermettmenstetten 4, 8425 Oberembrach",,,,,,+41 79 442 56 17,,,,,,,,,,,,,,,
1847264321,node,47.2493548,9.3423719,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bergstation Schwebebahn Säntis,,,,Standort bei Shop im EG der Talstation,,,,,defibrillator,,144,,,,,node/1847264321,,,,,yes,,,,,-1,,,,,,,,,,24/7,LSS,,,,,,+41 71 365 66 66,,,,,,,,,,,,,limited,,
1871892415,node,47.2866574,8.1485408,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,,144,,,,,node/1871892415,,,,,,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,yes,,
2072537065,node,47.0542149,8.1035636,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,beim Kirchenaufgang li an Mauer,,,,,,,,,defibrillator,,144,,,,,node/2072537065,,,,,,,,,,,,,,,,,,Kirchgemeinde Werthenstein,,24/7,,,,,,,,,,,,,,,,,,,,,,
2098935833,node,47.1775874,8.888641,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zürcherstrasse - Paradiesweg neben Garagengebäude,,,,,,,,,defibrillator,,144,,,,,node/2098935833,,,,,no,,,,,,,,,,,,,,,24/7,Gemeinde Galgenen,,,,,,,,,,,,,,,,,,,,,
2196407940,node,47.2518275,7.6454615,yes,Wiedlisbach,,,,1,,4537,Bahnhofstrasse,,,,,,,,,,,,,,,,,,,,Eingangsbereich Bank,,,,,,,,,defibrillator,,144,,,,,node/2196407940,,,,,yes,,,,,,,,,,,,,,,24/7,Raiffeisenbank,,,,,,+41 32 636 11 88,,,,,,,,,,,,,,,
2246047716,node,46.8547972,7.2297071,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am Gebäude der Firma Jörg & Co. Metallbau AG,,,,,,,,,defibrillator,,144,,,,,node/2246047716,,,,,no,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,
2396211922,node,46.6180152,9.1803021,yes,,,,,,,,,,,,,,,,,,,2025-02-19,,,,,,,,,Dorfplatz Vals,,,,An der Hauswand,,,,,defibrillator,,144,,,,,node/2396211922,,,,,no,,,,,0,,,,,,,,,,24/7,First Responder+ Vals,,,,,,,,,,,,,,,,,,,yes,,
2421638144,node,45.9231225,8.9139,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,,144,,,,,node/2421638144,,,,,no,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,
2429003993,node,47.3735989,7.7000989,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bergsation Eingang Restaurant,,,,24/365,,,,,defibrillator,,144,,,,,node/2429003993,,,,,no,,,,,,,,,,,,,,,24/7,Luftseilbahn Reigoldswil Wasserfallen,,,,,,,,,,,,,,,,,,,,,
2458181794,node,46.9566575,8.3698766,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Links vorm Eingang der Bibliothek, in grün an der Wand",,,,Kantonsbibliothek,,,,,defibrillator,,144,,,,,node/2458181794,,,,,no,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,
2464562870,node,46.0059687,8.9655565,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,,144,,,,,node/2464562870,,,,,no,,,,,0,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,yes,,
2502041058,node,46.8566107,9.8827253,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beim AG neben WC,,,,,,,,,defibrillator,,144,,,,,node/2502041058,,,,,no,,,,,0,,,,,,,,,,24/7,Rhätische Bahn AG,,,,,,+41 81 288 65 65,,,,,,,,,,,,,,,
2510644557,node,47.5576872,8.8963877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beim letzten Mast der Frauenfeld-Wil-Bahn-Oberleitung, gegenüber den Informationstafeln",,,,,,,,,defibrillator,,144,,,,,node/2510644557,,,,,no,,,,,,,,,,,,,,,24/7,Förderverein Frühdefibrillation,,,,,,,,,,,,,,,,,,,,,
2600797493,node,47.3611237,8.8241415,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bei Kirche,,,,,,,,,defibrillator,,144,,,,,node/2600797493,,,,,no,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,
2659177739,node,47.2363907,7.6544162,yes,Wangen an der Aare,CH,,,32,,3380,Städtli,,,,,,,,,,,,,,,,,,,,Kantonspolizei Bern,,,,,,,,,defibrillator,,144,,,,,node/2659177739,,,,,no,,,,,,,,,,,,,,,24/7,Kantonspolizei Bern,,,,,,+41 31 638 84 40,,,,,,,,,,,,,no,,
2789308839,node,47.2691196,8.8157745,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rechts neben Haupteingang hängt der Defi an der Wand,,,,rechts neben Haupteingang,,,,gemeinde@bubikon.ch,defibrillator,,144,,,,,node/2789308839,,,,,no,,,,,0,,,,,,,,,,24/7,Gemeinde Bubikon,,,,,,,,,,,,,,,,,,,,,
2861933760,node,46.9749165,7.198529,yes,Kerzers,,,,5,,3210,Vordere Gasse,,,,,,,,,,,,,,,,,,,,Eingang Gebäude,,,,Grüner Kasten,,,,,defibrillator,,144,,,,,node/2861933760,,,,,no,,,,,0,,,,,,,,Gemeinde Kerzers FR,,24/7,Lifetec AG,,,,,,,0800122144,,,1625LTS,,,,,,,,,,,
2963210013,node,47.2321861,7.6544425,yes,Wangen an der Aare,CH,,,30,,3380,Vorstadt,,,,,,,,,,,,,,,,,,,,UBS AG,,,,,,,,,defibrillator,,144,,,,,node/2963210013,,,,,yes,,,,,,,,,,,,,,Standort Firstresponder.be ist falsch,24/7,,,,,,,+41 79 601 08 20,,,,,,,,,,,,,,,
3097773751,node,47.4559007,8.8988507,,,,,,,,,,,,,,,,,,,,2024-09-07,,,,,,,,,Freibad Eingang,,,,,,,,,defibrillator,,144,,,,,node/3097773751,,,,,no,,,,,,,,,,,,,,,24/7,Badegenossenschaft Bichelsee,,,,,,,,,,,,,,,,,,,,,
3166746986,node,47.5347756,9.1844932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Velounterstand gegenüber Auholzsaal Sulgen,,,,,,,,,defibrillator,,144,,,,,node/3166746986,,,,,,,,,,,,,,,,,,,,24/7,Gemeinde Sulgen,,,,,,,,,,,,,,,,,,,,,
3188383561,node,47.2642142,7.6422379,yes,Rumisberg,,,,,,4539,Dorfstrasse,,,,,,,,,,,,,,,,,,,,Feuerwehrmagazin,,,,,,,,,defibrillator,,144,,,,,node/3188383561,,,,,,,,,,,,,,,,,,,,24/7,,,,,,,+41 32 636 23 25,,,,,,,,,,,,,,,
3193178039,node,46.093704,8.8243193,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,An der Hausfassade,,,,,,,,,defibrillator,,144,,,,,node/3193178039,,,,,no,,,,,,,,,,,,,,,24/7,SUSPI,,,,,,,,,,,,,,,,,,,,,
3201227964,node,47.2665371,7.6209256,yes,Farnern,,,,34,,4539,Dorfstrasse,,,,,,,,,,,,,,,,,,,,Gemeindeverwaltung Farneren,,,,,,,,,defibrillator,,144,,,,,node/3201227964,,,,,,,,,,,,,,,,,,,,24/7,Gemeindeverwaltung Farneren,,,,,,+41 32 636 23 25,,,,,,,,,,,,,,,
3279872675,node,46.5284328,8.6107489,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tra Farmacia Boscolo e Banca Raiffeisen su piazzale Motta,,,,,,,,,defibrillator,,144,,,,,node/3279872675,,,,,,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,
3361809293,node,47.5459525,7.5884023,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahnhof SBB Passarelle Eingang Süd bei Dosenbach,,,,,,,,,defibrillator,,144,,,,,node/3361809293,,,,,yes,,,,,1,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,limited,,
3459789235,node,47.148647,9.1414084,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Vor dem Haupteingang des Hallenbades Amden,,,,,,,,,defibrillator,,144,,,,,node/3459789235,,,,,no,,,,sports_centre,,,,,,,,,Hallenbad Amden,,24/7,Gemeinde Amden,,,,,,+41 58 228 25 00,,,,,,swimming,,,,,,,,,
3508258235,node,46.1744947,8.9433339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,,144,,,,,node/3508258235,,,,,,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,
3523273974,node,46.948819,7.4408851,permissive,,,0,,,,,,,,,,,,,,,,,,,,,144,+41 31 3268080,,,Beim Hotelspersonal melden. - AED im Erdgeschoss im Sanitätszimmer bei der Rezeption. Bitte Öffnungszeiten beachten.,,,,,,,,,defibrillator,,144,,,,,node/3523273974,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/20150608_Schweizerhof_Sicht_Bahnhofplatz_DSC05264.JPG/800px-20150608_Schweizerhof_Sicht_Bahnhofplatz_DSC05264.JPG,,yes,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,survey,,,,,,,,,,"Category:Bahnhofplatz, Bern"
3531534217,node,46.950201,7.4141863,yes,,,,,,,,,,,,,,,,,,,,,,,,144,,,,"AED im Erdgeschoss, rechts an der Wand im Empfangsraum. Zugang via Haupteingang Murtenstrasse mit Gegensprechanlage. Bitte Öffnungszeiten beachten.",,,,,,,,,defibrillator,,144,,,,,node/3531534217,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/20150520_SanPol_Zugang_DSC05200.JPG/800px-20150520_SanPol_Zugang_DSC05200.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/20150520_SanPol_AED_DSC05200.JPG/800px-20150520_SanPol_AED_DSC05200.JPG,yes,,,,,0,,,,,,,,,,24/7,Sanitätspolizei der Stadt Bern,,,,,,,,,,,,,,,,,,,,,Category:Sanitätspolizei (Bern)
3532705581,node,46.9426814,7.3861419,yes,,,0,,,,,,,,,,,,,,,,,,,"Brünnenstrasse 66, 3018 Bern",,144,+41 31 6336001,,,Aussen am Gebäude der Steuerverwaltung,,,,,,,,,defibrillator,,144,,,,,node/3532705581,,,,,no,,,,,,,,,,,,,,,24/7,"Steuerverw, Kt. Bern",,,,,,,,,,,,,,,,,,,,,
3607164743,node,47.1712803,7.8885453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kirchstrasse 9, Pfarreiheim",,,,Hinter Briefkasten Pfarreiheim,,,,,defibrillator,,144,,,,,node/3607164743,,,,,no,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,
3608449220,node,46.9817254,8.3102748,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Standort;Eingang COOP/ RAV, rechts neben der Treppe an der Wand",,,,,,,,,defibrillator,,144,,,,,node/3608449220,,,,,no,,,,,,,,,,,,,,,24/7,Gemeinde Hergiswil,,,,,,,,,,,,,,,,,,,yes,,
3653196823,node,47.4333593,9.6331525,,Au,CH,,,10,,,Kirchweg,,,,,,,,,,,,,,,,,,,,,Am Eingang des Pfarrhauses,beside the frontdoor,,,,,,,defibrillator,,144,,,,,node/3653196823,,,,,,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,
3687707949,node,47.103092,6.8326725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,,144,,,,,node/3687707949,,,,,no,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,
3913195489,node,47.605442,8.7659923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An der Hausmauer,,,,,,,,,defibrillator,,144,,,,,node/3913195489,,,,,no,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,
3918783076,node,45.8613837,9.0079799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicino parcheggi cooperativa,,,,,,,,,defibrillator,,144,,,,,node/3918783076,,,,,,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
3931878711,node,45.9700119,8.8834181,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,at house wall facing the parking,,,,,,,,,defibrillator,,144,,,,,node/3931878711,,,,,no,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,limited,,
3981860525,node,46.8962894,8.2454887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spritzenhaus, rechts neben Tor",,,,,,,,,defibrillator,,144,,,,,node/3981860525,,,,,no,,,,,0,,,,,,,,,,24/7,Gemeinde Sarnen,,,,,,,,,,,,,,,,,,,,,
3993151059,node,46.3908974,8.0636058,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,,144,,,,,node/3993151059,,,,,yes,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,
4131376191,node,45.8602604,9.0042997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicino entrata,,,,,,,,,defibrillator,,144,,,,,node/4131376191,,,,,,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131376192,node,45.8629146,8.997608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicino buvette,,,,,,,,,defibrillator,,144,,,,,node/4131376192,,,,,,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131376193,node,45.860667,9.0216126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edificio del municipio,,,,,,,,,defibrillator,,144,,,,,node/4131376193,,,,,,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131376194,node,45.8477372,9.034895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centro sociale,,,,,,,,,defibrillator,,144,,,,,node/4131376194,,,,,,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131376195,node,45.8428143,9.0366452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palestra Keep fit,,,,,,,,,defibrillator,,144,,,,,node/4131376195,,,,,yes,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131376196,node,45.8435004,9.0295451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Presso ufficio postale,,,,,,,,,defibrillator,,144,,,,,node/4131376196,,,,,no,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131376198,node,45.846599,9.0219196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interno scuole elementare,,,,,,,,,defibrillator,,144,,,,,node/4131376198,,,,,yes,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131376199,node,45.8489733,9.0244531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bar Tennis,,,,,,,,,defibrillator,,144,,,,,node/4131376199,,,,,,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131376200,node,45.8525636,9.0162048,,,,,,,,,,,,,,,,,,,,2024-12-21,,,,,,,,,Entrata municipio,,,,,,,,,defibrillator,,144,,,,,node/4131376200,,,,,no,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131376204,node,45.8350752,9.0276167,yes,,,,,,,,,,,,,,,,,,,2026-01-10,,,,,,,,,Piazzale Municipio,,,,,,,,,defibrillator,,144,,,,,node/4131376204,,,,,no,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,yes,,
4131376207,node,45.8410258,9.0126739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centro sportivo Balerna,,,,,,,,,defibrillator,,144,,,,,node/4131376207,,,,,,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131376209,node,45.8482071,9.0089399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entrata scuole medie,,,,,,,,,defibrillator,,144,,,,,node/4131376209,,,,,,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131376210,node,45.8493439,9.0114846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ufficio Parco delle Gole della Breggia,,,,,,,,,defibrillator,,144,,,,,node/4131376210,,,,,yes,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131376211,node,45.8415221,8.9816401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entrata municipio,,,,,,,,,defibrillator,,144,,,,,node/4131376211,,,,,,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131376212,node,45.8544456,8.9877312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entrata municipio,,,,,,,,,defibrillator,,144,,,,,node/4131376212,,,,,,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131376213,node,45.8584561,8.9715764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entrata bar,,,,,,,,,defibrillator,,144,,,,,node/4131376213,,,,,,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131376214,node,45.8533224,8.9591161,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Entrata,,,,,,,,,defibrillator,,144,,,,,node/4131376214,,,,,,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131376276,node,45.8520641,8.9338583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All'esterno dello spogliatoio del centro sportivo,,,,,,,,,defibrillator,,144,,,,,node/4131376276,,,,,,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131424371,node,45.8781993,8.9492085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entrata spogliatoio presso il centro sportivo,,,,,,,,,defibrillator,,144,,,,,node/4131424371,,,,,,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131424372,node,45.8903977,8.9507504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armadietto esterno,,,,,,,,,defibrillator,,144,,,,,node/4131424372,,,,,,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131424379,node,45.8651765,8.9781003,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Entrata Mercato Coperto,,,,,,,,,defibrillator,,144,,,,,node/4131424379,,,,,no,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131424381,node,45.8658309,8.9847676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entrata Piscine,,,,,,,,,defibrillator,,144,,,,,node/4131424381,,,,,,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131430493,node,45.8726135,8.9883368,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entrata Museo,,,,,,,,,defibrillator,,144,,,,,node/4131430493,,,,,no,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131430494,node,45.872529,8.9932253,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,Entrata ex scuole,,,,,,,,,defibrillator,,144,,,,,node/4131430494,,,,,no,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131430496,node,45.8828193,8.9800973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Infermeria piscine,,,,,,,,,defibrillator,,144,,,,,node/4131430496,,,,,yes,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131430497,node,45.9052919,8.9721898,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parcheggio,,,,,,,,,defibrillator,,144,,,,,node/4131430497,,,,,,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131430498,node,45.9075286,9.0015418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parcheggi,,,,,,,,,defibrillator,,144,,,,,node/4131430498,,,,,no,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,,,
4131430499,node,45.9003102,9.0460008,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Esterno negozio,,,,,,,,,defibrillator,,144,,,,,node/4131430499,,,,,no,,,,,,,,,,,,,,,24/7,Fondazione Ticino Cuore,,,,,,,,,,,,,,,,,,,yes,,
4171946434,node,47.6111736,9.1678029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,,144,,,,,node/4171946434,,,,,no,,,,,,,,,,,,,,,24/7,Strähl Käse AG,,,,,,,,,,,,,,,,,,,yes,,
4171975608,node,47.266444,7.541752,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,,144,,,,,node/4171975608,,,,,,,,,,0,,,,,,,,,,24/7,Seilpark Balmberg,,,,,,+41 32 637 14 14,,,,,,,,,,,,https://seilpark-balmberg.ch,,,
4224249491,node,46.8570605,9.5273101,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beim Hauseingang,,,,,,,,,defibrillator,,144,,,,,node/4224249491,,,,,,,,,,0,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,
4316234217,node,47.5488976,7.5823325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zoo Basel, Haupteingang, unmittelbar nach der Kasse an Hausecke",,,,,,,,,defibrillator,,144,,,,,node/4316234217,,,,,yes,,,,,,,,,,,,,,,24/7,Zoo Basel,,,,,,+41 61 295 35 35,,,,,,,,,,,,,,,
