osm_id,osm_type,lat,lon,access,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,check_date,defibrillator:location,defibrillator:location:en,description,emergency,emergency:phone,fixme,id,indoor,latitude,level,longitude,name,note,opening_hours,operator,phone,postal_code,ref,source,website,wheelchair
7727020234,node,47.5745,7.60485,,,,,,,,,,,defibrillator,144,,node/7727020234,,,,,,,,,,,,,,
7921080494,node,47.5226535,7.6910454,yes,,,,,,,aussen an der Ecke des Bahnhofsgebäudes,,,defibrillator,144,,node/7921080494,no,,,,,,24/7,,,,,,,
8083465542,node,47.4342493,7.3397207,yes,,,,,,,"an der Hauswand, Gebäudefront",,24h öffentlich zugänglich,defibrillator,144,,node/8083465542,no,,,,,,24/7,,,,,,,
8173665988,node,47.5665159,7.6024398,no,,,,,,,6.60,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",defibrillator,144,,node/8173665988,yes,,,,,,,ETH Zürich,+41 44 342 11 88,,,,,
8341301240,node,47.4839217,7.7279459,yes,,,,,,,Bei Eingang Turnhalle,,nur während Öffnungszeiten verfügbar,defibrillator,144,,node/8341301240,yes,,,,,,,Stadt Liestal,+41 61 927 52 18,,,,,
8341301241,node,47.4772369,7.7403992,yes,,,,,,,"Foyer (Eingangsbereich) Sporthalle Frenke, vor Treppenabgang rechts in 1. Untergeschoss",,nur während Öffnungszeiten verfügbar,defibrillator,144,,node/8341301241,yes,,,,,,,Stadt Liestal,+41 61 927 52 18,,,,,
8418047182,node,47.3973166,7.6917776,,,,,,,,,,,defibrillator,144,,node/8418047182,,,,,,,,,,,,,,
8418047183,node,47.3901512,7.6964748,,,,,,,,,,,defibrillator,144,,node/8418047183,,,,,,,,,,,,,,
8446759518,node,47.4974822,7.5921123,yes,,,,,,,Sportplatz Weihermatt Ecken Egertenstrasse,,,defibrillator,144,,node/8446759518,no,,0,,,,24/7,"Gemeinde Reinach, Hauptstrasse 10, 4153 Reinach BL",+41 61 511 60 00,,,,,
8446778417,node,47.5065269,7.6018915,yes,,,,,,,Tramstation Surbaum,,,defibrillator,144,,node/8446778417,no,,0,,,,24/7,"Gemeinde Reinach, Hauptstrasse 10, 4153 Reinach BL",+41 61 511 60 00,,,,,
8557294455,node,47.3887457,7.67634,yes,,,,,,,Links neben der Eingangstüre zur Gemeindeverwaltung,,,defibrillator,144,,node/8557294455,no,,,,,,24/7,Gemeinde Lauwil,+41 61 941 21 21,,,,,
8558170517,node,47.521284,7.7042842,yes,,,,,,,Migros Gehrenacker,,,defibrillator,144,,node/8558170517,no,,,,,,24/7,Gemeinde Pratteln,+41618252111,,,,,
8558174217,node,47.5193719,7.6959455,yes,,,,,,,KSZ,,,defibrillator,144,,node/8558174217,no,,,,,,24/7,Gemeinde Pratteln,+41618252111,,,,,
8561665442,node,47.3913352,7.718723,yes,,,,,,,In ehemaliger Swisscom Telefonkabine (In Gebäude eingebaut),,,defibrillator,144,,node/8561665442,yes,,,,,,24/7,Gemeinde Liedertswil - Gemeinderat Andreas Messerli,+41 79 347 81 44,,,,,
8563854918,node,47.4796648,7.744466,,,,,,,,Beim Empfang,,nur während Öffnungszeiten verfügbar,defibrillator,144,,node/8563854918,yes,,,,,,Mo-Fr: 07:30-18:00,Eidgenössische Zollverwaltung,,,,,,
8590117259,node,47.5853313,7.6517484,yes,,,,,,,Zwischen den Kassen und Pflanzen,,,defibrillator,144,,node/8590117259,yes,,0,,,,"Mo-Fr 08:00-19:00, Sa 07:30-18:00; PH off",Genossenschaft Migros Basel,+41 58 575 83 80,,,,,yes
8612272823,node,47.5071308,7.5223267,no,,,,,,,Feuerwehrmagazin,,Feuerwehrauto,defibrillator,144,,node/8612272823,yes,,,,,,,Feuerwehr,,,,,,
8660342817,node,47.4663255,7.7870927,yes,,,,,,,"Turnhalle Itingen, Schulstrasse 7b",,Links beim Eingang MZH,defibrillator,144,,node/8660342817,no,,,,,,24/7,Gemeinde Itingen,,,,,,
8669129617,node,47.4868307,7.5872342,yes,,,,,,,Schulhaus Fechten bei der Aula,,,defibrillator,144,,node/8669129617,no,,0,,,,24/7,"Gemeinde Reinach, Hauptstrasse 10, 4153 Reinach BL",+41 61 511 60 00,,,,,
8709977809,node,47.3913404,7.7535505,yes,,,,,,,Seitlich visavis Schulhaus Parkplatz,,,defibrillator,144,,node/8709977809,no,,,,,,24/7,Katholisches Pfarramt Oberdorf,,,,,,
8722381418,node,47.5102337,7.765094,yes,,,,,,,"Volgladen, aussen neben dem Eingang",,Frei zugänglich,defibrillator,144,,node/8722381418,no,,,,,,24/7,Einwohnergemeinde Arisdorf,,,,,,
8746933062,node,47.5845825,7.6514488,,,,,,,,Gemeinde Riehen Aussen vor dem Eingang,,,defibrillator,144,,node/8746933062,no,,,,,,24/7,,,,,,,
8764057862,node,47.5495166,7.5805436,no,,,,,,,Befindet sich im Erdgeschoss im Bereich der Aufzüge.,,"während Öffnungszeiten verfügbar, am Empfang melden",defibrillator,144,,node/8764057862,yes,,,,,,,Firma Fracht AG,+41 61 287 95 55,,,,,
8775932605,node,47.4182206,7.543222,yes,,,,,,,Links neben dem Eingang des Kindergartens (im Unterstand),,,defibrillator,144,,node/8775932605,no,,,,,,24/7,Einwohnergemeinde Brislach,+41 79 322 76 76,,,,,
8775959234,node,47.4197769,7.5040282,yes,,,,,,,Beim Eingang des Kirchgemeindehaus,,,defibrillator,144,,node/8775959234,no,,,,,,24/7,"Reformierte Kirchgemeinde Laufental, Corinne Züllig",+41 61 761 40 43,,,,,
8775968100,node,47.3987504,7.6543218,yes,,,,,,,Links am Gebäude beim Eingang zum Gemeindezentrum,,,defibrillator,144,,node/8775968100,no,,,,,,24/7,"Gemeindeverwaltung Bretzwil, Kirchgasse 3, 4207 Bretzwil",+41 61 943 04 40,,,,,
8820880778,node,47.5477948,7.5895015,yes,,,,,,2026-02-07,Neben den Haupteingang,,,defibrillator,144,,node/8820880778,yes,,0,,,,24/7,,,,,,,yes
8846606519,node,47.5230871,7.5498407,yes,,,,,,,Gymnasium Oberwil,,"Haupteingang, Treppe hoch, im Gang des ersten Stockwerks",defibrillator,144,,node/8846606519,yes,,,,,,Mo-Fr 07:00-19:00,Kanton Baselland,+41 61 552 18 18,,,,,
8862818861,node,47.463445,7.7209376,yes,,,,,,,"Rechte Gebäudeseite, beim Hintereingang",,Rechts ums Gebäude Hintereingang,defibrillator,144,,node/8862818861,no,,,,,,24/7,Gemeinde Seltisberg,,,,,,
8874923320,node,47.4735175,7.7594006,yes,,,,,,2026-01-28,Gemeinde Verwaltung ,,Aussen bei Bank ,defibrillator,144,,node/8874923320,no,,,,,,24/7,Gemeinde ,,,,,,
8880216005,node,47.5531018,7.6231512,,,,,,,,Personaleingang,,während Öffnungszeiten verfügbar,defibrillator,144,,node/8880216005,yes,,,,,,,,+41 613173384,,,,,
8880255212,node,47.5518216,7.6323927,,,,,,,,"Sporthalle Sternenfeld, Garderobenbereich",,während Öffnungszeiten verfügbar,defibrillator,144,,node/8880255212,yes,,,,,,,"Gemeinde Birsfelden, Herr Daniel Lerch",+41613173384,,,,,
8895195918,node,47.4397028,7.9093846,yes,,,,,,,Feuerwehr Magazin Vorderdorf,,,defibrillator,144,,node/8895195918,no,,,,,,24/7,,,,,,,
8903589917,node,47.4497232,7.7365,yes,,,,,,,Aussenwand Gemeindeverwaltung,,,defibrillator,144,,node/8903589917,no,,,,,,,Gemeinde Bubendorf,,,,,,
8919957619,node,47.4865422,7.7311426,,,,,,,,Polizei Basel-Landschaft,,,defibrillator,144,,node/8919957619,yes,,,,,,24/7,Polizei Basel-Landschaft,,,,,,
8921679135,node,47.5242612,7.7448659,yes,,,,,,,Eingang Schulhaus/Mehrzweckhalle Mauer in der Nähe des Eingangsbereichs (unter dem Vordach),,,defibrillator,144,,node/8921679135,no,,,,,,24/7,Gemeinde Giebenach,,,,,,
8922244721,node,47.4660978,7.8506158,yes,,,,,,,Migros Innen bei Info,,,defibrillator,144,,node/8922244721,yes,,,,,,Mo-Fr 08:00-20:00; Sa 07:30-18:00,Migros,+41585757100,,,,,
8925724618,node,47.482454,7.7359463,,,,,,,,Migros Liestal bei Info Theke Eingang,,Während Oeffungszeiten Verfügbar.,defibrillator,144,,node/8925724618,yes,,,,,,Mo-Fr 08:00-19:00; Sa 08:00-18:00,Migros,,,,,,
8956420117,node,47.433337,7.8838483,yes,,,,,,,Gemeindeverwaltung Seite Hauptstrasse,,24/7,defibrillator,144,,node/8956420117,no,,,,,,24/7,Gemeinde Rünenberg,+41 61 983 02 60,,,,,
8956974917,node,47.5413462,7.6204624,,,,,,,,Shopping Center Mall UG bei Beldona Shop,,Während Oeffungszeiten Verfügbar,defibrillator,144,,node/8956974917,yes,,,,,,Mo-Fr 09:00-20:00; Sa 09:00-18:00,Center SJP,,,,,,
8960473917,node,47.4640378,7.8109016,yes,,,,,,,Gemeinde Verwaltung /Post Parking,,,defibrillator,144,,node/8960473917,no,,,,,,24/7,Gemeinde,,,,,,
8962755917,node,47.5394403,7.6040429,yes,,,,,,,"Migros, Dreispitz Oben bei WC",,Während Oeffungszeiten Verfügbar,defibrillator,144,,node/8962755917,yes,,,,,,Mo-Fr 09:00-20:00; Sa 09:00-18:00,Migros,,,,,,
8971490662,node,47.5547958,7.6114668,yes,,,,,,,"Aussen rechts an der Apotheke (grüner Kasten), Zürcherstrasse 97",,automatische telefonische Verbindung mit Notfallzentrale nach Öffnen der Box,defibrillator,144,,node/8971490662,no,,,,,,24/7,Breite-Apotheke AG,+41 61 319 98 98,,,,,
8977133617,node,47.5362239,7.6063419,yes,,,,,,,Decathlon Sportgeschäft,,Während Oeffungszeiten Verfügbar,defibrillator,144,,node/8977133617,yes,,,,,,Mo-Fr 09:00-20:00; Sa 09:00-18:00,Decathlon,,,,,,
8980778417,node,47.5535367,7.5890964,yes,,,,,,,Mr. Pickwick,,Neben der Bar,defibrillator,144,,node/8980778417,yes,,,,,,,Mr. Pickwick,,,,,,
8984812456,node,47.5052218,7.5140288,yes,,,,,,,"Schlössli: Hauseingang, an der Wand rechts",,,defibrillator,144,,node/8984812456,no,,,,,,24/7,Gemeinde Biel-Benken,+41 61 726 82 82,,,,,
8987760917,node,47.4633011,7.834628,yes,,,,,,,"Turnhalle, Böckten",,An Strasse zugewandter Gebäudeseite,defibrillator,144,,node/8987760917,no,,,,,,24/7,Gemeinde Böckten,,,,,,
8988075518,node,47.4136803,7.7160553,yes,,,,,,,Schulhaus Eingang.  Aussenwand rechts unter dem Vordach,,,defibrillator,144,,node/8988075518,no,,,,,,24/7,,,,,,,
8995801821,node,47.5729031,7.6819799,yes,,,,,,2025-12-06,Reception St Chrischona Campus,,Während Oeffungszeiten Verfügbar ,defibrillator,144,,node/8995801821,yes,,,,,,Mo-Fr 09:00-12:00,Campus Chrischona ,,,,,,
8995834318,node,47.5731682,7.6806301,yes,,,,,,,Pflegeheim Chrischona,,,defibrillator,144,In welchem Gebäude befindet sich der Defibrillator?,node/8995834318,yes,,,,,,24/7,Pflegeheim Chrischona,,,,,,
8995922117,node,47.5923541,7.6451763,yes,,,,,,,Naturbad,,"Während Öffungszeiten Verfügbar, mitte Mai - mitte Sep.",defibrillator,144,,node/8995922117,yes,,0,,,,May- Sep Mo-Su 09:00-19:00,Naturbad,+41 61 646 81 18,,,,,
8995975918,node,47.5850214,7.6496589,,,,,,,,Polizei Posten,,Während Oeffungszeiten Verfügbar,defibrillator,144,,node/8995975918,yes,,,,,,Mo-Fr 09:00-18:30; Sa 09:00-17:00,Polizei,,,,,,
8998857717,node,47.4628945,7.8531953,yes,,,,,,,Turn Sport Halle,,,defibrillator,144,,node/8998857717,no,,,,,,24/7,Gemeinde,,,,,,
8998912117,node,47.5700068,7.6157475,yes,,,,,,,Migros Bei Blumenabteilung /Kundendienst,,während oeffungszeiten verfügbar,defibrillator,144,,node/8998912117,yes,,,,,,Mo-Fr 08:00-20:00; Sa 07:30-18:00,Migros,,,,,,
8998955517,node,47.4700055,7.8000934,yes,,,,,,,Tennis center Grien,,Während Oeffungszeiten Verfügbar,defibrillator,144,,node/8998955517,yes,,,,,,Mo-Fr 08:30-23:00; Sa-Su 09:00-19:00,Tennis Center Ergolz,,,,,,
8999070117,node,47.5206326,7.6937607,yes,,,,,,,Migros Innen bei Kundendienst Rechte Seite,,,defibrillator,144,,node/8999070117,yes,,,,,,Mo-Fr 08:00-19:00; Sa 08:00-18:00,Migros,,,,,,
9001674917,node,47.4200415,7.5018618,yes,,,,,,,Migros Kundendienst/Blumen,,während oeffnungszeiten verfügbar.,defibrillator,144,,node/9001674917,yes,,,,,,Mo-Fr 08:00-19:00; Sa 08:00-18:00,Migros,,,,,,
9004540917,node,47.532501,7.5731795,yes,,,,,,,Bei Kundendienst Eingang Links,,während oeffungszeiten verfügbar,defibrillator,144,,node/9004540917,yes,,,,,,Mo-Fr 08:00-19:00; Sa 07:30-18:00,Migros,,,,,,
9006331917,node,47.4741901,7.7639798,yes,,,,,,,Sporthalle Stutz ca. 20 m links vom Haupteingang an Wand montiert.,,Jederzeit verfügbar,defibrillator,144,,node/9006331917,no,,,,,,24/7,Gemeinde,,,,,,
9007091596,node,47.4847942,7.7322386,,,,,,,,im Foyer des Verwaltungsgebäudes,,während Öffnungszeiten verfügbar,defibrillator,144,,node/9007091596,yes,,0,,,,"Mo-Fr 07:45 - 12:00, 13:15 - 17:00",Generalsekretariat VGD,,,,,,
9008238117,node,47.4038663,7.7804056,yes,,,,,,,Gemeindeverwaltung,,,defibrillator,144,,node/9008238117,no,,,,,,24/7,,,,,,,
9045528200,node,47.3692102,7.8090651,yes,,,,,,,Beim Restauranteingang linke Seite aussen,,,defibrillator,144,,node/9045528200,no,,,,,,24/7,Bruno Probst,+41 79 962 61 10,,,,,
9056541617,node,47.4305138,7.7360971,yes,,,,,,,"Unter dem Baum, bei Briefkästen",,,defibrillator,144,,node/9056541617,no,,,,,,24/7,,,,,,,
9056666517,node,47.4272261,7.7611904,yes,,,,,,,MZH,,,defibrillator,144,,node/9056666517,no,,,,,,24/7,,,,,,,
9064091917,node,47.5521859,7.6006442,yes,,,,,,,Unmittelbar vor dem Gebäudeeingang,,,defibrillator,144,,node/9064091917,no,,,,,,24/7,Rebecca Santschi,+41 79 544 95 21,,,,,
9074140817,node,47.4266745,7.8983655,yes,,,,,,,Gemeindehaus,,,defibrillator,144,,node/9074140817,no,,,,,,24/7,,,,,,,
9075763717,node,47.4129594,7.8121007,yes,,,,,,,Schulhaus Diegten,,"Treppe hoch, aussen im 1.OG. 
Sichtbar von der Strasse aus. ",defibrillator,144,,node/9075763717,no,,,,,,24/7,Gemeinde Diegten,,,,,,
9076913317,node,47.5261742,7.6968665,yes,,,,,,,Prodega Pratteln,,Beim Bistro,defibrillator,144,,node/9076913317,yes,,,,,,Mo-We 07:00-18:00; Th 07:00-20:00; Sa 07:00-16:00,Prodega Pratteln,,,,,,
9088936117,node,47.5631111,7.5798301,permissive,,,,,,,LZM Unibasel 3. Stock,,"von Treppen aus, gerade aus.",defibrillator,144,,node/9088936117,yes,,,,,,Mo-Fr 08:00-19:00,Universität Basel,,,,,,
9097131507,node,47.4461988,7.6952013,yes,,,,,,,Am Gemeindehaus,,,defibrillator,144,,node/9097131507,no,,,,,,24/7,Gemeinde Lupsingen,+41 61 915 90 50,,,,,
9099924345,node,47.4342506,7.7181777,,,,,,,,"Im Eingangsbereich (Haupteingang Bürotrakt der Thommen-Furler AG), auf der rechten Seite.",,,defibrillator,144,,node/9099924345,yes,,,,,,Mo-Fr 06:00-16:30,Sonja Hauenstein und Esat Toraman,+49619359050,,,,,
9107013776,node,47.5574609,7.5828557,yes,,,,,,,Im Hauseingeng Rechts an der Wand.,,,defibrillator,144,,node/9107013776,yes,,,,,,Mo-Fr 06:00-18:00,"ED Basel-Stadt, Digitalisierung und Informatik DIG-IT, Basel-Stadt",+41 61 267 42 22,,,,,
9107124551,node,47.542233,7.5748436,,,,,,,,Am Patientenempfang Haupteingang,,,defibrillator,144,,node/9107124551,yes,,,,,,Mo-Fr 08:00-18:00,"Vista Klinik Binningen, Heike Müller",+41 61 426 60 00,,,,,
9111836770,node,47.4845719,7.7348485,yes,,,,,,,"Foyer Kirchgemeindehaus, Wand links neben Eingangstüre",,während Öffnungszeiten verfügbar,defibrillator,144,,node/9111836770,yes,,,,,,,Reformierte Kirchgemeinde Liestal-Seltisberg,+41 61 921 22 50,,,,,
9112852017,node,47.5278158,7.6464066,,,,,,,,Toppharm Apotheke Arbogast,,,defibrillator,144,,node/9112852017,yes,,,,,,Mo-Fr 08:00-19:00; Sa 08:00-18:00,,,,,,,
9115890817,node,47.496365,7.7233571,,,,,,,,Amag Liestal Reception Eingang Rechts,,Während Oeffungszeiten Verfügbar!,defibrillator,144,,node/9115890817,yes,,,,,,"Mo-Fr 08:15-12:00,13:30-18:30; Sa 09:00-16:00",Amag Liestal,,,,,,
9128863342,node,47.5524304,7.5950106,yes,,,,,,,Neben Eingang Bau- und Verkehrsdepartement Basel-Stadt,,,defibrillator,144,,node/9128863342,no,,,,,,24/7,,,,,,,
9131353517,node,47.5803125,7.5959054,yes,,,,,,,Stücki Center Kiosk /Migros,,während Oeffzngszeiten Verfügbar,defibrillator,144,,node/9131353517,yes,,,,,,Mo-Fr 09:00-19:00; Sa 09:00-18:00,,,,,,,
9131353518,node,47.5803125,7.5959054,yes,,,,,,,Stücki Center direkt bei Migros Kundendienst,,während Oeffungszeiten,defibrillator,144,,node/9131353518,yes,,,,,,Mo-Fr 09:00-19:00; Sa 09:00-18:00,Migros,,,,,,
9137525705,node,47.5034378,7.5968819,yes,,,,,,,"Mischeli Spielplatz, neben der WC-Anlage",,,defibrillator,144,,node/9137525705,no,,0,,,,24/7,"Gemeinde Reinach, Hauptstrasse 10, 4153 Reinach BL",+41 61 511 60 00,,,,,
9137525706,node,47.4998271,7.5955895,private,,,,,,,"Haupteingang, rechts im Windfang",,während Öffnungszeiten verfügbar,defibrillator,144,,node/9137525706,yes,,0,,,,,Wohnhaus Schönenbach,+41 61 500 62 20,,,,,
9140201517,node,47.5023528,7.5964055,,,,,,,,"Einkaufscenter Mischeli, im Innenhof, neben gelbem Post-Briefkasten, bei Lift",,Während Öffnungszeiten Migros zugänglich,defibrillator,144,,node/9140201517,yes,,,,,,Mo-Sa,? Gemeinde Reinach BL?,,,,,,
9141391384,node,47.5112379,7.5980175,yes,,,,,,,Beim Kindergarten rechts am Zaun,,,defibrillator,144,,node/9141391384,no,,0,,,,24/7,"Gemeinde Reinach, Hauptstrasse 10, 4153 Reinach BL",+41 61 511 60 00,,,,,
9152026617,node,47.4943509,7.5993007,yes,,,,,,,Wohn- und Bürozentrum Reinach (WBZ),,Beim Eingangsbereich rechts,defibrillator,144,,node/9152026617,no,,,,,,24/7,Wohn- und Bürozentrum Reinach (WBZ),+41 61 755 77 77,,,,,
9157700989,node,47.5376662,7.6338684,,,,,,,,Neben dem Museum-Haupteingang.,,,defibrillator,144,,node/9157700989,yes,,,,,,Mo-Su 10:00-17:00,,,,,,,
9168319086,node,47.4017524,7.4267592,yes,,,,,,,Beim Haupteingang,,24h verfügbar,defibrillator,144,,node/9168319086,no,,,,,,,Gemeinde Liesberg,+41 61 775 97 97,,,,,
9168319087,node,47.395724,7.4214913,yes,,,,,,,An der Wand bei der Postautohaltestelle,,,defibrillator,144,,node/9168319087,no,,,,,,24/7,Gemeinde Liesberg,+41 61 775 97 97,,,,,
9168319088,node,47.4039128,7.4300086,yes,,,,,,,An der Mauer zwischen Dorfstrasse 11 und Dorfstrasse 15 (Schulhaus),,,defibrillator,144,,node/9168319088,no,,,,,,24/7,Gemeinde Liesberg,+41 61 775 97 97,,,,,
9187601688,node,47.5072339,7.5232758,yes,,,,,,,Aussenbereich rechts neben Schulhauseingang,,,defibrillator,144,,node/9187601688,no,,,,,,24/7,Gemeindeverwaltung Biel-Benken,+41 61 726 82 82,,,,,
9187639163,node,47.4299045,7.7105865,yes,,,,,,,Der Defibrillator befindet sichbeim Sigristenhaus Er ist jederzeit frei zugänglich und dank einem beheizten Gehäuse auch bei Kälte betriebsbereit.,,,defibrillator,144,,node/9187639163,no,,,,,,24/7,"Reformierte Kirchgemeinde Ziefen, Lupsingen, Arboldswil",+41 61 911 11 16,,,,,
9187639705,node,47.4323331,7.7079177,yes,,,,,,,"Eienstrasse 21, 4417 Ziefen",,,defibrillator,144,,node/9187639705,yes,,,,,Zugang in der Pausenhalle,24/7,Einwohnergemeinde Ziefen,+41 61 935 95 95,,,,,
9199400450,node,47.5418609,7.5750411,yes,,,,,,,Neben Eingang der Verwaltung,,,defibrillator,144,,node/9199400450,no,,,,,,,,,,,,,
9199400451,node,47.541956,7.57359,yes,,,,,,,Bauabteilungen der Gemeindeverwaltung,,während Öffnungszeiten verfügbar,defibrillator,144,,node/9199400451,yes,,,,,,,,,,,,,
9199400452,node,47.5347651,7.5733451,,,,,,,,Werkhof,,während Öffnungszeiten verfügbar,defibrillator,144,,node/9199400452,yes,,,,,,,,,,,,,
9199400453,node,47.5334807,7.5682932,,,,,,,,Garderobengebäude Spiegelfeld (auch für Vereine gedacht),,nur während Öffnungszeite,defibrillator,144,,node/9199400453,yes,,,,,,,,,,,,,
9207324954,node,47.4855349,7.5973725,private,,,,,,,im Büro,,,defibrillator,144,,node/9207324954,yes,,0,,,,Mo-Fr 08:30-17:30,"TopPharm Apotheken und Drogerien Genossenschaft, Neuhofstrasse 11, 4153 Reinach BL",+41 61 416 90 90,,,,,
9235211917,node,47.4209347,7.5004713,yes,,,,,,,Fussgängerdurchgang beim Stadthaus Laufen,,Öffentlich zugänglich,defibrillator,144,,node/9235211917,no,,,,,,24/7,Stadt Laufen,,,,,,
9238108993,node,47.4504678,7.5187686,yes,,,,,,,An der Hausfassade des Alten Schulhauses / Gemeindeverwaltung,,,defibrillator,144,,node/9238108993,no,,,,,,24/7,Gemeinde Blauen,+41 61 761 17 73,,,,,
9238108994,node,47.4487854,7.5210428,yes,,,,,,,Beim Unterstand/Veloständer auf dem Schulhausplatz,,,defibrillator,144,,node/9238108994,no,,,,,,24/7,Gemeinde Blauen,+41 61 761 17 73,,,,,
9245636160,node,47.5243538,7.6939809,,,,,,,,1. Stock Büro Axept / direkt beim Eingang,,während Öffnungszeiten verfügbar,defibrillator,144,,node/9245636160,yes,,1,,,,,Axept Business Software AG,+41 58 871 94 33,,,,,
9253648217,node,47.5266933,7.610871,no,,,,,,,Parkhaus Spenglerpark 4 UG Aufzüge,,während Öffnungszeiten Parkhaus,defibrillator,144,,node/9253648217,yes,,,,,,,Spengler Park,,,,,,
9264311717,node,47.5493367,7.5873122,,,,,,,,Basefit.ch Säule neben Rezeption,,während Öffnungszeiten Fitness,defibrillator,144,,node/9264311717,yes,,,,,,09:00-22:00,,,,,,,
9266385617,node,47.5517252,7.6347314,,,,,,,,Dachser Spedition AG,,In Lagerschleuse,defibrillator,144,,node/9266385617,yes,,,,,,08:00 - 20:00,LifeTec / Dachser,+41613151242,,,,,
9271939917,node,47.4867789,7.8887251,yes,,,,,,,Turnhalle rechts neben Eingang ,,frei zugänglich ,defibrillator,144,,node/9271939917,no,,,,,,24/7,,,,,,,
9277222781,node,47.5467417,7.5947667,,,,,,,,"Erdgeschoss, Mitte Gang in der Schublade (gekennzeichnet)",,während Öffnungszeiten verfügbar,defibrillator,144,,node/9277222781,yes,,,,,,,Peter Gäth,+41 61 284 42 94,,,,,
9277229715,node,47.5095213,7.6136675,,,,,,,,3. Stock,,während Öffnungszeiten verfügbar,defibrillator,144,,node/9277229715,yes,,,,,,,Peter Gäth,+41 61 284 42 94,,,,,
9277279117,node,47.558124,7.5853977,yes,,,,,,,"1. Stock, am Ende vom grossen Bürovorraum, frei zugänglich",,während Öffnungszeiten verfügbar ,defibrillator,144,,node/9277279117,yes,,,,,,Mo-Fr: 09:00-17:00,"Theologische Fakultät, Universität Basel",+41612072900,,,,,
9285731641,node,47.4985844,7.5578803,yes,,,,,,,Foyer Mehrzweckhalle,,,defibrillator,144,,node/9285731641,no,,,,,,Mo-Fr 06:30-17:00,Gemeinde Therwil Fabian Vögeli,+41 79 663 07 72,,,,,
9285731642,node,47.4991317,7.5569542,yes,,,,,,,Rechts Neben Metzgerei Mathis an Wand montiert,,,defibrillator,144,,node/9285731642,no,,,,,,24/7,Gemeinde Therwil Fabian Vögeli,+41 79 663 07 72,,,,,
9285731643,node,47.4997315,7.5504693,yes,,,,,,,99er Sporthalle im Foyer links neben Office,,,defibrillator,144,,node/9285731643,no,,,,,,Mo-Fr 06:30-20:00,Gemeinde Therwil Fabian Vögeli,+41 79 663 07 72,,,,,
9285731644,node,47.494222,7.5564165,yes,,,,,,,"Clubhaus FC Therwil, Aussen am Gebäude montiert, links von Geräteraum",,,defibrillator,144,,node/9285731644,no,,,,,,24/7,Gemeinde Therwil Fabian Vögeli,+41 79 663 07 72,,,,,
9285731645,node,47.5032867,7.5593951,yes,,,,,,,Schulanlage Wilmatt zwischen Kindergarten und Aula an Wand montiert.,,,defibrillator,144,,node/9285731645,no,,,,,,24/7,Gemeinde Therwil Fabian Vögeli,+41 79 663 07 72,,,,,
9302010617,node,47.4823143,7.7442452,,,,,,,,Eingang Hallenbad,,während Öffnungszeiten,defibrillator,144,,node/9302010617,yes,,,,,,06:00-20:00,Volks- und Sportbad Gitterli AG,,,,,,
