osm_id,osm_type,lat,lon,access,access:conditional,access:note,activation,addr:city,addr:country,addr:floor,addr:housenumber,addr:postcode,addr:street,alarm,amenity,bicycle,check_date,check_date:opening_hours,colour,contact:city,contact:country,contact:email,contact:housenumber,contact:phone,contact:postcode,contact:street,contact:website,covered,defibrillator:location,defibrillator:location:de,defibrillator:location:en,defibrillator:location:fr,description,destination,email,emergency,emergency:phone,fitness,fixme,foot,healthcare,id,image,indoor,latitude,level,level:ref,longitude,motor_vehicle,name,note,office,opening_hours,operator,operator:type,phone,phone:CH,postal_code,recycling_type,ref,source,start_date,survey:date,temporary,website,wheelchair
5390805722,node,47.3681143,8.7771629,,,,,,,,,,,,,yes,,,,,,,,,,,,,Schulhaus Obermatt,,,,,,,defibrillator,144,,,yes,,node/5390805722,,no,,,,,no,,,,24/7,Gemeinde Pfäffikon,,,,,,,,,,,,
5397732423,node,47.3642997,8.7909494,,,,,,,,,,,,,,2025-11-29,,,,,,,,,,,,Schulhaus Mettlen Unter Vordach,,,,,,,defibrillator,144,,,,,node/5397732423,,no,,,,,,,,,24/7,Gemeinde Pfäffikon / Schulhaus Mettlen,,,,,,,,,,,,
5486406921,node,47.3356666,8.7672576,yes,,,,,,,,,,,,,,,,,,,,,,,,,Alter Bahnhof Westseite,,,,,,,defibrillator,144,,,,,node/5486406921,,no,,,,,,,,,24/7,Gemeinde Seegräben,,+41 43 477 40 90,,,,,,,,,,
5661079523,node,47.3949785,8.8277923,,,,,,,,,,,,,,,,,,,,,,,,,,Altes Schulhaus Hermatswil,,,,,,,defibrillator,144,,,,,node/5661079523,,no,,,,,,,,,24/7,Gemeinde Pfäffikon,,,,,,,,,,,,
5699100721,node,47.4193381,8.8089819,yes,,,,,,,,,,,,,,,,,,,,,,,,,In Bushaltestelle,,,,,,,defibrillator,144,,,,,node/5699100721,,no,,,,,,,,,24/7,Gemeinde Wildberg,,,,,,,,,,,,
5719351201,node,47.4459018,8.5698704,,,,,,,,,,,,,,,,,,,,,,,,,,"SR Technics, Building T22",,,,nur mit Zugangskarte erreichbar,,,defibrillator,144,,,,,node/5719351201,,yes,,0,,,,,,,24/7,SR Technics Switzerland Ltd.,,,,,,,,,,,,
5722961647,node,47.4090381,8.5114992,no,,,,,,,,,,,,,,,,,,,,,,,,,"HPL: E20 Eingang, Infomonitor",,,,"über Alarmzentrale 24h verfügbar, ansonsten während Betriebszeiten",,,defibrillator,144,,,,,node/5722961647,,yes,,,,,,,,,,ETH Zürich,,+41 44 342 11 88,,,,,,,,,,
5738599622,node,47.2923429,8.5653767,yes,,,,,,,,,,,,,,,,,,,,+41 44 723 21 11,,,,,Eingangsbereich,,,,,,,defibrillator,144,,,,,node/5738599622,,yes,,,,,,,während der Öffnungszeiten verfügbar,,,Gemeindeverwaltung Thalwil,,,,,,,,,,,,
5779894269,node,47.2531156,8.7770626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,node/5779894269,,,,,,,,,,,,,,,,,,,,,,,,
5807805187,node,47.3666867,8.5484823,yes,,,,,,,,,,,,,,,,,,,,,,,,,Neben dem Aufgang,,,,,,,defibrillator,144,,,yes,,node/5807805187,,yes,,-1,,,,,,,24/7,,,,,,,,,,,,,limited
5811716467,node,47.4130297,8.5477236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,node/5811716467,,yes,,0,,,,,,,,,,,,,,,,,,,,
5831745723,node,47.4089119,8.5492219,yes,,,,,,,,,,,,,,,,,,,,,,,,,Empfangsbereich neben Liftanlage,,,,,,,defibrillator,144,,,,,node/5831745723,,yes,,,,,,,,,,ewz,,,,,,,,,,,,
5928704287,node,47.3457088,8.7746574,yes,,,,,,,,,,,,,,,,,,,,,,,,,Badehaus im Zwischengang Garderobe,,,,,,,defibrillator,144,,,,,node/5928704287,,no,,,,,,,,,24/7,Gemeinde Seegräben,,+41 43 477 40 90,,,,,,,,,,
6089506385,node,47.3020999,8.6895347,yes,,,,,,,,,,,,,,,,,,,,,,,,,Pavillon (WC Anlage),,,,,,,defibrillator,144,,,,,node/6089506385,,no,,,,,,,,,24/7,Gemeinde Egg H.J. Schiess,,+41 79 418 09 64,,,,,,,,,,yes
6123575176,node,47.4135413,8.6201188,,,,,,,,,,,,,,,,,,,,,,,,,,Gegenüber vom Empfang. / Opposite the reception.,,,,,,,defibrillator,144,,,,,node/6123575176,,yes,,0,,,,,,,,Implenia Schweiz AG,,,,,,,,,,,,
6398162759,node,47.4142233,8.5599652,yes,,,,,,,,,,,,,,,,,,,,,,,,,Hängt an der Wand links neben dem Eingang zur Rezeption. / Hanging on the wall to the left of the entrance of the reception.,,,,,,,defibrillator,144,,,,,node/6398162759,,no,,0,,,,,,,24/7,Baugenossenschaft mehr als wohnen (MAW),,+41 44 325 40 45,,,,,,,,,,limited
6423153662,node,47.3104054,8.4790764,,,,,,,,,,,,,,,,,,,,,,,,,,Guggi-Beizli,,,,,,,defibrillator,144,,,,,node/6423153662,,yes,,,,,,,,,Mo-Fr 09:00-18:30; Sa 08:30-16:30,Guggi-Beizli,,,,,,,,,,,,
6497155938,node,47.541251,8.5722091,yes,,,,,,,,,,,,,,,,,,,,,,,,,Am Friedhofsgebäude,,,,,,,defibrillator,144,,,,,node/6497155938,,no,,,,,,,,,24/7,Friedhofwesen Rorbas-Freienstein-Teufen,,,,,,,,,,,,
6497172539,node,47.5515774,8.5558831,yes,,,,,,,,,,,,,,,,,,,,,,,,,Bei der Schiffanlegestelle,,,,,,,defibrillator,144,,,,,node/6497172539,,no,,,,,,,,,24/7,Politische Gemeinde Freienstein-Teufen,,,,,,,,,,,,
6497177507,node,47.5304897,8.5828982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,node/6497177507,,yes,,,,,,,,,,Politische Gemeinde Freienstein-Teufen,,,,,,,,,,,,
6510614032,node,47.2992062,8.4428796,yes,,,,,,,,,,,,,,,,,,,,,,,,,"Kolb, Warenannahme",,,,,,,defibrillator,144,,,,,node/6510614032,,no,,,,,,,,,24/7,Kolb,,,,,,,,,,,,
6660406329,node,47.3004597,8.5507377,yes,,,,,,,,,,,,,,,,,,,,,,,,,Im Eingangsbereich vom Migros Restaurant vom Park im Grüene.,,,,,,,defibrillator,144,,,,,node/6660406329,,yes,,0,,,,,,,Mo-Su 08:00-19:00; PH unknown,,,,,,,,,,,,,yes
6815259608,node,47.5748634,8.5173021,yes,,,,,,,,,,,,,,,,,,,,,,,,,An der Aussenwand des Gasthofs beim Eingang zur Terrasse im grünen Kasten.,,,,,,,defibrillator,144,,,,,node/6815259608,,no,,,,,,,,,24/7,,,,,,,,,,,,,yes
6965593207,node,47.5036924,8.7273269,yes,,,,,,,,,,,,,,,,,,,,,,,,,Bei den Liften,,,,,,,defibrillator,144,,,,,node/6965593207,,yes,,0,,,,,,,,ZHAW,,,,,,,,,,,,yes
6979662526,node,47.3785064,8.5311135,yes,,,,,,,,,,,,,,,,,,,,,,,,,Beim Haupteingang links. Vor dem Büro des Hausmeisters,,,,,,,defibrillator,144,,,,,node/6979662526,,yes,,0,,,,,,,Mo-Fr 06:30-20:45,,,,,,,,,,,,,yes
6989544718,node,47.2884432,8.8526626,yes,,,,Hinwil,,,10,8340,Schulhausstrasse,,,,,,,,,defi@samariterhinwil.ch,,,,,,,Ausserhalb des Schulhauses,,,,,,,defibrillator,144,,,,,node/6989544718,,no,,,,,,AED Schulhaus Hadlikon Hinwil,,,24/7,Schule Hinwil,,+41 79 883 86 91,,,,,,,,,,
6992457786,node,47.3016627,8.7627461,,,,,,,,,,,,,,,,,,,,,,,,,,Hintereingang Gemeinde,,,,nur während Öffnungszeiten der Gemeinde verfügbar,,,defibrillator,144,,,,,node/6992457786,,yes,,,,,,AED Gemeindehaus,,,"Mo-Fr 08:00-11:30,14:00-16:30",Gemeinde Gossau,,,,,,,,,,,,
6992457787,node,47.2916851,8.7766063,private,,,,,,,,,,,,,,,,,,,,,,,,,Feuerwehr Gossau im SAN PTF,,,,nur über Tel.118,,,defibrillator,144,,,,,node/6992457787,,yes,,0,,,,AED Feuerwehr Gossau,,,,Feuerwehr Gossau,,,,,,,,,,,,
6992457788,node,47.3069298,8.7669117,no,,,,,,,,,,,,,,,,,,,,,,,,,Badi Gossau,,,,in der Badi (Sanitätszimmer),,,defibrillator,144,,,,,node/6992457788,,yes,,,,,,AED Badi Gossau,,,,Gemeinde Gossau,,,,,,,,,,,,
6992457789,node,47.2981534,8.7702034,no,,,,,,,,,,,,,,,,,,,,,,,,,Altrüti,,,,nur während Veranstaltungen verfügbar,,,defibrillator,144,,,,,node/6992457789,,yes,,,,,,AED Festhütte Altrüti,,,,Gemeinde Gossau,,,,,,,,,,,,
6992457790,node,47.3011605,8.7676615,,,,,,,,,,,,,,,,,,,,,,,,,,Schulhaus Berg,,,,nur während Schulbetrieb verfügbar,,,defibrillator,144,,,,,node/6992457790,,yes,,,,,,AED Schulhaus Berg 1,,,Mo-Fr 08:00-16:00,Gemeinde Gossau,,,,,,,,,,,,
6992457791,node,47.2865181,8.8001561,yes,,,,,,,,,,,,,,,,,,,,,,,,,Links beim Schwimmbädli beim Abgang zur ZSO-Anlage,,,,24h verfügbar,,,defibrillator,144,,,,,node/6992457791,,no,,,,,,AED Schulhaus Schönbüel,,,24/7,Gemeinde Gossau,,,,,,,,,,,,
7080077070,node,47.4017078,8.6012922,customers,,,,,,,,,,,,,,,,,,,,,,,,,Im Pfister beim Haupteingang nach der Drehtüre links. Vis à vis der Kasse.,,,,,,,defibrillator,144,,,,,node/7080077070,,yes,,0,,,,,,,Mo-Fr 10:00-20:00; Sa 09:00-18:00; Su off; PH off,Möbel Pfister,,+41 44 823 95 22,,,,,,,,,,yes
7080244210,node,47.4136148,8.6225113,yes,,,,,,,,,,,,,,,,,,,,,,,,,Beim Eingang links bei den Schliessfächern,,,,,währen Öffnungszeit verfügbar,,defibrillator,144,,,,,node/7080244210,,yes,,0,,,,,,,Mo-Sa 09:00-21:00,IKEA AG,,,,,,,,,,,,yes
7089666582,node,47.3834157,8.5479679,,,,,,,,,,,,,,,,,,,,,,,,,,An Säule zu Gaststube neben Küche,,,,,,,defibrillator,144,,,,,node/7089666582,,yes,,,,,,,,,,Linde Oberstrass,,,,,,,,,,,,
7126089878,node,47.3794234,8.4978017,,,,,,,,,,,,,,,,,,,,,,,,,,Beim Haupteingang rects die Treppe runter,,,,,,,defibrillator,144,,,,,node/7126089878,,yes,,,,,,,,,,,,,,,,,,,,,,no
7179636243,node,47.3902069,8.5238766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,node/7179636243,,yes,,,,,,,,,,,,,,,,,,,,,,
7202794359,node,47.4798084,8.553641,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,node/7202794359,,no,,,,,,Tierheim Pfötli,,,24/7,Stiftung TierRettungsDienst,,,,,,,,,,,,
7238086368,node,47.2430308,8.4958601,yes,,,,,,,,,,,,,,,,,,,,,,,,,"Engelscheune, an der Wand in Richtung Dorfplatz.",,,,,,,defibrillator,144,,,,,node/7238086368,,no,,,,,,,,,24/7,,,,,,,,,,,,,
7246185951,node,47.3864863,8.535894,,,,,,,,,,,,,,,,,,,,,,,,,,Im Erdgeschoss links neben der Hauptreppe in den ersten Stock,,,,,,,defibrillator,144,,,,,node/7246185951,,yes,,,,,,,,,,,,,,,,,,,,,,yes
7261901566,node,47.2793546,8.7595689,permissive,,,,,,,,,,,,,,,,,,,,,,,,,während Öffnungszeiten,,,,,,,defibrillator,144,,,,,node/7261901566,,yes,,,,,,AED Stiftung Züriwerk,,,Mo-Fr 07:00-20:00,Zoll AED,,,,,,,,,,,,
7261907324,node,47.28043,8.7606364,permissive,,,,,,,,,,,,,,,,,,,,,,,,,bei geöffneten Türen,,,,,,,defibrillator,144,,,,,node/7261907324,,yes,,,,,,AED Haus Rank,,,Mo-Fr 07:00-19:00,Zoll AED,,,,,,,,,,,,
7261907326,node,47.2795232,8.7615761,permissive,,,,,,,,,,,,,,,,,,,,,,,,,bei geöffneten Türen,,,,,,,defibrillator,144,,,,,node/7261907326,,yes,,,,,,AED Haus Neubau,,,Mo-Fr 07:00-19:00,Zoll AED,,,,,,,,,,,,
7261976337,node,47.2848415,8.7625853,yes,,,,,,,,,,,,,,,,,,,,,,,,,"im Notariat, erster Stock",,,,,,,defibrillator,144,,,,,node/7261976337,,yes,,1,,,,AED Notariat,,,"Mo-Fr 08:00-11:30,14:00-17:00",Zoll AED,,,,,,,,,,,,
7261977985,node,47.2802262,8.7589145,permissive,,,,,,,,,,,,,,,,,,,,,,,,,während Öffnungszeiten,,,,,,,defibrillator,144,,,,,node/7261977985,,yes,,,,,,AED SEWO,,,Mo-Su 07:00-20:00,Zoll AED,,,,,,,,,,,,
7261989654,node,47.2824279,8.7586677,no,,,,,,,,,,,,,,,,,,,,,,,,,während Öffnungszeiten,,,,,,,defibrillator,144,,,,,node/7261989654,,yes,,,,,,AED Sherwin Williams,,,,Zoll AED,,,,,,,,,,,,
7262012842,node,47.2815299,8.7641957,permissive,,,,,,,,,,,,,,,,,,,,,,,,,Bademeisterbüro (nur bei Badbetrieb),,,,,,,defibrillator,144,,,,,node/7262012842,,yes,,,,,,AED Schwimmbad Tränkibach,,,,Zoll AED,,,,,,,,,,,,
7284227162,node,47.2448845,8.7377573,,,,,,,,,,,,,,,,,,,,,,,,,,Eingang Tennisclub Frohberg,,,,,,,defibrillator,144,,,,,node/7284227162,,,,,,,,,,,,,,,,,,,,,,,,
7289424966,node,47.3840017,8.4949391,customers,,,,,,,,,,,,,,,,,,,,,,,,,"Durch den Haupteingang, links am am Empfang vorbei, gegenüber den Aufzügen",,,,,,,defibrillator,144,,,,,node/7289424966,,yes,,0,,,,,,,,Kuoni Mueller & Partner Holding AG,,+41 58 317 17 17,,,,,,,,,,yes
7292472584,node,47.2804111,8.8418241,yes,,,,,,,,,,,,,,,,,,,,,,,,,Eingang zur Turnhalle,,,,,,,defibrillator,144,,,,,node/7292472584,,yes,,,,,,AED Schulhaus Schuepis,,,24/7,Gemeinde Dürnten,,,,,,,,,,,,
7292485796,node,47.2671129,8.8498787,yes,,,,,,,,,,,,,,,,,,,,,,,,,Eingang zur Turnhalle,,,,,,,defibrillator,144,,,,,node/7292485796,,yes,,,,,,AED Schulhaus Bogenacker,,,24/7,Gemeinde Dürnten,,,,,,,,,,,,
7292489468,node,47.2721061,8.8531282,yes,,,,,,,,,,,,,,,,,,,,,,,,,Eingang zur Turnhalle,,,,,,,defibrillator,144,,,,,node/7292489468,,yes,,,,,,AED Schulhaus Nauen,,,24/7,Gemeinde Dürnten,,,,,,,,,,,,
7292503185,node,47.2736979,8.8560041,yes,,,,,,,,,,,,,,,,,,,,,,,,,Eingang,,,,,,,defibrillator,144,,,,,node/7292503185,,yes,,,,,,AED Mehrzweckhalle Blatt,,,24/7,Gemeinde Dürnten,,,,,,,,,,,,
7292504142,node,47.2778288,8.8429527,yes,,,,,,,,,,,,,,,,,,,,,,,,,Eingang,,,,,,,defibrillator,144,,,,,node/7292504142,,yes,,,,,,AED Gemeindehaus II,,,24/7,Gemeinde Dürnten,,,,,,,,,,,,
7380050795,node,47.377637,8.4880788,yes,,,,,,,,,,,,,,,,,,,,,,,,,Im Erdgeschosse neben der Treppe zur Garage.,,,,,,,defibrillator,144,,,,,node/7380050795,,yes,,,,,,,,,24/7,Siedlungsgenossenschaft Sunnige Hof,,+41443172020,,,,,,,,,,yes
7442277478,node,47.4978838,8.7313947,yes,,,,,,,8,,Technikumstrasse,,,,,,,,,,,,,,,,Beim Haupteingang innen links gleich beim Eingang.,,,,,,,defibrillator,144,,,,,node/7442277478,,yes,,,,,,,,,Mo-Fr 08:00-23:00; Sa 09:00-23:00,Stadt Winterthur Alte Kaserne Kulturzentrum / Kilian Schmid,,+41 52 267 57 75,,,,,,,,,,
7442977335,node,47.3836794,8.6530959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,node/7442977335,,,,,,,,,,,,,,,,,,,,,,,,
7559369525,node,47.2884166,8.5342625,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,node/7559369525,,no,,,,,,,,,24/7,,,,,,,,,,,,,
7559415608,node,47.431836,8.5597846,yes,,,,,,,,,,,,,,,,,,,,,,,,,Hotelplan Hauptsitz,,,,,,,defibrillator,144,,,,,node/7559415608,,yes,,,,,,,,,Mo-Fr 08:00-18:00,,,,,,,,,,,,,
7559504743,node,47.3800023,8.6585737,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,node/7559504743,,,,,,,,,,,24/7,,,,,,,,,,,,,
7559504744,node,47.3824314,8.6563877,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,node/7559504744,,,,,,,,,,,24/7,,,,,,,,,,,,,
7559504745,node,47.3849472,8.6587018,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,node/7559504745,,no,,,,,,,,,24/7,,,,,,,,,,,,,
7561412480,node,47.5279325,8.4690717,,,,,,,,,,,,,,,,,,,,,,,,,,in einem PW,,,,,,,defibrillator,144,,,,,node/7561412480,,,,,,,,,,,24/7,,,,,,,,,,,,,
7561412481,node,47.5355314,8.4678335,yes,,,,,,,,,,,,,,,,,,,,,,,,,Beim Eingang links (nur bei geöffneter Schule),,,,,,,defibrillator,144,,,,,node/7561412481,,yes,,,,,,,,,,OS Stadel,,,,,,,,,,,,
7561412482,node,47.5345738,8.4682689,yes,,,,,,,,,,,,,,,,,,,,,,,,,beim Haupteingang,,,,,,,defibrillator,144,,,,,node/7561412482,,,,,,,,,,,24/7,Gemeinde Stadel,,,,,,,,,,,,
7561412483,node,47.5279949,8.4676011,yes,,,,,,,,,,,,,,,,,,,,,,,,,"Aussen am Gemeindehaus, links neben Eingang.",,,,,,,defibrillator,144,,,,,node/7561412483,,no,,,,,,,Nach Gebrauch bitte Werkhof Stadel 044 858 23 06 informieren danke,,24/7,Gemeinde Stadel,,,,,,,,,,,,
7561453184,node,47.3864463,8.5474779,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,node/7561453184,,yes,,,,,,,,,,,,,,,,,,,,,,
7565155648,node,47.5363388,8.7928996,yes,,,,,,,,,,,,,,,,,,,,,,,,,Aussenbereich am Bürogebäude,,,,,,,defibrillator,144,,,,,node/7565155648,,no,,,,,,,,,24/7,,,,,,,,,,,,,
