osm_id,osm_type,lat,lon,access,check_date,covered,defibrillator:location,description,emergency,emergency:phone,fixme,id,indoor,level,location,mapillary,name,note,note:de,opening_hours,operator,phone,source,website,wheelchair
7637818987,node,46.844499,8.6428705,,,,,Leitstelle TTG / Sanitätszimmer,defibrillator,144,,node/7637818987,,,,,Alpinmedic,,,,,,,,
7637818988,node,46.8199751,8.6513027,,,,,Rezeption,defibrillator,144,,node/7637818988,,,,,Hotel Frohsinn,,,,,,,,
7637818989,node,46.8196144,8.6469281,yes,2024-02-06,yes,"Pfarreizentrum, Aussenfassade Eingang Nord",Eingang,defibrillator,144,,node/7637818989,no,0,,,Pfarreizentrum,,,24/7,Gemeinde Erstfeld,+41 41 882 01 30,,,
7637818990,node,46.830427,8.6413106,,,,,Empfang EG,defibrillator,144,,node/7637818990,,,,,STRABAG AG,,,,,,,,
7637818991,node,46.8242675,8.6498599,yes,,,"Urner Kantonalbank, Aussenfassade West Eingang",Eingang,defibrillator,144,,node/7637818991,no,0,,,Urner Kantonalbank,,,24/7,Gemeinde Erstfeld,+41 41 882 01 30,,,
7637818992,node,46.8164805,8.6466211,,,,,Pausenraum / Garderobe,defibrillator,144,,node/7637818992,,,,,Zivilschutzausbildungszentrum,,,,,,,,
7637819106,node,46.7687398,8.6889162,yes,,,,,defibrillator,144,,node/7637819106,,,,,Feuerwehrlokal,,,24/7,,,,,
7637819107,node,46.7664633,8.7113249,,,,,Veloabstand Talstation Luftseilbahn Golzern,defibrillator,144,,node/7637819107,,,,,Golzern,,,,,,,,
7637819120,node,46.9347598,8.5793891,yes,2023-05-21,,Im Rollstuhlgerechten WC,Kehrplatz Baumgarten,defibrillator,144,,node/7637819120,yes,0,,,,,,24/7,Gemeinde Bauen,,,,yes
7637819121,node,46.9177433,8.5953028,,,,,Nordseite d. Gebäudes an d. Fassade,defibrillator,144,,node/7637819121,,,,,Schweiz. Sprengstoff AG,,,,,,,,
7637819128,node,46.8752372,8.6659661,yes,2025-09-05,,An der Aussenwand neben dem Haupteingang,beim Eingang,defibrillator,144,,node/7637819128,no,,,,Sporthalle,,,24/7,,,,,
7637819129,node,46.8623572,8.6290787,,,,,Links neben Haupteingang (alte Telefonkabine),defibrillator,144,,node/7637819129,,,,,Gemeindeverwaltung,,,,,,,,
7637819131,node,46.6398309,8.5903985,,,,,im Büro Swiss Alps,defibrillator,144,,node/7637819131,,,,,Feriendorf Andermatt Haus Wolf,,,,,,,,
7637819132,node,46.633064,8.5958702,,,,,,defibrillator,144,,node/7637819132,yes,,,,Gasthaus Tell,,,,,,,,
7637819134,node,46.6387137,8.5949985,yes,,,,Haupteingang Pforte,defibrillator,144,,node/7637819134,,,,,Kaserne Andermatt,,,24/7,,,,,
7637819135,node,46.6399559,8.5913808,yes,,,,Einfahrt und Ausfahrt Parking bei der Kasse A,defibrillator,144,,node/7637819135,,,,,Reuss Parking,,,24/7,,,,,
7637819136,node,46.6335955,8.5922508,,,,,in der Aula,defibrillator,144,,node/7637819136,yes,,,,Schulhaus Andermatt,,,,,,,,
7637819137,node,46.6366426,8.5943011,,,,,SPA Rezeption EG,defibrillator,144,,node/7637819137,yes,,,,SPA The Chedi,,,,,,,,
7637819138,node,46.6342271,8.5840493,,,,,Empfang - Erdgeschoss,defibrillator,144,,node/7637819138,yes,,,,Swiss Alps Golf Course,,,,,,,,
7637819139,node,46.6365336,8.5944033,yes,,,,Rezeption EG,defibrillator,144,,node/7637819139,yes,,,,The Chedi Hotel,,,24/7,,,,,
7637819141,node,46.7681464,8.6715016,,,,,Haupteingang,defibrillator,144,,node/7637819141,,,,,Kraftwerk Amsteg AG,,,,,,,,
7637819147,node,46.8827874,8.6437408,yes,,,,Haupteingang oberhalb gelben Briefkasten,defibrillator,144,,node/7637819147,,,,,APH Rosenberg,,,24/7,,,,,
7637819148,node,46.8787701,8.6467733,,,,,,defibrillator,144,,node/7637819148,,,,,AED Centramed Gesundheitspraxis,,,,,,,,
7637819149,node,46.8804509,8.6439189,,2024-06-27,,"Im energieUri Elektroshop, zwischen die Kasse und der Eingang zum Hinterraum.",Verkaufsgeschäft,defibrillator,144,,node/7637819149,yes,,,,energieUri Elektroshop,,,"Mo-Fr 09:00-12:00, 13:30-18:30; Sa 09:00-16:00",,,,,
7637819150,node,46.8820547,8.644118,,,,,Treppenhaus zwischen 1. und 2. OG,defibrillator,144,,node/7637819150,yes,,,,Kant Verwaltung,,,,,,,,
7637819151,node,46.8743793,8.6523062,yes,2024-01-22,,,Aussenfassade der Baudirektion beim Parkplatz,defibrillator,144,,node/7637819151,,,,,Kant. Verwaltung,,,24/7,,,,,
7637819152,node,46.8743854,8.6512932,,,,,Eingang Turnhalle,defibrillator,144,,node/7637819152,,,,,Kant. Mittelschule Kollegi,,,,,,,,
7637819154,node,46.8599813,8.6394922,,,,,Haupteingang Südportal EZ,defibrillator,144,,node/7637819154,,,,,Nr. 1 RUAG Einsatzzentrale,,,,,,,,
7637819155,node,46.8649506,8.6408885,,,,,Gebäude 036 (813),defibrillator,144,,node/7637819155,,,,,Nr. 2 RUAG RWMS/ Ammotec,,,,,,,,
7637819157,node,46.8606113,8.6377488,,,,,Gebäude 041 (823),defibrillator,144,,node/7637819157,,,,,Nr. 4 RUAG Warenannahme,,,,,,,,
7637819158,node,46.8734274,8.63036,,,,,Durchgang Parterre b. Sortierplatz,defibrillator,144,,node/7637819158,,,,,Paul Baldini AG,,,,,,,,
7637819159,node,46.8788673,8.6492166,,,,,Gebäude 6 / im EG neben Lift,defibrillator,144,,node/7637819159,,,,,,,,,,,,,
7637819160,node,46.8819415,8.6429083,,,,,"Ankenwaage, Parterre, vor Lift bei Stempeluhr",defibrillator,144,,node/7637819160,yes,,,,,,,,,,,,
7637819161,node,46.8803116,8.637741,yes,2024-04-28,,Beim Seiteneingang (Seite Schulhaus Florentini/Seedorferstrasse),,defibrillator,144,,node/7637819161,yes,0,,,Schulhaus Bernarda,,,24/7,,,,https://schule-altdorf.ch/,
7637819162,node,46.8923569,8.6285091,,,,,,defibrillator,144,,node/7637819162,,,,,Schwimmbad Altdorf,,,,,,,,
7637819163,node,46.8806935,8.6375273,,,,,UG gegenüber WC Anlage,defibrillator,144,,node/7637819163,,,,,Sportanlage Feldli,,,,,,,,
7637819164,node,46.8813406,8.645296,,,,"Eingangshalle, links, ca. 10 m",Schalter u. Kasse,defibrillator,144,,node/7637819164,yes,,,,Theater Tellspielhaus,,,,,,,,
7637819165,node,46.879273,8.6494087,,,,,Empfang an der linken Wand,defibrillator,144,,node/7637819165,,,,,Unternehmerzentrum Q4,,,,,,,,
7637819166,node,46.879755,8.645854,,,,Im Gebäude beim Empfang,,defibrillator,144,,node/7637819166,,,,,Sozialversicherungsstelle Uri,,,,,,,,
7637819178,node,46.8472648,8.6319045,,,,,im Tankstellen Shop,defibrillator,144,,node/7637819178,,,,,Raststätte Gotthard R >> Süd,,,"Nov-Apr 06:00-22:00; May-Jun,Sep-Oct 06:00-23:00; Jul-Aug 24/7",,,,,
7637819179,node,46.8475656,8.6334369,,2025-06-29,,,In personalraum. An der Tankstellenkasse fragen.,defibrillator,144,,node/7637819179,,,,,Raststätte Gotthard R>> Nord,,,"Nov-Apr 06:00-22:00; May-Jun,Sep-Oct 06:00-23:00; Jul-Aug 24/7",,,,,
7826353819,node,46.7065725,8.5997736,yes,2024-03-02,,"Mounted on the ouside wall of the building, facing the Volg",,defibrillator,144,,node/7826353819,no,,,478843426736630,,,,24/7,,,,,
8319547349,node,46.8550883,8.6457287,yes,2024-04-26,,,Beim Jumbo/Manor Haupteingang links.,defibrillator,144,,node/8319547349,yes,0,,,,,,Mo-Th 08:30-18:30; Fr 08:30-19:00; Sa 08:00-17:00,,,,,
8384897885,node,46.8778097,8.6392951,yes,2024-04-28,,"BWZ Haupteingang, links vor die Türen.",,defibrillator,144,,node/8384897885,yes,,,,,,,24/7,,,,,no
8486525584,node,46.9016261,8.6445919,yes,,,Bergstation Eggberge,,defibrillator,144,,node/8486525584,yes,0,,,,,,24/7,,,,,
8678285150,node,46.8605587,8.6426992,yes,2024-02-06,,Durchgang beim Teich,,defibrillator,144,,node/8678285150,no,,,,,,,24/7,Stiftung Behindertenbetriebe Uri (SBU),+41 41 874 15 15,,,
8851160392,node,46.967351,8.5845475,yes,,,"auf dem Platz, zwischen Postfächern und Ladestationen für Elektrofahrzeuge",Haltestelle Tanzplatz,defibrillator,144,,node/8851160392,no,,,,,,,24/7,,,,,yes
8979391059,node,46.9781585,8.5910748,yes,,,Neben dem WC,Jugendherberge Seelisberg,defibrillator,144,,node/8979391059,yes,,,,,,,,Jugendherberge Seelisberg,+41 41 820 52 32,,,no
9230592776,node,46.8644545,8.6367365,yes,,,An Aussenwand,,defibrillator,144,,node/9230592776,no,,,,,,,,,,,,
9515956035,node,46.8870501,8.6339306,,,,Feuerwehrlokal,,defibrillator,144,,node/9515956035,,,,,,,,,,,,,
9515963245,node,46.8724905,8.651324,,2024-02-06,,Bei Kundendienst Migros,,defibrillator,144,,node/9515963245,yes,1,,,,,,"Mo-Th 08:00-18:30, Fr 08:00-21:00, Sa 08:00-17:00",Migros,,,,
9531714556,node,46.6390603,8.5916199,,,,Parking Reuss Andermatt,,defibrillator,144,,node/9531714556,,,,,,,,,,,,,
9531735253,node,46.6351961,8.5957745,,2024-05-05,,In Eingang der Senioren- und Gesundheitszentrum Ursern,,defibrillator,144,,node/9531735253,yes,0,,,,,,,,,,,
9532030912,node,46.8397763,8.6340009,,,,Schwerverkehrszentrum,,defibrillator,144,,node/9532030912,,,,,,,,,,,,,
9551799717,node,46.9751778,8.5860453,yes,,,Schulhaus Seelisberg Rechts am Eingang,jederzeit verfügbar,defibrillator,144,,node/9551799717,no,,,,,,,24/7,,,,,
9553663536,node,46.8806929,8.6123372,yes,2024-03-24,,Eingang zum Feuerwehrlokal Bodenwaldstrasse 6,,defibrillator,144,,node/9553663536,,0,,,,,,24/7,,,,,
9553799872,node,46.7918386,8.6711875,yes,2024-02-06,,Bei Eingang,,defibrillator,144,,node/9553799872,no,,,,,,,24/7,,,,,
9562065435,node,46.8670428,8.6299453,yes,2026-03-22,,Der Defibrillator ist beim Sportplatz Allmend in Attinghausen gut sichtbar an der Aussenfassade des Werkhofs montiert.,,defibrillator,144,,node/9562065435,no,,,,,,,24/7,Gemeindeverwaltung Attinghausen,+41 41 874 14 50,,,
9587163942,node,46.8901798,8.6278715,yes,2024-11-27,,"Nördliche Fassade, daneben der Eingang zur MassTechnik",,defibrillator,144,,node/9587163942,no,0,,,,,,24/7,"MassTechnik GmbH, 6460 Altdorf",+41 41 870 52 29,,,
9589469348,node,46.6393745,8.5913484,yes,,,Inside elevator hall,,defibrillator,144,,node/9589469348,yes,,,,,,,,,,,,yes
9605147725,node,46.8732639,8.6357294,yes,2024-11-08,,"Vor dem Hauseingang, rechts, an der Aussenwand",,defibrillator,144,,node/9605147725,no,0,,,Pro Familiaweg 11,,,24/7,"Wohnbaugenossenschaft Pro Familia, 6460 Altdorf, Herr Beat Furrer, Hauswart",+41 79 903 59 67,,,
9649198022,node,46.7781403,8.6514994,yes,,,In der offenen Bergstation,,defibrillator,144,,node/9649198022,no,,,,,,,24/7,Luftseilbahn Amsteg-Arnisee,+41 41 883 12 47,,,
9684575107,node,46.6350816,8.5957272,yes,,,Seniorenzentrum Eingang,,defibrillator,144,,node/9684575107,yes,,,,,,,24/7,,+41 41 888 70 10,,,
9781550817,node,46.6365962,8.5911289,,,,Bahnhofplatz 17,bei Lehrlingswerkstatt,defibrillator,144,,node/9781550817,yes,,,,,,,Mo-Fr 06:00-20:00,,,,,
9877461917,node,46.8828533,8.6277271,yes,2024-04-28,,Seedorferstrasse 54 / 6460 Altdorf,AED ist beim Haupteingang / Glastüre links an der grünen Wand Befestigt,defibrillator,144,,node/9877461917,no,,,,,,,24/7,Alpinmedic.ch I Erste Hilfe Schulungen in Herzdruckmassage und Anwendung des Defibrillators I Betriebssanitätsschulungen IVR1-3 I Kindernotfallkurse,+41 41 870 16 16,,,
9917845095,node,46.8950623,8.62407,yes,2024-01-29,,"Am Wand der Ausgangskorridor, rechts von der ersten Kasse.",,defibrillator,144,,node/9917845095,yes,0,,,,,,Mo-Th 07:30-18:30; Fr 07:30-20:00; Sa 07:30-17:00,LIDL Schweiz,+41716278074,,,
9939874117,node,46.8893978,8.8999148,yes,,,Feuerwehrlokal Urnerboden,"Befindet sich im gleichen Raum wie Glassammelstelle, braune Türe rechts",defibrillator,144,,node/9939874117,yes,,,,,,,24/7,Gemeinde Spiringen,,,,
10026101598,node,46.8584149,8.639346,yes,,,Defibrilator ist bei der Hubrol-Tankstelle zwischen den Zapfsäulen angebracht.,,defibrillator,144,,node/10026101598,no,,,,,,,24/7,Christen Automobile AG,,,,
10127445146,node,46.8715004,8.6528116,,,,Hallenbüro Prüfhalle,,defibrillator,144,,node/10127445146,yes,0,,,,,,"Mo-Fr 07:45-11:45, 13:30-17:00",Amt für Strassen- und Schiffsverkehr,+41 41 875 28 00,,,
10567221210,node,46.7287754,8.6212125,yes,2024-02-29,,Feuerwehrlokal Einfahrtstor,Auf Wand bei der Türe befestigt.,defibrillator,144,,node/10567221210,no,,,,,,,24/7,Samariterverein Gurtnellen,,"local_knowledge, defikarte.ch",,
10583972906,node,46.6201618,8.5708046,yes,2025-02-04,,Gemeindehaus Hospental - Eingangsbereich Mehrzweckgebäude,Ganzjährig verfügbar,defibrillator,144,,node/10583972906,yes,0,,,,,,24/7,"Einwohnergemeinde Walchwil, Dorfstrasse 23, 6318 Walchwil",+41 41 759 80 10,"local_knowledge, defikarte.ch",,limited
10670026505,node,46.8823124,8.6440194,no,,,"Rathausplatz 2, 6460 Altdorf / Gerichtsgebäude, Haupteingang",Während Öffnungszeiten verfügbar,defibrillator,144,,node/10670026505,yes,,,,,,,,Kant. Verwaltung Uri,+41 41 875 2266,"local_knowledge, defikarte.ch",,
10737850306,node,46.7255355,8.5532534,yes,,,Mehrzweckgebäude vorne ,Draussen,defibrillator,144,,node/10737850306,no,,,,,,,24/7,Pro Meien,+41 418851256,"local_knowledge, defikarte.ch",,
10764451605,node,46.8769332,8.6324859,,,,"Stiftung Phönix Uri Hagenstrasse 50 6460 Altdorf, Bei der Information",,defibrillator,144,,node/10764451605,yes,,,,,,,24/7,Stiftung Phönix Uri,+41 41 871 27 45,"local_knowledge, defikarte.ch",,
10781979406,node,46.8642698,8.6702728,,,,Luftseilbahn Schattdorf - Haldi,,defibrillator,144,,node/10781979406,no,,,,,,,24/7,Luftseilbahn Schattdorf - Haldi,,"local_knowledge, defikarte.ch",,
10811355576,node,46.5986211,8.5033429,yes,2024-05-05,,Kassenschalter MGB,,defibrillator,144,Check opening times after 6th of June 2025.,node/10811355576,no,0,,,,,,05:50-22:05,Matterhorn Gotthard Bahn,,,,
10811355577,node,46.6374618,8.5941645,yes,2024-05-05,,Beim WC-Eingang,,defibrillator,144,,node/10811355577,no,-1,,,,,,24/7,Matterhorn Gotthard Bahn,,,,limited
10814071405,node,46.9104843,8.5615763,yes,,,Dorfstrasse 15 Isental,,defibrillator,144,,node/10814071405,yes,0,,,,,,24/7,Samariterverein,,,,
10946047905,node,46.8695362,8.6557321,yes,2024-05-01,,Eingang Turnhalle Grundmatte,"Aussen am Eingang, immer verfügbar",defibrillator,144,,node/10946047905,no,0,,,,,,24/7,Gemeinde,+41 41 874 04 76,"local_knowledge, defikarte.ch",,
10946047906,node,46.861849,8.6521679,yes,,,Eingang Schwimmbad Gräwimatt,"Aussen am Eingang, immer verfügbar",defibrillator,144,,node/10946047906,no,,,,,,,24/7,Gemeinde,+41 41 874 04 76,"local_knowledge, defikarte.ch",,
11076083174,node,46.9604656,8.5730531,,,,,,defibrillator,144,,node/11076083174,yes,,,,,,,,,,,,
11285446669,node,46.7766345,8.6682716,yes,,,Eingang zum Ärztezentrum Silenen,24 Stunden/7 Tage (Aussenmontage),defibrillator,144,,node/11285446669,no,0,,,,,,24/7,Ärztezentrum Silenen,+41 41 244 40 50,"local_knowledge, defikarte.ch",,
11813297697,node,46.8701789,8.6514947,yes,2025-06-29,,"Fussballplatz Grüner Wald, Eingang",öffentlich zugänglich,defibrillator,144,,node/11813297697,no,,,,,,,24/7,FC Schattdorf,+41 79 390 42 01,"local_knowledge, defikarte.ch",,
11932949817,node,46.9684307,8.5924427,,,,,,defibrillator,144,,node/11932949817,,,,,,,,,,,,,
11989632669,node,46.8342257,8.6381614,yes,,,"Rega Basis, Haupteingang",24/7,defibrillator,144,,node/11989632669,no,,,,,,,24/7,Schweizerische Rettungsflugwacht,+41 333 333 333,"local_knowledge, defikarte.ch",,
12188041001,node,46.904474,8.6445198,,,,"Berg Lodge 37, Haupteingang",Türe kann via Notfallnummer geöffnet werden,defibrillator,144,,node/12188041001,yes,,,,,,,,Berg Lodge 37,+41415152137,,,
12338838101,node,46.5957088,8.5021631,private,,,Pausenraum 1. OG Baustelle Sanierung Furkatunnel,24/7 verfügbar,defibrillator,144,,node/12338838101,no,0,,,,,,24/7,ARGE Marti Furkatunnel,+41795612240,"local_knowledge, defikarte.ch",,
12526491501,node,46.8823585,8.6370709,yes,,,"Kantonsspital Uri, Spitalstrasse 1 6460 Altdorf",im Windfang Haupteingang,defibrillator,144,,node/12526491501,yes,,,,,,,24/7,KS Uri,+41418755151,,,
12555912801,node,46.8778986,8.6464272,,,,"Dätwylerstrasse 27, Altdorf",bei der Garderobe,defibrillator,144,,node/12555912801,yes,0,,,,,,,Dätwyler Stiftung,,,,
12556059401,node,46.6346204,8.591303,yes,,,"Bäzweg 17, 6490 Andermatt, Neben Eingang Werkstatt",,defibrillator,144,,node/12556059401,no,0,,,,,,24/7,Elektrizitätswerk Ursern,+41418887777,,,
12660373401,node,46.8532892,8.6456906,permissive,,,Fitness Gisler Schattdorf,Während Öffnungszeiten erreichbar,defibrillator,144,,node/12660373401,yes,3,,,,,,Mo-Fr 08:30-21:00; Sa-Su 09_00-15:30,Fitnessstudio,+41793940038,"local_knowledge, defikarte.ch",,
12736171202,node,46.9543964,8.5826826,permissive,,,Schlössli Beroldingen,In der Kapelle,defibrillator,144,,node/12736171202,yes,0,,,,,,24/7,Anja Oehen,+41794059878,"local_knowledge, defikarte.ch",,
12852542301,node,46.8631034,8.7694019,yes,,,Eingang Primarschulhaus,24h zugänglich,defibrillator,144,,node/12852542301,no,,,,,,,24/7,Gemeinde,+41 418791166,"local_knowledge, defikarte.ch",,
12855659601,node,46.8752281,8.6130452,permissive,,,"Kleines Gebäude, im Unterstand",während den Öffnungszeiten verfügbar,defibrillator,144,,node/12855659601,no,,,,,,,,Hartsteinwerk Gasperini AG / ZAKU AG,+41583871382,"local_knowledge, defikarte.ch",,
12909280046,node,46.856683,8.6449024,yes,,,"Treppenhaus, neben Toilette",,defibrillator,144,,node/12909280046,yes,7,,,,,,"Mo-Fr 08:30-17:00, Fr-Sa 17:30-23:00",54 Hochgenuss,+41 41 875 64 54,,,limited
13004309801,node,46.6384245,8.589769,yes,,,Parkhaus Andermatt Reuss - Eingang Pazola und Sport Studio P6,Rund um die Uhr - im Parkhaus im Bereich P6,defibrillator,144,,node/13004309801,no,,,,,,,24/7,Andermatt Swiss Alps AG,+41 41 888 15 00,"local_knowledge, defikarte.ch",,
13018658201,node,46.8593821,8.6419046,yes,,,Neben der Türe an der Aussenwand,,defibrillator,,,node/13018658201,,,,,,,,24/7,Clima Nova,,,,yes
13439419801,node,46.8574563,8.6403606,permissive,,,links neben dem Fahrradständer,,defibrillator,144,,node/13439419801,no,0,,,,,,MO-FR 07:00-17:00,oeko energie ag,,,,
13479713201,node,46.8767345,8.664093,permissive,,,Kraftwerk Bürglen,,defibrillator,144,,node/13479713201,no,,,,,,,24/7,energieUri AG,,,,
13479718001,node,46.8639777,8.764877,yes,,,Kraftwerk Schächental,,defibrillator,144,,node/13479718001,no,,,,,,,24/7,energieUri AG,,,,
13613923301,node,46.8389243,8.6435536,yes,,,"Sportgebäude Pfaffenmatt, Aussenfassade Süd Eingang",,defibrillator,144,,node/13613923301,no,0,,,,,,24/7,Gemeinde Erstfeld,+41 41 882 01 30,,,
13640345701,node,46.8645212,8.63582,yes,,,Neuland 12 Activ Fitness Eingang,während den Öffnungszeiten verfügbar,defibrillator,144,,node/13640345701,yes,0,,,,,,"Mo 6:30-22:00, Tu 8:00-22:00, We 6:30-22:00, Th 8:00-21:00, Fr 8:00-21:00, Sa-Su 8:00-17:00",Activ Fitness Altdorf,+41 41 870 24 24,,,
13646774350,node,46.6202404,8.5708541,,,,wall near entrance,,defibrillator,,,node/13646774350,no,,,,,,,,,,,,
