osm_id,osm_type,lat,lon,access,access:conditional,access:note,addr:city,addr:city:de,addr:city:fr,addr:country,addr:floor,addr:full,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:street,addr:street:de,addr:street:fr,air_conditioning,amenity,bicycle,branch,brand,brand:wikidata,building,check_date,check_date:opening_hours,check_in,colour,contact:addr,contact:addr:full,contact:email,contact:emergency,contact:mobile,contact:phone,contact:website,covered,defibrillator:location,defibrillator:location:de,defibrillator:location:en,description,elevator,email,emergency,emergency:phone,emergency_telephone_code,entrance,fixme,floor,foot,id,image_1,image_2,indoor,internet_access,latitude,level,location,longitude,motor_vehicle,name,note,opening_hours,operator,outdoor,outdoor_seating,phone,phone:CH,planned:tourism,postal_code,ref,seasonal,source,support,survey:date,tourism,website,wheelchair,wikimedia_commons
4716202826,node,46.5257961,7.5933913,yes,,,Achseten,,,,,,,321,,3725,Adelbodenstrasse,,,,,,,,,,,,,,,,,,,,,,Haupteingang Kirche Achseten,,,,,,defibrillator,144,,,,,,node/4716202826,,,,,,,,,,,,24/7,Kirchgemeinde Achseten,,,+41 33 673 37 82,,,,,,,,,,,,
4734458797,node,46.9515907,7.4289693,yes,,,,,,,,,,,,,,,,,,,,,,,2025-04-08,,,,,,,,,,,,"ground floor, on the left",,,,,,defibrillator,144,,,,,,node/4734458797,,,yes,,,0,,,,,,,,,,,,,,,,,,,,,,
4745211002,node,46.9520997,7.427977,yes,,,,,,,,,,,,,,,,,,,,,,,2025-04-08,,,,,,,,,,,,Hauswand,,,,,,defibrillator,144,,,,,,node/4745211002,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
4745211003,node,46.9516338,7.428341,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baltzerstrasse 3, 3012 Bern",,,,,,,,,,,,,,defibrillator,144,,,,,,node/4745211003,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
4745211004,node,46.9518301,7.4285125,yes,,,,,,,,,,,,,,,,,,,,,,,2025-04-08,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/4745211004,,,yes,,,0,,,,,,,,,,,,,,,,,,,,,,
4753150739,node,46.9526477,7.4227274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EG Automatenraum bei Foyer,,,,,,defibrillator,144,,,,,,node/4753150739,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4753150740,node,46.9527723,7.4231679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OG1 Eingang ins Atrium links,,,,,,defibrillator,144,,,,,,node/4753150740,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4753150741,node,46.9578562,7.4260349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assistentenbüro (Glashaus),,,,,,defibrillator,144,,,,,,node/4753150741,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4753150742,node,46.951792,7.4382108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kopiernische,,,,,,defibrillator,144,,,,,,node/4753150742,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
4753150743,node,46.9500826,7.4369239,,,,,,,,,"Hochschulstrasse 6, 3012 Bern",,,,,,,,,,,,,,,,,,,,,,,,,,,Sanitätszimmer,,,,,,defibrillator,144,,,,,,node/4753150743,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
4753150744,node,46.9473602,7.449003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raum 011 (Medienausleihe),,,,,,defibrillator,144,,,,,,node/4753150744,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4753150745,node,46.9540883,7.4302537,yes,,,,,,,,,,,,,,,,,,,,,,,2024-08-22,,,,,,,,,,,,"EG, SanZimmer B043",,"Eingang rein, links Sanitätszimmer",,,,defibrillator,144,,,,,,node/4753150745,,,yes,,,0,,,,,,,,,,,,,,,,,,,,,,
4753150747,node,46.9520632,7.4289945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vor Eingang Turnhalle,,,,,,defibrillator,144,,,,,,node/4753150747,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
4753150748,node,46.9616599,7.432024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kraftraum,,,,,,defibrillator,144,,,,,,node/4753150748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4753150749,node,46.9542781,7.4333654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/4753150749,,,yes,,,1,,,,,,,,,,,,,,,,,,,,,,
4753150750,node,46.953684,7.445508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H Birrlihus EG Raum 004,,,,,,defibrillator,144,,,,,,node/4753150750,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4753150751,node,46.9485224,7.4266098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OG2, neben Feuerlöscher",,,,,,defibrillator,144,,,,,,node/4753150751,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
4753150752,node,46.9489433,7.4301049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emfang 1. OG,,,,,,defibrillator,144,,,,,,node/4753150752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4753150753,node,46.9569438,7.4272983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eingangshalle,,,,,,defibrillator,144,,,,,,node/4753150753,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
4753150755,node,46.9510176,7.4291974,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bühlstrasse 20, 3012 Bern",,,,,,,,"Eingangshalle, links gerade hinter Türe",,,,,,defibrillator,144,,,,,,node/4753150755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4753150756,node,46.949144,7.4256064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EG, Sekretariat",,,,,,defibrillator,144,,,,,,node/4753150756,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
4753150757,node,46.9478557,7.4220798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/4753150757,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4753150758,node,46.9532423,7.4230144,,,,,,,,3,,,,,,,,,,,,,,,,,,,,"Fabrikstrasse 8, 3012 Bern",,,,,,,,,,,,,,defibrillator,144,,,,,,node/4753150758,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
4753150759,node,46.9504014,7.4376246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1. Stock, Raum 118",,,,,,defibrillator,144,,,,,,node/4753150759,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
4753150760,node,46.9506537,7.4379305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bibliothek JBB,,,,,,defibrillator,144,,,,,,node/4753150760,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4753150761,node,46.967064,7.397578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eingangsbereich,,,,,,defibrillator,144,,,,,,node/4753150761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4753150762,node,46.9509125,7.4390047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Werkstatt UG1,,,,,,defibrillator,144,,,,,,node/4753150762,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
4753150763,node,46.9512609,7.4384388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vor Raum C33,,,,,,defibrillator,144,,,,,,node/4753150763,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
4753150764,node,46.9538349,7.4396412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hofgeschoss, Sanitätszimmer, 006",,,,,,defibrillator,144,,,,,,node/4753150764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4753150765,node,46.9494236,7.4250793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geschoss B, Haupteingang",,,,,,defibrillator,144,,,,,,node/4753150765,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
4753150766,node,46.9502596,7.42462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EG Eingangsbereich,,,,,,defibrillator,144,,,,,,node/4753150766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4753150767,node,46.9526284,7.4293626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nach Eingang rechts an Wand bei Liften,,,,,,defibrillator,144,,,,,,node/4753150767,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
4753150768,node,46.9535643,7.4453423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/4753150768,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4754554077,node,46.9456379,7.4297874,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"First Floor, inside",,,,,,defibrillator,144,,,,,,node/4754554077,,,yes,,,,,,,,,24/7,Schweizerische Bundensbahnen AG,,,,,,,,,,,,,,limited,
4774892294,node,47.1316127,7.2528012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bei Einkaufswagen der Migros, 1. Etage.",,,,,,defibrillator,144,,,,,,node/4774892294,,,yes,,,1,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-17:00; Su off,,no,,,,,,,,,,,,,,
4851288661,node,46.9098974,7.5572789,yes,,,Rubigen,,,,,,,61j,,3113,Beitenwil,,,,,,,,,,,,,,,,,,,,,,Eingangstüre beim Schwimmbad,,,,,,defibrillator,144,,,,,,node/4851288661,,,yes,,,,,,,,,24/7,Humanus Haus Beitenwil,,,+41 79 563 76 50,,,,,,,,,,,,
4864052199,node,46.9552873,7.433708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kassenbereich Migros,,,,,,defibrillator,144,,,,,,node/4864052199,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
4999446103,node,46.7030396,7.8092799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/4999446103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000534269,node,46.663881,7.8604079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/5000534269,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5113123896,node,46.9401113,7.4319862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Links nach Eingang in Migros,,,,,,defibrillator,144,,,,,,node/5113123896,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
5168730522,node,46.9323794,7.4259894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eingang geradeaus an Wand,,,,,,defibrillator,144,,,,,,node/5168730522,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5224969715,node,46.902469,7.2389575,yes,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,Vis-à-vis Brunnen beim Kellereingang der Gemeindeverwaltung,,,,,,defibrillator,144,,,,,yes,node/5224969715,,,no,,,,,,yes,,,24/7,Gemeindeverwaltung Laupen,,,+41317401052,,,,,,,,,,,,
5274930921,node,46.6845112,7.6894536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defibrillator,144,,,,,,node/5274930921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5274992719,node,46.9210113,7.4132608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kircheneingang links,,,,,,defibrillator,144,,,,,,node/5274992719,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
5320466845,node,46.9480355,7.4038528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pool guard office,,,,,,defibrillator,144,,,,,,node/5320466845,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
